branch_id,company_name,branch_display_name,branch_town,postcode,phone,phones_found,website,emails_found,sales,lettings,profile_url,rightmove_company_id,registered_office_address
290528,100 Key Properties Ltd,"100 Key Properties Ltd, Hornchurch",Hornchurch,RM11 1TX,020 3826 8241,020 3826 8241,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/100-Key-Properties-Ltd/Hornchurch-290528.html,94640,"129A High Street,, 
Hornchurch,, 
RM11 1TX"
32667,1st Call Sales & Lettings,"1st Call Sales & Lettings, Southend",Southend,SS1 2SG,01702 967955,01702 967955,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/1st-Call-Sales-and-Lettings/Southend-32667.html,8886,"193 Woodgrange Drive,, 
Southend-On-Sea,, 
SS1 2SG"
292973,28,"28, Ilford & Romford",Ilford & Romford,IG5 0EQ,020 4538 1218,020 4538 1218,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/28/Ilford-and-Romford-292973.html,81182,"176 Longwood Gardens, 
Clayhall, 
IG5 0EQ"
85647,28 Day Exchange,"28 Day Exchange, Hertfordshire & Essex",Hertfordshire & Essex,CM22 7WE,01278 619882,01278 619882,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/28-Day-Exchange/Hertfordshire-and-Essex-85647.html,28086,"Thremhall Park, , 
Start Hill,, 
Bishop's Stortford,, 
CM22 7WE"
295781,A S K Letting,"A S K Letting, Ilford",Ilford,IG1 4LZ,020 4634 1793,020 4634 1793,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/A-S-K-Letting/Ilford-295781.html,97010,"148 Cranbrook Road,, 
Ilford,, 
IG1 4LZ"
10005,A. C. Estates,"A. C. Estates, Hornchurch",Hornchurch,RM12 4NA,01708 987752,01708 987752,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/A-C-Estates/Hornchurch-10005.html,3439,"226 Abbs Cross Lane,, 
Hornchurch,, 
RM12 4NA"
248063,ADSI (Holdings) Ltd,"ADSI (Holdings) Ltd, Essex Offices",Essex Offices,SS15 6TL,01268 261836,01268 261836; 01268 983077,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/ADSI-Holdings-Ltd/Essex-Offices-248063.html,76493,"Alexander House Christy Court,, 
Southfields Business Park,, 
Brentwood,, 
SS15 6TL"
80172,AJ Dwellings,"AJ Dwellings, Ilford",Ilford,IG3 9RY,020 3910 6066,020 3910 6066; 020 8597 0301,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/AJ-Dwellings/Ilford-80172.html,25734,"660 Green Lane,, 
Ilford,, 
IG3 9RY"
182165,ANDREW CAPLIN COMMERCIAL LTD,"ANDREW CAPLIN COMMERCIAL LTD, Essex",Essex,RM1 3JP,01704 338886,01704 334551; 01704 338886,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/ANDREW-CAPLIN-COMMERCIAL-LTD/Essex-182165.html,56081,"St George's House,, 
2-4 Eastern Road,, 
Romford,, 
Essex,, 
RM1 3JP"
299549,APARTMENTS By HOME Partnership,"APARTMENTS By HOME Partnership, Chelmsford",Chelmsford,CM1 1HL,01245 823817,01245 823817,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/APARTMENTS-By-HOME-Partnership/Chelmsford-299549.html,12902,"11 Duke Street,, 
Chelmsford,, 
CM1 1HL"
117148,Aaron Holmes,"Aaron Holmes, Gants Hill",Gants Hill,,020 3834 8443,020 3834 8443,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Aaron-Holmes/Gants-Hill-117148.html,42241,Gants Hill
171,Abbotts,"Abbotts, Basildon",Basildon,SS14 1EU,01268 202704,01268 202704,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Basildon-171.html,45,"53 Southernhay, Basildon, Essex, SS14 1EU"
172,Abbotts,"Abbotts, Chelmsford",Chelmsford,CM1 1EH,01245 945062,01245 945062,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Chelmsford-172.html,45,"Tindal House, , 
Tindal Square, , 
Chelmsford, , 
CM1 1EH"
176,Abbotts,"Abbotts, Colchester",Colchester,CO1 1TB,01206 586064,01206 586064,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Colchester-176.html,45,"113 High Street, 
Colchester, 
CO1 1TB"
183,Abbotts,"Abbotts, Rayleigh",Rayleigh,SS6 7BU,01268 202660,01268 202660,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rayleigh-183.html,45,"128 High Street, Rayleigh, Essex, SS6 7BU"
184,Abbotts,"Abbotts, Rochford",Rochford,SS4 1AJ,01702 967229,01702 967229,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Rochford-184.html,45,"16 Market Square, West Street, Rochford, Essex, SS4 1AJ"
186,Abbotts,"Abbotts, Thorpe Bay",Thorpe Bay,SS1 3ES,01702 967929,01702 967929,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Abbotts/Thorpe-Bay-186.html,45,"154 The Broadway, Thorpe Bay, Southend on Sea, Essex, SS1 3ES"
110687,Abbotts Lettings,"Abbotts Lettings, Basildon",Basildon,SS14 1EU,01268 214443,01268 214443,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Basildon-110687.html,1500,"53 Southernhay,, 
Basildon,, 
SS14 1EU"
5121,Abbotts Lettings,"Abbotts Lettings, Chelmsford",Chelmsford,CM1 1EH,01245 206517,01245 206517,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Chelmsford-5121.html,1500,"Tindal House, , 
Tindal Square,, 
Chelmsford, , 
CM1 1EH"
76915,Abbotts Lettings,"Abbotts Lettings, Colchester",Colchester,CO1 1TB,01206 586108,01206 586108,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Colchester-76915.html,1500,"113, 
High Street, 
Colchester, 
CO1 1TB"
51159,Abbotts Lettings,"Abbotts Lettings, Rayleigh",Rayleigh,SS6 7BU,01268 983047,01268 983047,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abbotts-Lettings/Rayleigh-51159.html,1500,"128 High Street,, 
Rayleigh,, 
SS6 7BU"
285629,Abc Gone,"Abc Gone, Romford",Romford,RM3 0BS,020 4572 4024,020 4572 4024,https://www.abcgone.com,info@abcgone.com,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abc-Gone/Romford-285629.html,92243,"33 Station Road,, 
Harold Wood,, 
Romford,, 
RM3 0BS"
77447,Abode,"Abode, Woodford Green",Woodford Green,IG8 0XQ,020 3871 6585,020 3871 6585,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Abode/Woodford-Green-77447.html,30689,"380-382 High Road,, 
Woodford Green,, 
IG8 0XQ"
68735,Accord Sales & Lettings,"Accord Sales & Lettings, serving Havering",serving Havering,RM1 4NU,01708 973543,01708 973543,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Accord-Sales-and-Lettings/serving-Havering-68735.html,26942,"221, 
Pettits Lane North, 
Romford, 
RM1 4NU"
284726,Adam Stein & Co. Ltd,"Adam Stein & Co. Ltd, Loughton",Loughton,IG10 3TS,020 4538 1132,020 4538 1132; 020 8059 4362,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Adam-Stein-and-Co-Ltd/Loughton-284726.html,91733,"Suit B1, Sterling House Langston Road,, 
Loughton,, 
IG10 3TS"
7361,Adrians,"Adrians, Chelmsford",Chelmsford,CM1 1UP,01245 945751,01245 945748; 01245 945751,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Adrians/Chelmsford-7361.html,2418,"16 Duke Street, 
Chelmsford, 
CM1 1UP"
189473,Advance Glenisters,"Advance Glenisters, Romford",Romford,RM1 1DL,01708 766667,01708 766667,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-189473.html,3796,"116 North Street,, 
Romford,, 
RM1 1DL"
10725,Advance Glenisters,"Advance Glenisters, Romford",Romford,RM1 1DL,01708 204922,01708 204922,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Advance-Glenisters/Romford-10725.html,3796,", 
 , 
116 North Street, 
Romford, 
RM1 1DL ,"
278522,Alan Jacob Estates,"Alan Jacob Estates, Chadwell Heath",Chadwell Heath,RM6 6AX,01708 596303,01708 596303,,,Yes,No,https://www.rightmove.co.uk/estate-agents/agent/Alan-Jacob-Estates/Chadwell-Heath-278522.html,88940,"Unit 27,, 
Icon Office , , 
321-323 High Rd, , 
Romford,, 
RM6 6AX"
281882,Ali & Co,"Ali & Co, Essex",Essex,RM17 5RY,01375 803693,01375 803693; 01375 803801,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co/Essex-281882.html,90650,"23 Lodge Lane,, 
Grays,, 
Essex, 
RM17 5RY"
228101,Ali & Co Property Services,"Ali & Co Property Services, Grays",Grays,RM17 5RY,01375 803538,01375 802173; 01375 803538,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Ali-and-Co-Property-Services/Grays-228101.html,69635,"23 Lodge Lane,, 
Grays,, 
RM17 5RY"
285860,Allsop Single Family Housing,"Allsop Single Family Housing, Great Dunmow",Great Dunmow,CM6 4BR,01279 744535,01279 744535,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Great-Dunmow-285860.html,90692,"Great Dunmow, , 
Blackwater Drive, , 
Dunmow, , 
CM6 4BR"
260255,Allsop Single Family Housing,"Allsop Single Family Housing, Spinning Fields",Spinning Fields,CM7 5BJ,01376 319149,01376 319149,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Allsop-Single-Family-Housing/Spinning-Fields-260255.html,90692,"Towerlands Park,, 
Deanery Hill,, 
Braintree,, 
CM7 5BJ"
9186,Alternative Property Services,"Alternative Property Services, Hornchurch",Hornchurch,RM11 1QX,01708 205511,01708 205511,,,No,Yes,https://www.rightmove.co.uk/estate-agents/agent/Alternative-Property-Services/Hornchurch-9186.html,3108,"4 North Street,, 
Hornchurch,, 
RM11 1QX"
63076,Amanda Roberts,"Amanda Roberts, North Chingford",North Chingford,E4 6AB,020 3910 6386,020 3834 8723; 020 3910 6386,,,Yes,Yes,https://www.rightmove.co.uk/estate-agents/agent/Amanda-Roberts/North-Chingford-63076.html,4070,"118 Station Road,, 
London,, 
E4 6AB"
