id,company_name,company_number,postcode,area,website,director_name,director_role,director_names,blast_segment,wisecall_tier,corporate_group,corporate_group_name,source
alderwoodestateagentslimited-B928NF-0,ALDERWOOD ESTATE AGENTS LIMITED,14794877,B92 8NF,Solihull,https://alderwoodestates.co.uk/,Jack Paul Williams,director,Jack Paul Williams (director); Hayley Jane Williams (director); Paul Williams (director),Street.co.uk confirmed,Tier 1 - CRM integration ready,No,,Companies House + CRM scan
alderwoodestateagentslimited-B928NF-1,ALDERWOOD ESTATE AGENTS LIMITED,14794877,B92 8NF,Solihull,https://alderwoodestates.co.uk/,Hayley Jane Williams,director,Jack Paul Williams (director); Hayley Jane Williams (director); Paul Williams (director),Street.co.uk confirmed,Tier 1 - CRM integration ready,No,,Companies House + CRM scan
alderwoodestateagentslimited-B928NF-2,ALDERWOOD ESTATE AGENTS LIMITED,14794877,B92 8NF,Solihull,https://alderwoodestates.co.uk/,Paul Williams,director,Jack Paul Williams (director); Hayley Jane Williams (director); Paul Williams (director),Street.co.uk confirmed,Tier 1 - CRM integration ready,No,,Companies House + CRM scan
goldenestatesbirminghamltd-B100US-0,GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,B10 0US,Small Heath,,Abid Ahmed,director,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
goldenestatesbirminghamltd-B100US-1,GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,B10 0US,Small Heath,,Nazar Hussain,director,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
goldenestatesbirminghamltd-B100US-2,GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,B10 0US,Small Heath,,Mohammed Jamheel Yousaf,director,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
goldenestatesbirminghamltd-B100US-3,GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,B10 0US,Small Heath,,Form 10 Secretaries Fd Ltd,director,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
goldenestatesbirminghamltd-B100US-4,GOLDEN ESTATES (BIRMINGHAM) LTD,04277109,B10 0US,Small Heath,,Form 10 Directors Fd Ltd,director,Abid Ahmed (director); Nazar Hussain (director); Mohammed Jamheel Yousaf (director); Form 10 Secretaries Fd Ltd (director); Form 10 Directors Fd Ltd (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
makestatesbirminghamltd-B128AN-0,MAK ESTATES (BIRMINGHAM) LTD,10018626,B12 8AN,Balsall Heath,,Ajmal Nawaz,director,Ajmal Nawaz (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
gloversestateagentsltd-B147BB-0,GLOVERS ESTATE AGENTS LTD,10636515,B14 7BB,Kings Heath,https://www.glovers.uk.com/,Michael Glover,director,Michael Glover (director); Michael Duke (director),Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Companies House + CRM scan
