company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
MOVING ESTATE AGENTS (GLASGOW) LIMITED,SC702604,"C/O Cornerstone Accountants Gordon Chambers, 6th Floor, 90 Mitchell Street, Glasgow, G1 3NQ, United Kingdom",G1 3NQ,,,68310,active,2021-06-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
PARK ESTATE AGENTS (GLASGOW) LTD,SC484366,"505 Great Western Road, Glasgow, G12 8HN, Scotland",G12 8HN,,,68310,dissolved,2014-08-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,West End,Companies House API,
DIRECT PROPERTY ESTATE AGENTS LTD,SC832306,"272 Bath Street, Glasgow, G2 4JR, Scotland",G2 4JR,,,68310,dissolved,2024-12-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
APTUS ESTATE AGENTS LTD,SC676369,"C/O Clarity Accounting (Scotland) Ltd, 234 West George Street, Glasgow, G2 4QY, Scotland",G2 4QY,,,68310,dissolved,2020-10-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
FIDUCIA ESTATE AGENTS LTD,SC771456,"Thomas Barrie & Co Llp Atlantic House, 1a Cadogan Street, Glasgow, G2 6QE, United Kingdom",G2 6QE,,,68310,active,2023-06-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
GLASGOW ESTATE AGENT LIMITED,SC501738,"312 Duke Street, Glasgow, G31 1QZ, Scotland",G31 1QZ,,,68310,dissolved,2015-03-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Dennistoun,Companies House API,
ARTRELLIS ESTATE AND LETTING AGENTS LTD,SC882597,"1 Cambuslang Court, Cambuslang, Glasgow, Strathclyde, G32 8FH, United Kingdom",G32 8FH,,,"68310, 68320",active,2026-03-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Shettleston,Companies House API,
CLYDEGROVE ESTATE AGENTS LTD,SC539837,"910 Tollcross Road, Tollcross, Glasgow, G32 8PE, United Kingdom",G32 8PE,,,68310,active,2016-07-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Shettleston,Companies House API,
DOLPHIN ESTATE AGENTS LTD,SC803455,"128 Shawmoss Road, Glasgow, G41 4AJ, Scotland",G41 4AJ,,,68310,dissolved,2024-03-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Pollokshields,Companies House API,
THE AGENTS GLASGOW LTD,SC864614,"60 Beltrees Road, Glasgow, G53 5TF, Scotland",G53 5TF,,,68310,active,2025-09-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clydebank,Companies House API,
ELEVATE ESTATE AGENTS LTD.,SC807466,"Narplan House, 63 Main Street, Rutherglen, Glasgow, G73 2JH, Scotland",G73 2JH,,,68310,active,2024-04-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,East Kilbride,Companies House API,
CLYDEBANK ESTATE AGENTS LTD,SC853484,"Clydebank Estate & Letting Agents, 48 Kilbowie Road, Clydebank, G81 1TH, Scotland",G81 1TH,,,"68100, 68209, 68310, 68320",active,2025-06-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Glasgow,Companies House API,
AJ ESTATE AGENTS OF GLOUCESTERSHIRE LIMITED,12876353,"Suite F The Old Dutch Barn, Westend, Stonehouse, Gloucestershire, GL10 3GE, United Kingdom",GL10 3GE,,,68310,active,2020-09-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL10,Companies House API,
FARTHINGS ESTATE AGENTS LIMITED,07948864,"20 Newerne Street, Lydney, Gloucestershire, GL15 5RA",GL15 5RA,,,68310,active,2012-02-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL15,Companies House API,
DEAN ESTATE AGENTS LIMITED,06258154,"14 St. John Street, Coleford, GL16 8AR, England",GL16 8AR,,,"68310, 68320",active,2007-05-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL16,Companies House API,
HATTONS ESTATE AGENTS LTD,15843679,"4 Lords Hill, Coleford, GL16 8BD, England",GL16 8BD,,,68310,active,2024-07-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL16,Companies House API,
APPLEBYS ESTATE AGENTS LIMITED,11528179,"2 Abbeymead Avenue, Gloucester, Gloucestershire, GL4 5UA, England",GL4 5UA,,,"68310, 68320",active,2018-08-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL4,Companies House API,
ALPHA INDEPENDENT ESTATE AGENTS LTD,08730582,"Saxon House, Saxon Way, Cheltenham, Gloucestershire, GL52 6QX",GL52 6QX,,,68310,liquidation,2013-10-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL52,Companies House API,
COTSWOLD ESTATE AGENTS LIMITED,03305184,"41a Church Road, Bishops Cleeve, Cheltenham, Gloucestershire, GL52 8LP",GL52 8LP,,,68310,active,1997-01-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL52,Companies House API,
ADAMS ESTATE AGENTS LIMITED,07700150,"Hereford House 20 North Street, Winchcombe, Cheltenham, Gloucestershire, GL54 5PS",GL54 5PS,,,"68310, 68320",active,2011-07-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL54,Companies House API,
E J HOMES ESTATE AGENTS LIMITED,13346014,"Chipping Campden Business Hub 2c The Cambrook, High Street, Chipping Campden, Gloucestershire, GL55 6AT, United Kingdom",GL55 6AT,,,"68100, 68310",dissolved,2021-04-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GL55,Companies House API,
CHANTRIES & PEWLEYS ESTATE AGENTS CRANLEIGH LIMITED,14068850,"2 St. Marys Terrace, Mill Lane, Guildford, Surrey, GU1 3TZ, United Kingdom",GU1 3TZ,,,68310,active,2022-04-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU1,Companies House API,
CHANTRIES AND PEWLEYS ESTATE AGENTS LTD,12760920,"2 St Mary's Terrace, Mill Lane, Guildford, Surrey, GU1 3TZ, England",GU1 3TZ,,,68310,active,2020-07-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU1,Companies House API,
BOURNE ESTATE AGENTS LIMITED,05365647,"4 Riverview, Walnut Tree Close, Guildford, Surrey, GU1 4UX",GU1 4UX,,,68310,active,2005-02-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU1,Companies House API,
HOMES ESTATE AGENTS GROUP LTD,16266069,"4 Riverview Walnut Tree Close, Guildford, Surrey, GU1 4UX, England",GU1 4UX,,,68310,active,2025-02-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU1,Companies House API,
HOMES ESTATE AGENTS LETTINGS LTD,16267357,"4 Riverview Walnut Tree Close, Guildford, Surrey, GU1 4UX, England",GU1 4UX,,,68310,active,2025-02-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU1,Companies House API,
BRIDGES ESTATE AGENTS LIMITED,03255520,"77 High Street, Aldershot, Hampshire, GU11 1BY",GU11 1BY,,,68310,active,1996-09-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU11,Companies House API,
BOURKES ESTATE AGENTS LIMITED,09136692,"Aldershot Enterprise Centre, 14-40 Victoria Road, Aldershot, GU11 1TQ, England",GU11 1TQ,,,"68209, 68310, 68320",active,2014-07-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,GU11,Companies House API,
