company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
ELDON ESTATE AGENTS LIMITED,09470349,"292 Dewsbury Road, Beeston, Leeds, West Yorkshire, LS11 6JT",LS11 6JT,,,68310,active,2015-03-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Beeston,Companies House API,
ARCH ESTATE AGENTS LIMITED,05963542,"50 Austhorpe Road, Leeds, LS15 8DX, England",LS15 8DX,,,68310,active,2006-10-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Cross Gates,Companies House API,
EMSLEYS ESTATE AGENTS LIMITED,08699665,"Colton Mill, Bullerthorpe Lane, Leeds, West Yorkshire, LS15 9JN",LS15 9JN,,,68310,active,2013-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Cross Gates,Companies House API,
ALAN COOKE ESTATE AGENTS LIMITED,06539351,"382 Harrogate Road, Leeds, LS17 6PY",LS17 6PY,,,68310,active,2008-03-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Moortown,Companies House API,
FOUNDATIONS THE ESTATE AGENTS LIMITED,05442504,"5 Gelderd Road, Gildersome, Morley, Leeds, LS27 7JN, England",LS27 7JN,,,68310,active,2005-05-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Pudsey,Companies House API,
E & H ESTATE AGENTS LIMITED,08609859,"Dalton House, 1 Hawksworth Street, Ilkley, West Yorkshire, LS29 9DU",LS29 9DU,,,68310,liquidation,2013-07-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS29,Companies House API,
LEEDS LETTING AGENTS LIMITED,05592168,"30 Headingley Lane, Hyde Park, Leeds, West Yorkshire, LS6 2AS",LS6 2AS,,,68310,dissolved,2005-10-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Headingley,Companies House API,
CASTLEHILL ESTATE AGENTS LIMITED,05561246,"21 Otley Road, Headingley, Leeds, West Yorkshire, LS6 3AA",LS6 3AA,,,68310,active,2005-09-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Headingley,Companies House API,
ALAN COOKE ESTATE AGENTS (MEANWOOD) LIMITED,08067460,"15a Stonegate Road, Leeds, LS6 4HZ, England",LS6 4HZ,,,68310,active,2012-05-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Headingley,Companies House API,
IDEAL ESTATES (LEEDS) LTD,10254373,"Unit 1 161 Harehills Lane, Leeds, LS8 3QE, England",LS8 3QE,,,68310,active,2016-06-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Roundhay,Companies House API,
WESTGATE ESTATE AGENTS (LEEDS) LIMITED,06874768,"291 Harehills Lane, Leeds, LS9 6AA",LS9 6AA,,,68310,active,2009-04-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Harehills,Companies House API,
THE ESTATE AGENCY LEEDS LTD,14149542,"Ground Floor Neptune House, Neptune Street, Leeds, LS9 8PB, England",LS9 8PB,,,"68310, 68320",active,2022-06-06,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Harehills,Companies House API,
