company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
BERKELEY SHAW ESTATE AGENTS LTD,07847541,"The Ternary, 26-33 Old Haymarket, Liverpool, L1 6ER, England",L1 6ER,,,68310,active,2011-11-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
MF ESTATES LIVERPOOL LIMITED,12749285,"Room 4 51a Rodney Street, Liverpool, Merseyside, L1 9ER, United Kingdom",L1 9ER,,,"68310, 68320",dissolved,2020-07-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
GROSVENOR WATERFORD ESTATE AGENTS LIMITED,06025987,"197 Altway, Liverpool, Merseyside, L10 6LB",L10 6LB,,,68310,active,2006-12-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Fazakerley,Companies House API,
ANDREW LOUIS ESTATES MANAGEMENT LIMITED,03883376,"21-22 Tapton Way, Liverpool, L13 1DA, England",L13 1DA,,,68310,active,1999-11-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Old Swan,Companies House API,
BURGESS ESTATES LIVERPOOL LIMITED,10533880,"Penny Lane Business Centre, 374 Smithdown Road, Liverpool, L15 5AN, England",L15 5AN,,,68310,active,2016-12-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wavertree,Companies House API,
HALTON KELLY ESTATE AGENTS LTD,14172247,"Penny Lane Business Centre, 374 Smithdown Road, Liverpool, L15 5AN, United Kingdom",L15 5AN,,,68310,active,2022-06-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wavertree,Companies House API,
BEECH ESTATES (LIVERPOOL) LIMITED,07955900,"2 Blythswood Street, Liverpool, L17 7DF",L17 7DF,,,68310,active,2012-02-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Aigburth,Companies House API,
ATLAS ESTATE AGENTS LIMITED,08661936,"2 Allerton Road, Mossley Hill, Liverpool, L18 1LN, England",L18 1LN,,,68310,active,2013-08-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Allerton,Companies House API,
PIRES REAL ESTATE ( LIVERPOOL ) LTD,13029507,"34 Castle Street, Liverpool, L2 0NR, England",L2 0NR,,,68310,dissolved,2020-11-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
THE LIVERPOOL ESTATE AGENT LIMITED,16590257,"3rd Floor 11 - 13 Pacific Chambers, Victoria Street, Liverpool, L2 5QQ, United Kingdom",L2 5QQ,,,68310,active,2025-07-17,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
BUCKLEY'S (ESTATE AGENTS) LIMITED,05014742,"C/O BDO LLP, 5 Temple Square Temple Street, Liverpool, L2 5RH",L2 5RH,,,68310,dissolved,2004-01-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
HOLDEN MATTHEWS ESTATE AGENTS LIMITED,03331274,"C/O Bdo Llp, 5 Temple Square, Temple Street, Liverpool, L2 5RH",L2 5RH,,,68310,dissolved,1997-03-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
GOOD BUY ESTATE AGENTS LIMITED,11015300,"42 Jersey Close, Bootle, L20 4BP, United Kingdom",L20 4BP,,,68310,active,2017-10-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Bootle,Companies House API,
SK REAL ESTATE (LIVERPOOL) LTD,04625442,"2 Cotton Street, Off Great Howard Street, Liverpool, L3 7DY",L3 7DY,,,"68310, 74909",active,2002-12-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,City Centre,Companies House API,
CRANE & EVANS ESTATE AGENTS LTD,06770702,"21 Westway, Maghull, Merseyside, L31 2PQ",L31 2PQ,,,68310,active,2008-12-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Maghull,Companies House API,
BROOKS ESTATE AND LETTING AGENTS LTD,09629840,"Butterworth Barlow House, 10 Derby Street, Prescot, Merseyside, L34 3LG",L34 3LG,,,68310,active,2015-06-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Prescot,Companies House API,
ALASTAIR SAVILLE ESTATE AGENTS LIMITED,06333581,"Hove To, Sandy Lane, Hightown, Merseyside, L38 3RD",L38 3RD,,,68310,active,2007-08-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ormskirk,Companies House API,
GILL HORN ESTATE AGENTS LTD,08894527,"4 Hattersley Court, Ormskirk, L39 2AY, England",L39 2AY,,,"68310, 68320",active,2014-02-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ormskirk,Companies House API,
GK ESTATE AGENTS LTD,17280629,"4 Church Walks, Ormskirk, L39 3QS, United Kingdom",L39 3QS,,,"68310, 98000",active,2026-06-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ormskirk,Companies House API,
AK ESTATES (LIVERPOOL) LTD,11826295,"112 Breck Road, Anfield, Liverpool, L4 2RD, United Kingdom",L4 2RD,,,68310,dissolved,2019-02-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Anfield,Companies House API,
GREEN KEY ESTATE AGENTS LTD,16514216,"71 Moss Lane, Orrell Park, Liverpool, L9 8AE, England",L9 8AE,,,"68310, 68320",dissolved,2025-06-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Aintree,Companies House API,
GMT ESTATE AGENTS LTD,16640447,"156 Belgrave Gate, Leicester, LE1 3XL, England",LE1 3XL,,,68310,active,2025-08-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE1,Companies House API,
DAVIS AND PARTNERS ESTATE AGENTS LIMITED,07955731,"Unit 1 The Regent Unit 1 The Regent, Lancaster Road, Hinckley, Leicestershire, LE10 0AW, England",LE10 0AW,,,68310,active,2012-02-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE10,Companies House API,
BLUE SKY ESTATE AGENTS LIMITED,15637271,"Watling Offices Smockington Lane, Wolvey, Hinckley, Leicestershire, LE10 3AY, England",LE10 3AY,,,68310,active,2024-04-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE10,Companies House API,
DAVID GRACE ESTATE AGENTS LIMITED,16231518,"Charnwood Accountants The Point, Granite Way, Mountsorrel, Loughborough, Leicestershire, LE12 7TZ, United Kingdom",LE12 7TZ,,,68310,active,2025-02-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE12,Companies House API,
ASTON & CO ESTATE & LETTING AGENTS LIMITED,06553697,"7 Kevern Close, Wigston, Leicestershire, LE18 2GR",LE18 2GR,,,68310,active,2008-04-03,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE18,Companies House API,
BOBBY DHANJAL ESTATE AGENTS LIMITED,09344026,"Unit 3 Merus Court, Meridian Business Park, Leicester, LE19 1RJ, England",LE19 1RJ,,,68310,active,2014-12-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE19,Companies House API,
HOUSE AND HOME ESTATE AGENTS LTD,11872151,"Charnwood  House Harcourt Way, Meridian Business Park, Leicester, Leicestershire, LE19 1WP",LE19 1WP,,,"68209, 68310",active,2019-03-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE19,Companies House API,
BERKLEY ESTATE AGENTS LIMITED,05265328,"75 Hinckley Road, West End Leicester, Leicestershire, LE3 0TD",LE3 0TD,,,68310,active,2004-10-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE3,Companies House API,
HAMPSONS ESTATE AGENTS LIMITED,12430282,"1 Charnwood Drive, Leicester Forest East, Leicester, LE3 3HL, England",LE3 3HL,,,68310,active,2020-01-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE3,Companies House API,
ELLIOTT'S  ESTATE AGENTS (LEICESTER) LTD,15467416,"9 Fletcher Mall, Beaumont Shopping Centre, Leicester, LE4 1DF, England",LE4 1DF,,,68310,active,2024-02-05,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE4,Companies House API,
CAPITAL ESTATE AGENTS LTD,14390425,"239a Uppingham Road, Leicester, LE5 4DG, England",LE5 4DG,,,"68310, 68320",active,2022-09-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE5,Companies House API,
ARCHIE ESTATE AGENTS LTD,15430268,"5 The Langhill, Leicester, Leicestershire, LE5 4PQ, United Kingdom",LE5 4PQ,,,68310,dissolved,2024-01-22,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE5,Companies House API,
ANDERSON BRIGGS ESTATE AGENTS LIMITED,13746520,"4 Ratby Road, Groby, Leicester, LE6 0GG, England",LE6 0GG,,,68310,active,2021-11-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE6,Companies House API,
HORTON ESTATE AGENTS LTD,10480286,"Unit 11, Brook Park Offices Gaddesby Lane, Rearsby, Leicester, LE7 4YL, England",LE7 4YL,,,68310,active,2016-11-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE7,Companies House API,
CREIGHTONS ESTATE AGENTS LTD,14467240,"15 Cross Green, Rothley, Leicester, LE7 7PF, England",LE7 7PF,,,68310,active,2022-11-07,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE7,Companies House API,
DAVID ROBINSON ESTATE AGENTS LIMITED,06365157,"David Robinson Estate Agents Ltd, 77 Main Street, Broughton Astley, Leicestershire, LE9 6RE, England",LE9 6RE,,,68310,active,2007-09-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LE9,Companies House API,
GET MOVING ESTATE AGENTS LIMITED,11094138,"12 Grosvenor Road, Wrexham, Wrexham, LL11 1BU, Wales",LL11 1BU,,,"68100, 68209, 68310, 68320",active,2017-12-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LL11,Companies House API,
APUKS ESTATE AGENTS LIMITED,14200751,"Beach Grove, Brook Street, Llangollen, LL20 8LS, Wales",LL20 8LS,,,68310,active,2022-06-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LL20,Companies House API,
BOB PARRY ESTATE AGENTS LIMITED,11032166,"Bwlch Farm Bwlch Farm Road, Deganwy, Conwy, Conwy, LL31 9YS, United Kingdom",LL31 9YS,,,68310,active,2017-10-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LL31,Companies House API,
DAFYDD HARDY ESTATE AGENTS LIMITED,03733706,"2 Llys Onnen Ffordd Y Llyn, Parc Menai, Bangor, Gwynedd, LL57 4DF, Wales",LL57 4DF,,,68310,active,1999-03-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LL57,Companies House API,
ELDON ESTATE AGENTS LIMITED,09470349,"292 Dewsbury Road, Beeston, Leeds, West Yorkshire, LS11 6JT",LS11 6JT,,,68310,active,2015-03-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS11,Companies House API,
ARCH ESTATE AGENTS LIMITED,05963542,"50 Austhorpe Road, Leeds, LS15 8DX, England",LS15 8DX,,,68310,active,2006-10-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS15,Companies House API,
EMSLEYS ESTATE AGENTS LIMITED,08699665,"Colton Mill, Bullerthorpe Lane, Leeds, West Yorkshire, LS15 9JN",LS15 9JN,,,68310,active,2013-09-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS15,Companies House API,
ALAN COOKE ESTATE AGENTS LIMITED,06539351,"382 Harrogate Road, Leeds, LS17 6PY",LS17 6PY,,,68310,active,2008-03-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS17,Companies House API,
FOUNDATIONS THE ESTATE AGENTS LIMITED,05442504,"5 Gelderd Road, Gildersome, Morley, Leeds, LS27 7JN, England",LS27 7JN,,,68310,active,2005-05-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,LS27,Companies House API,
