company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
LONDON ESTATE AGENTS & INTERIOR DESIGN COMPANY LTD,14694585,,WC2H 9JQ,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WC2H,Companies House API,
GREENVIEW LONDON ESTATE AGENTS LIMITED,14347927,,NW11 6BU,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Golders Green,Companies House API,
LONDONIST ESTATE AGENTS LTD,13752209,,WC1N 3DB,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WC1N,Companies House API,
MILESTONE ESTATE AGENTS LONDON LIMITED,07850979,,NW10 2RX,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Willesden,Companies House API,
WOOD GREEN & LONDON ESTATE AGENTS LTD,10390798,,N22 8HH,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Wood Green,Companies House API,
TJ ESTATE AGENTS LONDON LTD,14427340,,NW4 3EX,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Hendon,Companies House API,
HAMMONDS ESTATE AGENTS LONDON LTD,14341333,,E3 2AD,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Bow,Companies House API,
EVANS ESTATE AGENTS (LONDON) LTD,13827949,,EC2A 4NE,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EC2A,Companies House API,
AA ESTATE AGENTS LIMITED,11487396,,W2 5QL,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Bayswater/Paddington,Companies House API,
ACQUIRE ESTATE AGENTS LTD,05368221,,SW11 3BS,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Battersea,Companies House API,
ADAM GREEN ESTATE AGENTS LTD,12663206,,SW4 0AF,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Clapham,Companies House API,
AEG ESTATE AGENTS LTD,09652516,,SW2 4QS,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Brixton,Companies House API,
AG ESTATE AGENTS LTD,10810804,,W1W 7LT,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,W1W,Companies House API,
AIM ESTATE AGENTS LTD,15330741,,WC2A 2JR,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,WC2A,Companies House API,
ALAN MARTIN ESTATE AGENTS LIMITED,06540658,,W2 5HL,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Bayswater/Paddington,Companies House API,
ALECO ESTATE AGENTS LTD,08268502,,N14 6HF,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Southgate,Companies House API,
ALLSOPP ESTATE AGENTS LIMITED,08378716,,EC2A 2AP,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,EC2A,Companies House API,
ALPINE ESTATE AGENTS LTD,05563945,,NW9 6LU,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Colindale,Companies House API,
ALWYNE ESTATE AGENTS LIMITED,04586341,,N3 2FG,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Finchley,Companies House API,
AMBUR ESTATE AGENTS LTD,13295902,,E16 1TW,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Royal Docks,Companies House API,
ANTHONY ALLEN ESTATE AGENTS LIMITED,12738352,,SE2 0ET,,,68310,active,,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Abbey Wood,Companies House API,
