company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
DAR AND CO ESTATE AGENTS LTD,12259331,"171 Wilmslow Road, Manchester, M14 5AP, United Kingdom",M14 5AP,,,68310,active,2019-10-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Fallowfield,Companies House API,
AWB ESTATE AGENTS LTD,15306436,"176 Platt Lane, Manchester, M14 7DE, England",M14 7DE,,,68310,dissolved,2023-11-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Fallowfield,Companies House API,
ANDREWS ESTATE AGENTS (MIDLANDS) LIMITED,05752747,"C/O Clarke Bell Limited 3rd Floor, The Pinnacle, 73 King Street, Manchester, M2 4NG",M2 4NG,,,68310,dissolved,2006-03-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Manchester City Centre,Companies House API,
FLAX & CO (ESTATE AGENTS) LIMITED,02777004,"509 Wilmslow Road, Withington, Manchester, M20 4BA",M20 4BA,,,68310,active,1993-01-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Didsbury,Companies House API,
BLUPRINTS ESTATE AGENTS LTD,13867026,"Brulimar House, Jubilee Road, Middleton, Manchester, M24 2LX, United Kingdom",M24 2LX,,,68310,active,2022-01-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,M24,Companies House API,
A&K ESTATE AGENTS LIMITED,12073639,"49 Rainsough Brow, Prestwich, Manchester, M25 9XW, England",M25 9XW,,,68310,active,2019-06-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Prestwich,Companies House API,
HARRISONS ESTATE AGENTS BOLTON LTD,09253939,"Stanmore House 64 - 68 Blackburn Street, Radcliffe, Manchester, M26 2JS, England",M26 2JS,,,68310,dissolved,2014-10-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,M26,Companies House API,
DOUGLAS BUTLER ESTATE AGENTS LTD,11967800,"340 Deansgate, Manchester, Greater Manchester, M3 4LY",M3 4LY,,,68310,dissolved,2019-04-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Manchester City Centre,Companies House API,
HASIP ESTATE AGENTS LIMITED,16136286,"209 Every Street, Manchester, M4 7EX, England",M4 7EX,,,68310,active,2024-12-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Manchester City Centre,Companies House API,
GWENT ESTATE AGENTS LTD,16471192,"Suite 34, Cariocca  Business Park, 2 Sawley Road, Manchester, M40 8BB, England",M40 8BB,,,68310,active,2025-05-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Higher Blackley,Companies House API,
ALAN BATT ESTATE AGENTS LIMITED,02443558,"Leonard Curtis House, Elms Square, Bury New Road, Whitefield, Greater Manchester, M45 7TA",M45 7TA,,,68310,liquidation,1989-11-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Whitefield,Companies House API,
HOUGHTON HOMES ESTATE AGENTS LIMITED,05391008,"27 Church Street, Atherton, Manchester, M46 9DE, England",M46 9DE,,,68310,active,2005-03-14,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Atherton,Companies House API,
HOUSE ESTATE AGENTS LTD,11322864,"5 Minster Road, Minster On Sea, Sheerness, Kent, ME12 3JD, England",ME12 3JD,,,"68310, 68320",active,2018-04-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME12,Companies House API,
INVICTA ESTATE AGENTS LIMITED,06522726,"1 Queens Parade, East Street, Faversham, Kent, ME13 8AQ",ME13 8AQ,,,68310,active,2008-03-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME13,Companies House API,
HANSEN ESTATE AGENTS LTD,15698665,"223 Edward Vinson Drive, Faversham, ME13 8FF, England",ME13 8FF,,,68310,active,2024-05-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME13,Companies House API,
ANGEL ESTATE AGENTS & AUCTIONEERS LTD,16552143,"Unit 9, Lamberhurst Farm, Dargate, Faversham, ME13 9EP, United Kingdom",ME13 9EP,,,68310,active,2025-07-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME13,Companies House API,
HONEYDELL ESTATE AGENTS LTD,13794110,"377 Walderslade Road, Walderslade Village, Chatham, ME5 9LL, England",ME5 9LL,,,"68310, 68320",active,2021-12-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME5,Companies House API,
BETH ASH ESTATE AGENTS LTD,16939661,"3c Holborough Road, Snodland, ME6 5NL, England",ME6 5NL,,,68310,active,2026-01-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME6,Companies House API,
HARRISONS HOMES ESTATE AGENTS LIMITED,08983012,"Building 1063 Cornforth Drive, Kent Science Park, Sittingbourne, Kent, ME9 8PX, United Kingdom",ME9 8PX,,,68310,active,2014-04-07,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ME9,Companies House API,
DANIEL JAMES ESTATE AGENTS LIMITED,11906193,"The Stable Yard 25-33 Vicarage Road, Stony Stratford, Milton Keynes, Buckinghamshire, MK11 1BN, England",MK11 1BN,,,"68310, 68320",active,2019-03-26,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK11,Companies House API,
ADIA ESTATE AGENTS LIMITED,16285783,"2 Cassius Close, Fairfields, Milton Keynes, MK11 4AE, England",MK11 4AE,,,68310,active,2025-03-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK11,Companies House API,
AVENUES ESTATE AGENTS LIMITED,05280123,"42 Stratford Road, Wolverton, Milton Keynes, Bucks, MK12 5LW",MK12 5LW,,,68310,active,2004-11-08,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK12,Companies House API,
CITRUS ESTATE AGENTS LTD,16057583,"3 Warren Yard, Wolverton Mill, Milton Keynes, MK12 5NW, England",MK12 5NW,,,68310,dissolved,2024-11-04,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK12,Companies House API,
INSPIRED ESTATE AGENTS LTD,07409991,"73 High Street, Newport Pagnell, MK16 8AB, England",MK16 8AB,,,68310,active,2010-10-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK16,Companies House API,
ASTONS ESTATE AGENTS (MK) LTD,06958196,"26 St. John Street, Newport Pagnell, Buckinghamshire, MK16 8HJ",MK16 8HJ,,,68310,active,2009-07-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK16,Companies House API,
ABSOLUTE ESTATE AGENTS LIMITED,05748686,"4-6 Bromham Road, Bedford, MK40 2QA",MK40 2QA,,,68310,active,2006-03-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK40,Companies House API,
ASTON CHARLES ESTATE AGENTS LIMITED,09215341,"15 Grove Place, Bedford, MK40 3JJ",MK40 3JJ,,,68310,active,2014-09-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK40,Companies House API,
FRY ESTATE AGENTS LIMITED,11792590,"24 Castle Lane, Bedford, Bedfordshire, MK40 3US, England",MK40 3US,,,68310,active,2019-01-28,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK40,Companies House API,
CHANDS ESTATE AGENTS LTD,11716886,"138 Harrowden Road, Bedford, Bedfordshire, MK42 0SL",MK42 0SL,,,"68100, 68310, 68320, 70229",active,2018-12-07,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK42,Companies House API,
COVE ESTATE AGENTS UK LTD,15026442,"2 Hampden Road, Flitwick, Bedford, MK45 1HX, England",MK45 1HX,,,68310,dissolved,2023-07-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK45,Companies House API,
HOUSEHOLD ESTATE AGENTS (DUNSTABLE) LIMITED,04826177,"Room 316 Endeavour House, Wrest Park, Silsoe, Bedfordshire, MK45 4HS, England",MK45 4HS,,,68310,dissolved,2003-07-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK45,Companies House API,
CUBE ESTATE AGENTS LTD,14350757,"Cube Estate Agents 220 Upper Fifth Street, Regency Court, Milton Keynes, MK9 2HR, United Kingdom",MK9 2HR,,,"68310, 68320, 98000",dissolved,2022-09-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,MK9,Companies House API,
HOMELINK ESTATE AND LETTING AGENTS LTD,SC388657,"100 Merry St Merry Street, Motherwell, ML1 1NA, Scotland",ML1 1NA,,,68310,active,2010-11-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML1,Companies House API,
ADDRESS ESTATE AGENTS AND STAGING COMPANY LTD,SC894428,"Address Estate Agents, 13 Townhead Street, Strathaven, ML10 6AB, United Kingdom",ML10 6AB,,,68310,active,2026-06-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML10,Companies House API,
CRUIVE ESTATE AGENTS LTD,SC787453,"9 Townhead Street, Strathaven, ML10 6AB, Scotland",ML10 6AB,,,68310,active,2023-10-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML10,Companies House API,
BOHOME ESTATE AGENTS LTD,SC707715,"10 Gateside Street, Hamilton, Lanarkshire, ML3 7JG, Scotland",ML3 7JG,,,68310,active,2021-08-25,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML3,Companies House API,
CLARK'S PREMIER ESTATE AGENTS LTD,SC845434,"39 Glenboig Farm Road, Glenboig, Coatbridge, ML5 2RA, Scotland",ML5 2RA,,,68310,active,2025-04-16,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML5,Companies House API,
A M FAGAN ESTATE AGENTS LTD,SC516975,"Unit 35, Coatbridge Business Centre, 204 Main Street, Coatbridge, ML5 3RB, Scotland",ML5 3RB,,,68310,active,2015-10-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML5,Companies House API,
ARROWHEAD ESTATE AGENTS LTD,SC758407,"4 South Bridge Street, Airdrie, ML6 6JF, Scotland",ML6 6JF,,,68310,active,2023-02-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML6,Companies House API,
HOUSESPOTTERS ESTATE AGENTS LTD,SC741233,"11 11 Rockcliffe Path, Airdrie, North Lanarkshire, ML6 8LH, Scotland",ML6 8LH,,,68310,active,2022-08-15,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,ML6,Companies House API,
