company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
GORDON BROWN ESTATE AGENTS LIMITED,07411006,"8-10 The Square, Whickham, Newcastle Upon Tyne, NE16 4JE, England",NE16 4JE,,,68310,active,2010-10-18,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Ryton,Companies House API,
DOBSONS ESTATE AGENTS LIMITED,04776078,"1 Broadway, Ponteland, Newcastle Upon Tyne, Tyne And Wear, NE20 9PW",NE20 9PW,,,68310,active,2003-05-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Morpeth,Companies House API,
GOODFELLOWS (ESTATE AGENTS) LIMITED,09601140,"11 West Road, Ponteland, Newcastle Upon Tyne, NE20 9SU, England",NE20 9SU,,,68310,active,2015-05-20,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Morpeth,Companies House API,
ALEXANDER & CO ESTATE AGENTS LIMITED,07302849,"Britannia House 17a Front Street, Monkseaton, Whitley Bay, Tyne And Wear, NE25 8AQ, United Kingdom",NE25 8AQ,,,68310,active,2010-07-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Whitley Bay,Companies House API,
EMBLEYS ESTATE AGENTS (NORTH EAST) LTD,09056172,"1 Ilfracombe Gardens, Whitley Bay, NE26 3ND",NE26 3ND,,,68310,active,2014-05-27,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Whitley Bay,Companies House API,
COOKE & CO ESTATE AGENTS LIMITED,06396738,"Verdemar House, 230 Park View, Whitley Bay, Tyne And Wear, NE26 3QR",NE26 3QR,,,68310,active,2007-10-11,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Whitley Bay,Companies House API,
COLIN LILLEY ESTATE AGENTS LIMITED,05218581,"118 Fowler Street, South Shields, Tyne & Wear, NE33 1PZ",NE33 1PZ,,,68310,active,2004-08-31,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,South Shields,Companies House API,
HOUNDS ESTATE AGENTS LIMITED,15639627,"5 Beach Road, South Shields, Tyne And Wear, NE33 2QA, United Kingdom",NE33 2QA,,,68310,dissolved,2024-04-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,South Shields,Companies House API,
NEWCASTLE ESTATES LIMITED,07364006,"Snowdrop Rise, Aydon Avenue, Corbridge, NE45 5DY, England",NE45 5DY,,,68310,dissolved,2010-09-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,NE45,Companies House API,
CAROUSEL ESTATE AGENTS LIMITED,08858933,"212 High Street, Gateshead, Tyne And Wear, NE8 1AQ, England",NE8 1AQ,,,68310,active,2014-01-23,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Gateshead,Companies House API,
BELL ESTATE AGENTS LIMITED,06258342,"488 Durham Road, Gateshead, NE9 6HU, England",NE9 6HU,,,"68310, 68320",active,2007-05-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Gateshead,Companies House API,
