company_name,company_number,registered_office_address,postcode,phone,website,sic_codes,company_status,date_of_creation,director_names,director_roles,officer_count,crm_detected,crm_confidence,crm_evidence,blast_segment,wisecall_tier,corporate_group,corporate_group_name,area,source,notes
ARCHERS ESTATE AGENTS LIMITED,05630937,"41 Sandygate Road, Crosspool, Sheffield, South Yorkshire, S10 5NG",S10 5NG,,,68310,active,2005-11-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Broomhill,Companies House API,
SHEFFIELD ESTATE AGENTS LTD,15925104,"336a Handsworth Road, Handsworth, Sheffield, S13 9BX, England",S13 9BX,,,68310,active,2024-08-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Handsworth,Companies House API,
BUTLERS ESTATE AGENTS LTD,06132841,"60 High Street, Mosborough, Sheffield, South Yorkshire, S20 5AE, England",S20 5AE,,,68310,active,2007-03-01,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Killamarsh,Companies House API,
DION ESTATE AGENTS LTD,16269360,"34 Fulmere Crescent, Sheffield, S5 9NP, England",S5 9NP,,,"45112, 68201, 68310, 68320",active,2025-02-21,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Firth Park,Companies House API,
FOREVER HOMES ESTATE AGENTS LTD,16353205,"303 County Way, Barnsley, S70 2JW, England",S70 2JW,,,"68310, 68320",active,2025-03-31,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,S70,Companies House API,
BLOSSOMS ESTATE AGENTS LTD,17256785,"907 Chesterfield Road, Sheffield, S8 0SS, United Kingdom",S8 0SS,,,68310,active,2026-06-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heeley,Companies House API,
CHADWICKS ESTATE AGENTS LIMITED,10598556,"3 Meadowhead, Sheffield, South Yorkshire, S8 7UA, United Kingdom",S8 7UA,,,"68100, 68209, 68310, 68320",active,2017-02-02,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,Heeley,Companies House API,
BAY ESTATE AGENTS LIMITED,04036806,"29 Camona Drive, Maritime Quarter, Swansea, West Glamorgan, SA1 1YJ",SA1 1YJ,,,"68310, 68320",active,2000-07-19,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA1,Companies House API,
ASHFORD ESTATE AGENTS LIMITED,14925549,"Princess House, Princess Way, Swansea, SA1 3LW, Wales",SA1 3LW,,,68310,active,2023-06-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA1,Companies House API,
CARTREF ESTATE AGENTS LTD,12506951,"34 Walters Road, Llanelli, Carms, SA15 1LS, Wales",SA15 1LS,,,"68310, 68320",active,2020-03-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA15,Companies House API,
ANNA ASHTON ESTATE AGENTS LTD,10959365,"3 College Street, Ammanford, SA18 3AB, Wales",SA18 3AB,,,68310,active,2017-09-12,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA18,Companies House API,
EVANS BROS AUCTIONEERS & ESTATE AGENTS LIMITED,05150154,"The Old School, The Quay, Carmarthen, Carmarthenshire, SA31 3LN",SA31 3LN,,,68310,active,2004-06-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA31,Companies House API,
FRESH ESTATE & LETTING AGENTS LIMITED,07503477,"Fresh Estate & Letting Agents 139 Woodfield Street, Morriston, Swansea, South Glamorgan, SA6 8AL, United Kingdom",SA6 8AL,,,"68209, 68310",active,2011-01-24,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SA6,Companies House API,
EO ESTATE AGENTS LTD,12434204,"Accountancy House, 90 Walworth Road, London, SE1 6SW, England",SE1 6SW,,,68310,active,2020-01-30,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE1,Companies House API,
HESTIA'S ESTATE AGENTS LTD,12803441,"Office 42 81 Lee High Road, London, SE13 5NS, England",SE13 5NS,,,"68209, 68310, 68320",active,2020-08-10,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE13,Companies House API,
ALEXANDER PRIME ESTATE AGENTS LIMITED,16109006,"48 Plumstead High Street, London, SE18 1SL, England",SE18 1SL,,,"68100, 68209, 68310, 68320",active,2024-11-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE18,Companies House API,
ANTHONY ALLEN ESTATE AGENTS LIMITED,12738352,"25 Basildon Road, London, SE2 0ET, England",SE2 0ET,,,68310,active,2020-07-13,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE2,Companies House API,
HABITAT ESTATE AGENTS LTD,16046965,"38 Portland Road, South Norwood, London, SE25 4PF, United Kingdom",SE25 4PF,,,"68100, 68310, 68320",active,2024-10-29,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE25,Companies House API,
FIRST OPTION ESTATE AGENTS LIMITED,07524006,"9 Station Road, London, SE25 5AH, England",SE25 5AH,,,68310,active,2011-02-09,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE25,Companies House API,
EATON GREEN ESTATE AGENTS LIMITED,06465935,"112 Denmark Hill, Camberwell, London, SE5 8RX",SE5 8RX,,,68310,active,2008-01-07,,,0,,,,Unknown CRM - manual check,Tier 3 - Unknown CRM (qualify on call),No,,SE5,Companies House API,
