name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Southerhay Dental Practice,01392 202242,Southerhay Dental Practice,EX1 1QL,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.southernhaydental.co.uk,
JustSmileDental,01392 454954,JustSmileDental,EX1 1SE,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Barnbrook Dental Practice,01392 273450,Barnbrook Dental Practice,EX1 1SL,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.barnbrookdentalpractice.co.uk,
Barnfield Dental Studio,01392 423668,Barnfield Dental Studio,EX1 1SR,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.barnfielddentalstudio.com,
St Leonard's Dental Practice,01392 439268,St Leonard's Dental Practice,EX1 1SW,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Spicer Road Dental Practice,01392 272408,Spicer Road Dental Practice,EX1 1SX,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.spicerroaddentalpractice.com,
Exeter Dental Access Centre,01392 822343,Exeter Dental Access Centre,EX1 2ED,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.devondental.nhs.uk,website unreachable
Exeter Dental Care,0795 8060687,Exeter Dental Care,EX1 2FW,Exeter & Devon (EX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistryforyou.co.uk,
Ottery St Mary Dental Practice,01404 811282,Ottery St Mary Dental Practice,EX11 1BW,Exeter & Devon (EX11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.otterydentalpractice.co.uk,website unreachable
The247dentist Emergency Dentist – Exeter,0330 1759995,The247dentist Emergency Dentist – Exeter,EX11 1BW,Exeter & Devon (EX11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
West Hill Dental Care,01404 811770,West Hill Dental Care,EX11 1TP,Exeter & Devon (EX11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brookvale Dental Practice,01395 579932,Brookvale Dental Practice,EX14 1AF,Exeter & Devon (EX14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brookvaledental.co.uk,
Honiton Dental Centre,140442023,Honiton Dental Centre,EX14 1BU,Exeter & Devon (EX14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Feniton Dental Practice,01404 850217,Feniton Dental Practice,EX14 3DR,Exeter & Devon (EX14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.fenitondental.co.uk,
Golds Place Dental Practice,188432240,Golds Place Dental Practice,EX15 1AA,Exeter & Devon (EX15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
