practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Klass Dental,,"Unit B, Harbour Road, Seaton",EX12 2LS,Exeter & Devon (EX12),01297 300761,https://www.klassdental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Apo Consult Ltd,CQC directory (auto-downloaded),
Wistaria House Dental Practice,,"Western Road, Crediton",EX17 3LT,Exeter & Devon (EX17),01363 773377,https://www.wistariadental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Crediton Dental Centre Limited,CQC directory (auto-downloaded),
The Curve Dental,,"22 Boutport Street, Barnstaple",EX31 1RP,Exeter & Devon (EX31),01271 500050,https://www.thecurvedental.co.uk/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Kitsungi Ltd,CQC directory (auto-downloaded),
Southerhay Dental Practice,,"20 Southernhay East, Exeter",EX1 1QL,Exeter & Devon (EX1),01392 202242,https://www.southernhaydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Southernhay Dental Practice,CQC directory (auto-downloaded),
JustSmileDental,,"34 Denmark Road, Exeter",EX1 1SE,Exeter & Devon (EX1),01392 454954,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Miklos Poratunszky,CQC directory (auto-downloaded),
Barnbrook Dental Practice,,"25 Denmark Road, Exeter",EX1 1SL,Exeter & Devon (EX1),01392 273450,https://www.barnbrookdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Pauline Selley,CQC directory (auto-downloaded),
Barnfield Dental Studio,,"10A Barnfield Hill, Exeter",EX1 1SR,Exeter & Devon (EX1),01392 423668,https://www.barnfielddentalstudio.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Barnfield Dental Studio Ltd,CQC directory (auto-downloaded),
St Leonard's Dental Practice,,"27 Denmark Road, Exeter",EX1 1SW,Exeter & Devon (EX1),01392 439268,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,St. Leonard's Dental Practice Limited,CQC directory (auto-downloaded),
Spicer Road Dental Practice,,"2 Spicer Road, Exeter",EX1 1SX,Exeter & Devon (EX1),01392 272408,https://www.spicerroaddentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Spicer Road Dental Practice Limited,CQC directory (auto-downloaded),
Exeter Dental Access Centre,Exeter Access Dental,"Royal Devon & Exeter Hospital, Heavitree, Exeter",EX1 2ED,Exeter & Devon (EX1),01392 822343,https://www.devondental.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Access Dental Ltd,CQC directory (auto-downloaded),website unreachable
Exeter Dental Care,,"Unit 5, The Depot,  Bampfylde Street, Exeter",EX1 2FW,Exeter & Devon (EX1),0795 8060687,https://www.dentistryforyou.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Harunani & Co Group of Dental Surgeries,CQC directory (auto-downloaded),
Apollonia House Dental Practice,,"Elysian Fields, Sidmouth",EX10 8UH,Exeter & Devon (EX10),01395 513333,https://www.sidmouthdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tim Johnson Dentistry Limited,CQC directory (auto-downloaded),
Ottery St Mary Dental Practice,,"Sunny Corner,  Hind Street, Ottery St Mary",EX11 1BW,Exeter & Devon (EX11),01404 811282,https://www.otterydentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tim Johnson Dentistry Limited,CQC directory (auto-downloaded),website unreachable
The247dentist Emergency Dentist – Exeter,,"Sunny Corner, Hind Street, Ottery St. Mary",EX11 1BW,Exeter & Devon (EX11),0330 1759995,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,247 Dental Limited,CQC directory (auto-downloaded),
West Hill Dental Care,,"2 The Old Village Hall, West Hill Road,  West Hill, Ottery St. Mary",EX11 1TP,Exeter & Devon (EX11),01404 811770,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Magdalena Malgorzata Chanin,CQC directory (auto-downloaded),
Stamford House Dental Practice,,"Stamford House, Silver Street, Axminster",EX13 5AH,Exeter & Devon (EX13),129733373,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sugendran Govender,CQC directory (auto-downloaded),
Axminster Dental Practice,,"Weycroft Avenue, Axminster",EX13 5HU,Exeter & Devon (EX13),129733733,https://Axminsterdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,TMH Restorative Limited,CQC directory (auto-downloaded),
Brookvale Dental Practice,,"6 King Street, Honiton",EX14 1AF,Exeter & Devon (EX14),01395 579932,https://www.brookvaledental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brookvale Dental Practice Partnership,CQC directory (auto-downloaded),
Honiton Dental Centre,,"38 New Street, Honiton",EX14 1BU,Exeter & Devon (EX14),140442023,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Joanne Russell Limited,CQC directory (auto-downloaded),
Feniton Dental Practice,,"43 Wells Avenue, Feniton",EX14 3DR,Exeter & Devon (EX14),01404 850217,https://www.fenitondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Emma Chourot,CQC directory (auto-downloaded),
Golds Place Dental Practice,,"Golds Place,  1st Floor, 26 High Street, Cullompton",EX15 1AA,Exeter & Devon (EX15),188432240,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Golds Place Dental Practice Ltd,CQC directory (auto-downloaded),
Ingleby House Dental Practice,,"42 High Street, Cullompton",EX15 1AE,Exeter & Devon (EX15),188434638,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ingleby Dental Practice Limited,CQC directory (auto-downloaded),
B M Pearson - Cullompton Dental Centre,,"2 Higher Street, Cullompton",EX15 1AJ,Exeter & Devon (EX15),01884 251287,https://www.dentalcentres.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,BM Pearson Ltd,CQC directory (auto-downloaded),website unreachable
B M Pearson - Tiverton Dental Centre,,"62 Bampton Street, Tiverton",EX16 6AH,Exeter & Devon (EX16),01884 251287,https://www.dentalcentres.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,BM Pearson Ltd,CQC directory (auto-downloaded),website unreachable
Castle View Dental Practice,,"9 Park Hill, Tiverton",EX16 6RR,Exeter & Devon (EX16),01884 253040,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Castle View Dental Practice,CQC directory (auto-downloaded),
