practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Redburn Dental,,"1-7 REDBURN WYND, KIRKCALDY",KY1 1HZ,Fife (KY1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Charlotte Dental Practice,,"1 CHARLOTTE STREET, KIRKCALDY",KY1 1RN,Fife (KY1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Park Road Dental Practice,,"5 PARK ROAD, KIRKCALDY",KY1 3EL,Fife (KY1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
East Neuk Dental Practice,,"9 EAST SHORE, ANSTRUTHER",KY103AB,Fife (KY10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Pickering Dental Care,,"111 HIGH STREET, INVERKEITHING",KY111NW,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Rosyth Dental Care,,"103 QUEENSFERRY ROAD, ROSYTH",KY112PS,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Chong Kwan Rosyth,,"122 QUEENSFERRY ROAD, ROSYTH",KY112QZ,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Linburn Dental Practice,,"124 NITH STREET, DUNFERMLINE FIFE",KY114LT,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Black And Brown Dental,,"UNIT 4A, PITTSBURGH RETAIL PARK, DUNFERMLINE",KY118DX,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Linden Tree Dental Lounge,,"3 GEORGE SQUARE, CASTLE BRAE, DUNFERMLINE",KY118QF,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dalgety Bay Dental Practice,,"7 MORAY WAY NORTH, DALGETY BAY",KY119NH,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Regent Dental Practice,,"7 BAY CENTRE REGENT WAY, DALGETY BAY",KY119UY,Fife (KY11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Chong Kwan 6A High Str,,"6A HIGH STREET, DUNFERMLINE",KY127AR,Fife (KY12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
