practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Sloan Dental Merchant City,,"125 HIGH STREET, GLASGOW",G1  1PH,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Albion Clinic,,"211 ALBION STREET, GLASGOW",G1  1RU,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Westerwood Merchant City 5845,,"80 HUTCHESON STREET, GLASGOW",G1  1SH,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
G1 Dental Care,,"54 DUNDAS STREET, GLASGOW",G1  2AQ,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Westerwood Dental Clinic,,"53 MITCHELL STREET, GLASGOW",G1  3LN,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Glasgow Green Dental,,"135 LONDON ROAD, GLASGOW",G1  5BS,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
S & A Smile Clinic,,"43 PARNIE STREET, GLASGOW",G1  5LU,Glasgow (G1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hannah & Armitage Dental Practice,,"44 LAWRENCE STREET, GLASGOW",G11 5HD,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Partick Cross Dental & Implant Centre,,"7 PARTICK BRIDGE STREET, GLASGOW",G11 6PN,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
West End Smiles,,"360 DUMBARTON ROAD, GLASGOW",G11 6RZ,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Crystal Dental Care,,"474 DUMBARTON ROAD, GLASGOW",G11 6SQ,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Buttercup 7 Day Dental,,"UNITS 10-11,BROOMHILL SHOP. CENTRE, NORBY RD, GLASGOW",G11 7BN,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dentistry @ Jordanhill,,"454 CROW ROAD, GLASGOW",G11 7DR,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Broomhill Dental Practice Ltd,,"437 CROW ROAD, GLASGOW",G11 7DZ,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Appletree Dental Care,,"3 CROW ROAD, GLASGOW",G11 7RT,Glasgow (G11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hillhead Dental Care,,"3 KERSLAND STREET, GLASGOW",G12 8BN,Glasgow (G12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
The Glasgow Smile Gallery,,"23 ASHTON ROAD, GLASGOW",G12 8SP,Glasgow (G12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Devonshire Dental Care,,"164 HYNDLAND ROAD, GLASGOW",G12 9HZ,Glasgow (G12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Philip Friel Advanced Dentistry,,"154 HYNDLAND ROAD, GLASGOW",G12 9HZ,Glasgow (G12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Fresh Dental & Cosmetic Studio,,"1555 GREAT WESTERN ROAD, GLASGOW",G13 1HN,Glasgow (G13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Anniesland Essential Dental Care,,"972-974 CROW ROAD, GLASGOW",G13 1JN,Glasgow (G13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Vanguard Dental Anniesland,,"810 CROW ROAD, GLASGOW",G13 1LY,Glasgow (G13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Alderman Road Dental Surgery,,"45 ALDERMAN ROAD, KNIGHTSWOOD, GLASGOW",G13 3YG,Glasgow (G13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dyke Road Dental Practice,,"355 DYKE ROAD, KNIGHTSWOOD, GLASGOW",G13 4SG,Glasgow (G13),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Riverbank Dental,,"2385 DUMBARTON ROAD, GLASGOW",G14 0NT,Glasgow (G14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Cairntoul Dental Care,,"11 CAIRNTOUL DRIVE, GLASGOW",G14 0XT,Glasgow (G14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Plean Street Dental,,"18 PLEAN STREET, GLASGOW",G14 0YJ,Glasgow (G14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Victoria Park Dental Practice,,"1406 DUMBARTON ROAD, SCOTSTOUN, GLASGOW",G14 9DR,Glasgow (G14),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mcnally Dental Care,,"248 DRUMCHAPEL ROAD, DRUMCHAPEL, GLASGOW",G15 6EG,Glasgow (G15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Green Apple Dental Studio,,"141 GARSCADDEN ROAD, GLASGOW",G15 6UQ,Glasgow (G15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Peel Glen Dental Care,,"14 PEEL GLEN ROAD, GLASGOW",G15 7XL,Glasgow (G15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mccallum & Logue,,"10 DUNKENNY SQUARE, DRUMCHAPEL, GLASGOW",G15 8NB,Glasgow (G15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Atelier Dentistry,,"178 BATH STREET, GLASGOW",G2  4HG,Glasgow (G2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kalyani Dental Lounge,,"200 BATH STREET, GLASGOW",G2  4HG,Glasgow (G2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Bath Street Dental Practice,,"270 BATH STREET, GLASGOW",G2  4JR,Glasgow (G2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Cashel Daisley,,"234 WEST GEORGE STREET, GLASGOW",G2  4QY,Glasgow (G2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
