name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Cotteswold House Dental Practice,01452 524024,Cotteswold House Dental Practice,GL4 6RH,Gloucester & Cheltenham (GL4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cotteswoldhouse.co.uk,
Clarence House Dental Health Centre,01452 522720,Clarence House Dental Health Centre,GL1 1DP,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.clarence-house.co.uk,
Phoenix Orthodontics,01452 332444,Phoenix Orthodontics,GL1 1DP,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dent Hub Smiles,01452 929323,Dent Hub Smiles,GL1 1JE,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.denthubsmiles.co.uk/,
ORAL SURGERY LTD - GLOUCESTER,0330 1229382,ORAL SURGERY LTD - GLOUCESTER,GL1 1JE,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Southgate Moorings,01452 380073,Southgate Moorings,GL1 2DB,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gloucester Dental Care,01452 310730,Gloucester Dental Care,GL1 3HF,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gloucesterdentalcare.co.uk,
GL1 Dental,01457 359860,GL1 Dental,GL1 5JN,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gl1dental.co.uk,website unreachable
The Limes Dental Practice,01452 523089,The Limes Dental Practice,GL1 5JX,Gloucester & Cheltenham (GL1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Woodcock Lane Dental Care,01453 828327,Woodcock Lane Dental Care,GL10 2EE,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
HRS Dentalcare Ltd,01453 826234,HRS Dentalcare Ltd,GL10 2LQ,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hrsdental.co.uk,
High Street Dental Practice,01453 822205,High Street Dental Practice,GL10 2NG,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Optimal Dental Care,01453 827474,Optimal Dental Care,GL10 2QA,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.townesandtownes.com,
Townes & Townes Associates Dental Surgeons,01453 827474,Townes & Townes Associates Dental Surgeons,GL10 2QA,Gloucester & Cheltenham (GL10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.townesandtownes.com,
Castle Gate Dental Surgery,01453 542109,Castle Gate Dental Surgery,GL11 4AA,Gloucester & Cheltenham (GL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vale Hospital,0300 4218494,Vale Hospital,GL11 4BA,Gloucester & Cheltenham (GL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cam Dental Practice,01453 542993,Cam Dental Practice,GL11 5NX,Gloucester & Cheltenham (GL11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Affinity Dental Care - Gloucester,01452 526526,Affinity Dental Care - Gloucester,GL2 0LS,Gloucester & Cheltenham (GL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The247dentist Emergency Dentist - Gloucester,0330 1759995,The247dentist Emergency Dentist - Gloucester,GL2 0LS,Gloucester & Cheltenham (GL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.the247dentist.com,
St James Dental,01452 727667,St James Dental,GL2 4WD,Gloucester & Cheltenham (GL2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.stjamesdental.com,
TOPS Dental Care,01684 293933,TOPS Dental Care,GL20 5BZ,Gloucester & Cheltenham (GL20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cheltenham Orthodontics @ Devereux,01684 214409,Cheltenham Orthodontics @ Devereux,GL20 5GJ,Gloucester & Cheltenham (GL20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cheltenhamorthodontics.co.uk,
Tewkesbury Dental,01684 295900,Tewkesbury Dental,GL20 5PP,Gloucester & Cheltenham (GL20),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tewkesburydental.co.uk,
