practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Cotteswold House Dental Practice,,"64 Cotteswold Road, Gloucester",GL4 6RH,Gloucester & Cheltenham (GL4),01452 524024,https://www.cotteswoldhouse.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cotteswold House Dental Care (Gloucester) Ltd,CQC directory (auto-downloaded),
Clarence House Dental Health Centre,,"22 Clarence Street, Gloucester",GL1 1DP,Gloucester & Cheltenham (GL1),01452 522720,https://www.clarence-house.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clarence House Dental Health Centre,CQC directory (auto-downloaded),
Phoenix Orthodontics,,"20 Clarence Street, Gloucester",GL1 1DP,Gloucester & Cheltenham (GL1),01452 332444,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr Rajesh Jagadish,CQC directory (auto-downloaded),
Dent Hub Smiles,,"29 Brunswick Road, Gloucester",GL1 1JE,Gloucester & Cheltenham (GL1),01452 929323,https://www.denthubsmiles.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dent Hub Smiles,CQC directory (auto-downloaded),
ORAL SURGERY LTD - GLOUCESTER,,"29 Brunswick Road, Gloucester",GL1 1JE,Gloucester & Cheltenham (GL1),0330 1229382,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oral Surgery Ltd,CQC directory (auto-downloaded),
Southgate Moorings,,"2 Kimbrose Way, Gloucester",GL1 2DB,Gloucester & Cheltenham (GL1),01452 380073,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gloucestershire Health & Care NHS Foundation Trust,CQC directory (auto-downloaded),
Gloucester Dental Care,,"1st Floor, 65 London Road, Gloucester",GL1 3HF,Gloucester & Cheltenham (GL1),01452 310730,https://www.gloucesterdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Opaleye And Middlefell Limited,CQC directory (auto-downloaded),
GL1 Dental,,"124-126 Stroud Road, Gloucester",GL1 5JN,Gloucester & Cheltenham (GL1),01457 359860,https://www.gl1dental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,THJT Limited,CQC directory (auto-downloaded),website unreachable
The Limes Dental Practice,,"168 Stroud Road, Gloucester",GL1 5JX,Gloucester & Cheltenham (GL1),01452 523089,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Limes Dental Practice Limited,CQC directory (auto-downloaded),
Woodcock Lane Dental Care,,"2 Woodcock Lane, Stonehouse",GL10 2EE,Gloucester & Cheltenham (GL10),01453 828327,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Tara D Conway Ltd,CQC directory (auto-downloaded),
