name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Accord Dental Practice,0787 2306061,Accord Dental Practice,GU15 3EJ,Guildford & Woking (GU15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.accorddentalpractice.com,
Watercress Dental House,01420 544408,Watercress Dental House,GU34 1EF,Guildford & Woking (GU34),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.watercressdental.co.uk,
The Hollies Dental Practice,01483 564233,The Hollies Dental Practice,GU1 1ED,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Mews Practice,01483 452555,The Mews Practice,GU1 1TN,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.themewspractice.com,
Dene Lodge Dental Practice,01483 575865,Dene Lodge Dental Practice,GU1 2AA,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Guildford Dental Practice,0759 5893907,Guildford Dental Practice,GU1 2AA,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Northdene Dental Surgery,01483 560068,Northdene Dental Surgery,GU1 2AA,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Guildford Dental Partnership,01483 440563,Guildford Dental Partnership,GU1 2AF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://gdpguildford.co.uk,
Sync Guildford,01483 504371,Sync Guildford,GU1 2AF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Practice,01483 300022,The Dental Practice,GU1 2AF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Gables Dental Practice,01483 504371,The Gables Dental Practice,GU1 2AF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gablesdental.co.uk,
Waterden Dental Practice,01483 565290,Waterden Dental Practice,GU1 2AW,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Guildford Smiles,01483 361739,Guildford Smiles,GU1 3EG,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.guildfordsmilesdental.co.uk/guildford-dentists,website unreachable
Burneston House Dental Surgery,01483 573630,Burneston House Dental Surgery,GU1 3LF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.burnestondental.com,website unreachable
Rectory House Dental Practice,01483 575620,Rectory House Dental Practice,GU1 3LF,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rectoryhousedental.co.uk,
21D Guildford,0800 0073199,21D Guildford,GU1 3UA,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
Eastgate Dental Clinic,01483 573889,Eastgate Dental Clinic,GU1 4AZ,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.eastgatedentalclinic.co.uk,website unreachable
Specialist Dental,01483 504705,Specialist Dental,GU1 4HD,Guildford & Woking (GU1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.specialistdental.co.uk,
Southwood Dental Centre,01252 447200,Southwood Dental Centre,GU14 0NA,Guildford & Woking (GU14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Clareville Dental Surgery,01252 544063,Clareville Dental Surgery,GU14 6AU,Guildford & Woking (GU14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadhurst Dental Practice,01252 545313,Broadhurst Dental Practice,GU14 6DD,Guildford & Woking (GU14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fernhill Dental Centre,01252 448600,Fernhill Dental Centre,GU14 9DS,Guildford & Woking (GU14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Heatherside Dental Practice,01276 670810,Heatherside Dental Practice,GU15 1AX,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coppertop Dental Surgery,0779 3056237,Coppertop Dental Surgery,GU15 2EF,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coppertop Surgery,01276 681011,Coppertop Surgery,GU15 2EF,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coppertopdentist.co.uk,website unreachable
Mr Jasvinder Kaila - Middle Gordon Road,127623370,Mr Jasvinder Kaila - Middle Gordon Road,GU15 2HT,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Camberley Dental Practice,127661626,Camberley Dental Practice,GU15 2JB,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.camberleydentalpractice.co.uk,
The Croft Dental Centre,127666710,The Croft Dental Centre,GU15 2JQ,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.croftdentalcentre.co.uk,
Surrey Heath Dental Care,01276 469600,Surrey Heath Dental Care,GU15 2QJ,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Camberley Dental Clinic,127663854,Camberley Dental Clinic,GU15 3LN,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oatlands Dental Health Centre,127621463,Oatlands Dental Health Centre,GU15 3LZ,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Atrium Dental,127663654,Atrium Dental,GU15 3NY,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.atriumdentalcamberley.co.uk,
Able Denture and Implant Clinic,127625235,Able Denture and Implant Clinic,GU15 3PU,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.abledentureclinic.com,
Smile For Life Dental Clinic - Camberley,127633677,Smile For Life Dental Clinic - Camberley,GU15 3RB,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Portman Smile Clinic, Camberley",01242 896369,"Portman Smile Clinic, Camberley",GU15 3RS,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sapphire Dental,01276 671953,Sapphire Dental,GU15 3YN,Guildford & Woking (GU15),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Frimley Green Dental Centre,01252 835302,Frimley Green Dental Centre,GU16 6LE,Guildford & Woking (GU16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deepcut Village Dental Practice,01252 837363,Deepcut Village Dental Practice,GU16 6SD,Guildford & Woking (GU16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cedar Clinic Limited,127663857,Cedar Clinic Limited,GU16 7HT,Guildford & Woking (GU16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cedarclinic.co.uk,
Coach House Dental Practice,127624425,Coach House Dental Practice,GU16 7HT,Guildford & Woking (GU16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coach House Dental Practice Limited,127624425,Coach House Dental Practice Limited,GU16 7HT,Guildford & Woking (GU16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coachhousedental.co.uk,
Buryfields Clinic,01483 783340,Buryfields Clinic,GU2 4AX,Guildford & Woking (GU2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
