practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Accord Dental Practice,,"67 Frimley Road, Camberley",GU15 3EJ,Guildford & Woking (GU15),0787 2306061,https://www.accorddentalpractice.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Accord Dental Services Ltd,CQC directory (auto-downloaded),
Watercress Dental House,,"1 The Windmills, St Mary's Close, Alton",GU34 1EF,Guildford & Woking (GU34),01420 544408,https://www.watercressdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Marcello Tulone,CQC directory (auto-downloaded),
Owlsmoor Dental Practice,,"1 Yeovil Road, Owlsmoor, Sandhurst",GU47 0TF,Guildford & Woking (GU47),01344 771615,https://www.owlsmoordentalpractice.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Owlsmoor Dental Practice,CQC directory (auto-downloaded),
Guildford Dental & Implant Suite,,"6 Faraday Road, Guildford",GU1 1EA,Guildford & Woking (GU1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Guildford Dental & Implant Suite Ltd,CQC directory (auto-downloaded),
The Hollies Dental Practice,,"33 Woodbridge Road, Guildford",GU1 1ED,Guildford & Woking (GU1),01483 564233,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Gary Hill,CQC directory (auto-downloaded),
The Mews Practice,,"Elmdon House, 116 London Road, Guildford",GU1 1TN,Guildford & Woking (GU1),01483 452555,https://www.themewspractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Mews Practice Limited,CQC directory (auto-downloaded),
Dene Lodge Dental Practice,,"9 London Road, Guildford",GU1 2AA,Guildford & Woking (GU1),01483 575865,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Elaine Lee-Ying Dang,CQC directory (auto-downloaded),
Guildford Dental Practice,,"9 London Road, Guildford",GU1 2AA,Guildford & Woking (GU1),0759 5893907,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Guildford Dental Practice Limited,CQC directory (auto-downloaded),
Northdene Dental Surgery,,"13 London Road, Guildford",GU1 2AA,Guildford & Woking (GU1),01483 560068,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Northdene Services Limited,CQC directory (auto-downloaded),
Guildford Dental Partnership,,"44 London Road, Guildford",GU1 2AF,Guildford & Woking (GU1),01483 440563,https://gdpguildford.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Pardip Atthi,CQC directory (auto-downloaded),
