name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
K S Hunjan & Associates Dental Practice Halifax,01422 353377,K S Hunjan & Associates Dental Practice Halifax,HX1 1DJ,Halifax (HX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
MODE – Dental Studio,01422 356853,MODE – Dental Studio,HX1 1UG,Halifax (HX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Azam & Associates Healthcare Limited,01422 354147,Azam & Associates Healthcare Limited,HX1 2QW,Halifax (HX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
K S Hunjan & Associates,01422 647490,K S Hunjan & Associates,HX1 3XA,Halifax (HX1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hunjandental.com,
Walrus Dental Care Limited,01422 347176,Walrus Dental Care Limited,HX2 0LY,Halifax (HX2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Moorside Dental Practice,01422 229616,Moorside Dental Practice,HX2 8AU,Halifax (HX2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.moorsidedental.com,
Whitehill House Dental Practice,01422 240874,Whitehill House Dental Practice,HX2 9HD,Halifax (HX2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Skircoat Green Dental Practice Ltd,01422 353520,Skircoat Green Dental Practice Ltd,HX3 0LX,Halifax (HX3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Copley Dental Care,01422 355667,Copley Dental Care,HX3 0UA,Halifax (HX3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Old Church Dental Practice,01422 368059,The Old Church Dental Practice,HX3 8NU,Halifax (HX3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
West Vale Dental Surgery,01422 370282,West Vale Dental Surgery,HX4 8AG,Halifax (HX4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Elland Practice Limited,01422 370353,Elland Practice Limited,HX5 0AB,Halifax (HX5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Care Centre Elland,01422 372623,Dental Care Centre Elland,HX5 0EP,Halifax (HX5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ellandsmiles.co.uk,
J G Pearson Dental Surgeons - Southgate,01422 372623,J G Pearson Dental Surgeons - Southgate,HX5 0EP,Halifax (HX5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clough Dental Surgery,01422 834392,Clough Dental Surgery,HX6 2AL,Halifax (HX6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tower Hill Dental,01422 833331,Tower Hill Dental,HX6 2EQ,Halifax (HX6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.towerhilldentalpractice.co.uk,
Ripponden Dental Care,01422 824875,Ripponden Dental Care,HX6 4DN,Halifax (HX6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shinedental.co.uk,
Hebden Bridge Dental Care,01422 843162,Hebden Bridge Dental Care,HX7 8AD,Halifax (HX7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Mydentist, Broad Street Plaza, Halifax",01204 799799,"Mydentist, Broad Street Plaza, Halifax",HX1 1UX,Halifax (HX1),MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Bupa Dental Care Sowerby Bridge,01422 316315,Bupa Dental Care Sowerby Bridge,HX6 2AG,Halifax (HX6),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
Bupa Dental Care Mytholmroyd,01422 881234,Bupa Dental Care Mytholmroyd,HX7 5LF,Halifax (HX7),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,,
