practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
K S Hunjan & Associates Dental Practice Halifax,,"3 Westgate, Halifax",HX1 1DJ,Halifax (HX1),01422 353377,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,K S Hunjan Associates Limited,CQC directory (auto-downloaded),
MODE – Dental Studio,,"Landown House, 7-9 Crossley Street, Halifax",HX1 1UG,Halifax (HX1),01422 356853,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Halifax Dental Ltd,CQC directory (auto-downloaded),
Saltaire Orthodontics,,"8-12 Crossley Street, Halifax",HX1 1UG,Halifax (HX1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sandeep Sharma,CQC directory (auto-downloaded),
Azam & Associates Healthcare Limited,,"32 Prescott Street, Halifax",HX1 2QW,Halifax (HX1),01422 354147,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Azam & Associates Healthcare Ltd,CQC directory (auto-downloaded),
King Cross Dental,,"245 King Cross Road, Halifax",HX1 3JL,Halifax (HX1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,KCDENT LTD,CQC directory (auto-downloaded),
K S Hunjan & Associates,,"3 Parkinson Lane, Halifax",HX1 3XA,Halifax (HX1),01422 647490,https://www.hunjandental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,K S Hunjan Associates Limited,CQC directory (auto-downloaded),
"Dental Clinic, St John's Health Centre",,"Lightowler Road, Halifax",HX1 5ND,Halifax (HX1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Locala Community Partnerships C.I.C.,CQC directory (auto-downloaded),
Walrus Dental Care Limited,,"31 Highroadwell Lane, Halifax",HX2 0LY,Halifax (HX2),01422 347176,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Walrus Dental Care Limited,CQC directory (auto-downloaded),
Moorside Dental Practice,,"1 Forest Grove, Keighley Road, Halifax",HX2 8AU,Halifax (HX2),01422 229616,https://www.moorsidedental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Gethin Jones,CQC directory (auto-downloaded),
Whitehill House Dental Practice,,"Whitehill Road, Illingworth, Halifax",HX2 9HD,Halifax (HX2),01422 240874,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Whitehill House Dental Practice,CQC directory (auto-downloaded),
Skircoat Green Dental Practice Ltd,,"341 Skircoat Green Road, Halifax",HX3 0LX,Halifax (HX3),01422 353520,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Skircoat Green Dental Practice Ltd,CQC directory (auto-downloaded),
Copley Dental Care,,"Glendene, Wakefield Road,  Copley, Halifax",HX3 0UA,Halifax (HX3),01422 355667,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Edward Abdur Rashid Sarker,CQC directory (auto-downloaded),
Carr Wood House Dental Surgery,,"68 Carr House Road, Shelf, Halifax",HX3 7RJ,Halifax (HX3),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Altaf Hussain,CQC directory (auto-downloaded),
Dental Icon,,"2a Halifax Road, Hipperholme, Halifax",HX3 8ER,Halifax (HX3),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,G Smiles Ltd,CQC directory (auto-downloaded),
