name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dental Hub Harrogate,01423 298002,The Dental Hub Harrogate,HG2 8QZ,Harrogate south,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thedentalhub.com,
Mount Parade Dental Surgery,01423 503999,Mount Parade Dental Surgery,HG1 1BX,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Linden House Dental Practice,01423 503162,Linden House Dental Practice,HG1 1ED,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lindenhousedentalpractice.co.uk,
The Raglan Suite,01423 565432,The Raglan Suite,HG1 1LE,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.raglansuite.co.uk,website unreachable
Crescent Dental Clinic,01423 531863,Crescent Dental Clinic,HG1 1PE,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentozen Harrogate,0795 6776114,Dentozen Harrogate,HG1 1QJ,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Mapleleaf Practice,01423 503212,The Mapleleaf Practice,HG1 2HR,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mist Dental,01423 504277,Mist Dental,HG1 2JB,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rfdentalcare.co.uk,
Swan Dental Practice,01423 503573,Swan Dental Practice,HG1 2SX,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Coppice View Dental Care,01423 503428,Coppice View Dental Care,HG1 5HH,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.coppiceviewdental.co.uk,
Chatsworth House Dental Clinic,01423 503534,Chatsworth House Dental Clinic,HG1 5HP,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chatsworthdental.co.uk/,
Total Orthodontics Harrogate,01423 522555,Total Orthodontics Harrogate,HG1 5LB,Harrogate town,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.rhclinic.co.uk,website unreachable
Harrogate Dental Care Limited,01423 884503,Harrogate Dental Care Limited,HG2 7DB,Harrogate south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Target Dental Limited t/a Starbeck Dental Centre,01423 883905,Target Dental Limited t/a Starbeck Dental Centre,HG2 7HY,Harrogate south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.starbeckdentalcentre.co.uk,
Harrogate District Hospital,01423 554444,Harrogate District Hospital,HG2 7SX,Harrogate south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hdft.nhs.uk,website unreachable
Hookstone Dental Care,01423 879266,Hookstone Dental Care,HG2 8BT,Harrogate south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Infinity Dental Clinic,01423 423429,Infinity Dental Clinic,HG3 1GY,Pannal/Ripley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
A R Brosgill - Pannal,01423 870879,A R Brosgill - Pannal,HG3 1JP,Pannal/Ripley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jennyfields Dental Practice,01423 558118,Jennyfields Dental Practice,HG3 2XT,Pannal/Ripley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dacre Banks Dental Practice,01423 780801,Dacre Banks Dental Practice,HG3 4DX,Pannal/Ripley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Knaresborough Dental Centre,0779 5342550,Knaresborough Dental Centre,HG5 0EQ,Knaresborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Target Dental Limited t/a Knaresborough Dental Centre,01423 862571,Target Dental Limited t/a Knaresborough Dental Centre,HG5 0EQ,Knaresborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.knaresboroughdentalcentre.co.uk,
Purely Dental Care,01423 863069,Purely Dental Care,HG5 0LN,Knaresborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Dental Practice,01423 865149,Castle Dental Practice,HG5 8AX,Knaresborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Clover House Dental Practice,01423 563344,Clover House Dental Practice,HG1 4LL,Harrogate town,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Todays Dental,No,,
Harrogate Spa Dental Care,01423 540879,Harrogate Spa Dental Care,HG1 5HP,Harrogate town,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,SPA Dental,No,,
North Park Dental Practice,0753 9985467,North Park Dental Practice,HG1 5PD,Harrogate town,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,,
Kingswood House,01423 885959,Kingswood House,HG2 7SA,Harrogate south,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Community Dental Services,No,,
Mydentist - Castle Yard - Knaresborough,01423 862506,Mydentist - Castle Yard - Knaresborough,HG5 8AS,Knaresborough,MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
