practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dental Hub Harrogate,,"Wetherby Road, Harrogate",HG2 8QZ,Harrogate south,01423 298002,https://www.thedentalhub.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Dental Hub LTD,CQC directory (auto-downloaded),
No. 4 Dental Studio,,"4 Westgate, Ripon",HG4 2AT,Ripon,0770 7055161,https://www.no4dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,HG Dentistry Ltd,CQC directory (auto-downloaded),
Mount Parade Dental Surgery,,"14 Mount Parade, Harrogate",HG1 1BX,Harrogate town,01423 503999,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,32 Dental Care Limited,CQC directory (auto-downloaded),
Linden House Dental Practice,,"10 Victoria Avenue, Harrogate",HG1 1ED,Harrogate town,01423 503162,https://www.lindenhousedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. John Murray,CQC directory (auto-downloaded),
The Raglan Suite,,"16-18 Raglan Street, Harrogate",HG1 1LE,Harrogate town,01423 565432,https://www.raglansuite.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Raglan Suite Limited,CQC directory (auto-downloaded),website unreachable
Crescent Dental Clinic,,"12 Cambridge Crescent, Harrogate",HG1 1PE,Harrogate town,01423 531863,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentally Yours Limited,CQC directory (auto-downloaded),
Dentozen Harrogate,,"6 Oxford Street, Harrogate",HG1 1QJ,Harrogate town,0795 6776114,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentozen Ltd,CQC directory (auto-downloaded),
The Harrogate Dentist,,"1 Prospect Crescent, Harrogate",HG1 1RH,Harrogate town,,https://www.theharrogatedentist.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,White Orchid Practices Limited,CQC directory (auto-downloaded),website unreachable
The Mapleleaf Practice,,"4 Springfield Avenue, Harrogate",HG1 2HR,Harrogate town,01423 503212,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Mapleleaf Practice Ltd,CQC directory (auto-downloaded),
Mist Dental,,"Dental Practice, 12 Ripon Road, Harrogate",HG1 2JB,Harrogate town,01423 504277,https://www.rfdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miller and Storr Partnership,CQC directory (auto-downloaded),
Swan Dental Practice,,"5 Ripon Road, Harrogate",HG1 2SX,Harrogate town,01423 503573,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Swan Dental Care LLP,CQC directory (auto-downloaded),
Coppice View Dental Care,,"104 Kings Road, Harrogate",HG1 5HH,Harrogate town,01423 503428,https://www.coppiceviewdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Coppice View Dental (Harrogate) Limited,CQC directory (auto-downloaded),
Chatsworth House Dental Clinic,,"85 Kings Road, Harrogate",HG1 5HP,Harrogate town,01423 503534,https://www.chatsworthdental.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Prem Hunjan Ltd,CQC directory (auto-downloaded),
