name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Complete Smiles - Harrow on the Hill,0776 2290951,Complete Smiles - Harrow on the Hill,HA1 3HZ,Harrow & Uxbridge (HA1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.completesmiles.co.uk,
toothi,02031 482444,toothi,HA8 6LD,Harrow & Uxbridge (HA8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.toothi.co.uk,
Dental Surgery,02089 983030,Dental Surgery,HA0 1EU,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ealing Road Dental Centre,02089 983030,Ealing Road Dental Centre,HA0 1EU,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Central Dental Care - Wembley,02089 029566,Central Dental Care - Wembley,HA0 2DW,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.centraldentalcare.co.uk,
Merali Dental Clinic,0781 8252511,Merali Dental Clinic,HA0 2LP,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harrow Road Dental Surgery,02089 041409,Harrow Road Dental Surgery,HA0 2RH,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Watford Road Dental Surgery,02089 080627,Watford Road Dental Surgery,HA0 3HF,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Surgery@102 Limited,02089 025082,Surgery@102 Limited,HA0 4TH,Harrow & Uxbridge (HA0),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Complete Smiles,0776 2290951,Complete Smiles,HA1 1BE,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile 360 Dental Practice,0759 5901670,Smile 360 Dental Practice,HA1 1GZ,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Angle House Harrow Specialist Dentistry,02039 885550,Angle House Harrow Specialist Dentistry,HA1 2BU,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.anglehouse.com,
Dental Beauty Harrow,02084 271149,Dental Beauty Harrow,HA1 2JF,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HA1 Dental,02084 272070,HA1 Dental,HA1 2RX,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Blue Court Dental Centre,02089 049440,Blue Court Dental Centre,HA1 3UA,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.bluecourtdental.com,
One Complete Dental,02088 636616,One Complete Dental,HA1 4GZ,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.onecompletedental.co.uk,
Pinner Road Smile Clinic Ltd,02084 279585,Pinner Road Smile Clinic Ltd,HA1 4JU,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Harrow Dental Centre,02084 272543,Harrow Dental Centre,HA1 4LB,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.harrow-dentist.com,
Dentology Cleethorpes Road,0798 0826683,Dentology Cleethorpes Road,HA1 4QA,Harrow & Uxbridge (HA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentology-grimsby.co.uk,website unreachable
Revital Dental Care,02084 222120,Revital Dental Care,HA2 0AJ,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.revitaldental.com,
Harrow On The Hill Dental & Facial Aesthetics,02084 265250,Harrow On The Hill Dental & Facial Aesthetics,HA2 0JF,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Neem Dental Clinic,02084 232523,Neem Dental Clinic,HA2 0LH,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.neemdentalclinic.co.uk,
Imperial Dental Care,02084 272264,Imperial Dental Care,HA2 6ED,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
North Harrow Dental,02088 631576,North Harrow Dental,HA2 6EF,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Pinner Road Dental Practice,02084 273111,Pinner Road Dental Practice,HA2 6EF,Harrow & Uxbridge (HA2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
