practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Complete Smiles - Harrow on the Hill,,"Unit 2,  43 High Street, Harrow",HA1 3HZ,Harrow & Uxbridge (HA1),0776 2290951,https://www.completesmiles.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,MSSA Investments Ltd,CQC directory (auto-downloaded),
toothi,,"1 Handel Parade,  Whitchurch Lane, Edgware",HA8 6LD,Harrow & Uxbridge (HA8),02031 482444,https://www.toothi.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cherry Dental Ltd,CQC directory (auto-downloaded),
Dental Surgery,,"267a Ealing Road, Wembley",HA0 1EU,Harrow & Uxbridge (HA0),02089 983030,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Abbas Arbabi,CQC directory (auto-downloaded),
Ealing Road Dental Centre,,"267a Ealing Road, Wembley",HA0 1EU,Harrow & Uxbridge (HA0),02089 983030,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Arbabi and Sheth,CQC directory (auto-downloaded),
Central Dental Care - Wembley,,"555 High Road, Wembley",HA0 2DW,Harrow & Uxbridge (HA0),02089 029566,https://www.centraldentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Central Dental Care,CQC directory (auto-downloaded),
Merali Dental Clinic,,"807 Wembley Road, Sudbury Town, Wembley",HA0 2LP,Harrow & Uxbridge (HA0),0781 8252511,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Shirazali Merali,CQC directory (auto-downloaded),
Harrow Road Dental Surgery,,"883 Harrow Road, Wembley",HA0 2RH,Harrow & Uxbridge (HA0),02089 041409,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Naman Shah,CQC directory (auto-downloaded),
Watford Road Dental Surgery,,"114 Watford Road, Sudbury, Wembley",HA0 3HF,Harrow & Uxbridge (HA0),02089 080627,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sana Movahedi,CQC directory (auto-downloaded),
Surgery@102 Limited,,"102 Ealing Road, Wembley",HA0 4TH,Harrow & Uxbridge (HA0),02089 025082,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Surgery@102 Limited,CQC directory (auto-downloaded),
Complete Smiles,MSSA Investments Ltd,"30 College Road, Harrow",HA1 1BE,Harrow & Uxbridge (HA1),0776 2290951,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MSSA Investments Ltd,CQC directory (auto-downloaded),
Smile 360 Dental Practice,,"Diamond Court, Greenhill Way, Harrow",HA1 1GZ,Harrow & Uxbridge (HA1),0759 5901670,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Hamza Maududi,CQC directory (auto-downloaded),
Angle House Harrow Specialist Dentistry,,"Unit 1 Masters Court, 2 Lyons Square,  Lyon Road, Harrow",HA1 2BU,Harrow & Uxbridge (HA1),02039 885550,https://www.anglehouse.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hemant Patel Orthodontist Ltd,CQC directory (auto-downloaded),
Dental Beauty Harrow,,"54 Sheepcote Road, Harrow",HA1 2JF,Harrow & Uxbridge (HA1),02084 271149,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hill View Dental Practice Limited,CQC directory (auto-downloaded),
HA1 Dental,,"96 Station Road, Harrow",HA1 2RX,Harrow & Uxbridge (HA1),02084 272070,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Dhrupti Jamin Patel,CQC directory (auto-downloaded),
