name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Kings Dental Berkhamsted,01442 875120,Kings Dental Berkhamsted,HP4 3BD,Hemel Hempstead & Amersham (HP4),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.kingsroaddentalpractice.co.uk,
Hemel Smile Studios - Marlowes,01442 251619,Hemel Smile Studios - Marlowes,HP1 1LE,Hemel Hempstead & Amersham (HP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hemelsmilestudios.com,website unreachable
Chaulden Practice,01442 256613,Chaulden Practice,HP1 2AL,Hemel Hempstead & Amersham (HP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Quality Affordable Dentistry,01442 248670,Quality Affordable Dentistry,HP1 3AF,Hemel Hempstead & Amersham (HP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Galley Hill Dental Surgery,01442 264786,Galley Hill Dental Surgery,HP1 3RE,Hemel Hempstead & Amersham (HP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Willows Dental Surgery,01494 522368,The Willows Dental Surgery,HP11 1BJ,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Enhance Dental Centre,14945244455,Enhance Dental Centre,HP11 2AG,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
JD Dental Care,01494 528700,JD Dental Care,HP11 2AG,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HW Dental Centre,01494 444076,HW Dental Centre,HP11 2BE,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hwdentalcentre.co.uk,
The HW Dental Centre,01494 444076,The HW Dental Centre,HP11 2BE,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Valley DC Limited,01494 510260,Valley DC Limited,HP11 2QL,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.valleydentalcare.co.uk,
Wycombe Dental Clinic,01494 465241,Wycombe Dental Clinic,HP11 2QR,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wycombedentist.com,
The Dental Practice,01494 455900,The Dental Practice,HP11 2ST,Hemel Hempstead & Amersham (HP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Scandic Dental Care,01494 526566,Scandic Dental Care,HP13 5DL,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crendon Dental Centre,01494 528153,Crendon Dental Centre,HP13 6LE,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Amersham Hill Dental Clinic,01494 526392,Amersham Hill Dental Clinic,HP13 6NR,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wycombe Dental Centre,01494 442922,Wycombe Dental Centre,HP13 6NR,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Octagon Orthodontics,01494 513797,Octagon Orthodontics,HP13 6NU,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Optima Dental CARE High Wycombe,0797 1382052,Optima Dental CARE High Wycombe,HP13 6RU,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wesley Court Dental Practice,01494 474681,Wesley Court Dental Practice,HP13 6SR,Hemel Hempstead & Amersham (HP13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wesleycourtdental.co.uk,
Watermead Dental Centre,01296 330700,Watermead Dental Centre,HP19 0FX,Hemel Hempstead & Amersham (HP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Eastgate Dental Centre,01296 433222,Eastgate Dental Centre,HP19 7HL,Hemel Hempstead & Amersham (HP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fairford Leys Smile Centre,01296 398180,Fairford Leys Smile Centre,HP19 7HT,Hemel Hempstead & Amersham (HP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.fairfordleyssmilecentre.co.uk,
Aylesbury Dental Health Centre,01296 415234,Aylesbury Dental Health Centre,HP19 9PT,Hemel Hempstead & Amersham (HP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.aylesburydentists.co.uk,
Denta-Care,01296 424037,Denta-Care,HP19 9PT,Hemel Hempstead & Amersham (HP19),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orthohemel Limited,01442 232041,Orthohemel Limited,HP2 4AB,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.orthoplus.co.uk,
Alexandra Dental Practice,01442 256335,Alexandra Dental Practice,HP2 4AG,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alexdental.co.uk,
Maylands Dental Practice,01923 672773,Maylands Dental Practice,HP2 4XH,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Longlands Dental Practice,01442 264228,Longlands Dental Practice,HP2 5LE,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hemel Smile Studio - Grovehill,01442 253939,Hemel Smile Studio - Grovehill,HP2 6DG,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Woodhall Farm Dental Practice,01442 212821,Woodhall Farm Dental Practice,HP2 7QD,Hemel Hempstead & Amersham (HP2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
