practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Kings Dental Berkhamsted,,"22 Kings Road, Berkhamsted",HP4 3BD,Hemel Hempstead & Amersham (HP4),01442 875120,https://www.kingsroaddentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,King's Road Dental Practice Ltd,CQC directory (auto-downloaded),
Hemel Smile Studios - Marlowes,,"69 Marlowes, Hemel Hempstead",HP1 1LE,Hemel Hempstead & Amersham (HP1),01442 251619,https://www.hemelsmilestudios.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hemel Centre Limited,CQC directory (auto-downloaded),website unreachable
Chaulden Practice,,"180 Northridge Way, Chaulden, Hemel Hempstead",HP1 2AL,Hemel Hempstead & Amersham (HP1),01442 256613,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Anil Patel,CQC directory (auto-downloaded),
Quality Affordable Dentistry,,"54 High Street, Hemel Hempstead",HP1 3AF,Hemel Hempstead & Amersham (HP1),01442 248670,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,SGK Stanmore Limited,CQC directory (auto-downloaded),
Rossgate Dental Care,,"302 Galley Hill, Hemel Hempstead",HP1 3LE,Hemel Hempstead & Amersham (HP1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Karan Chandrakant Patel,CQC directory (auto-downloaded),
Galley Hill Dental Surgery,,"432 - 434 Galley Hill, Hemel Hempstead",HP1 3RE,Hemel Hempstead & Amersham (HP1),01442 264786,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Forever Bright Limited,CQC directory (auto-downloaded),
Ash Tree House Dental Surgery,,"6B The Green, Wooburn Green, High Wycombe",HP10 0EE,Hemel Hempstead & Amersham (HP10),01628 532932,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Basra,CQC directory (auto-downloaded),
Chapel Dental,,"25 Heath End Road, Flackwell Heath, High Wycombe",HP10 9DT,Hemel Hempstead & Amersham (HP10),01628 810024,https://www.chapeldentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Evans and Derby Ltd,CQC directory (auto-downloaded),
The Willows Dental Surgery,,"27 London Road, High Wycombe",HP11 1BJ,Hemel Hempstead & Amersham (HP11),01494 522368,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Willows Dental Surgery Limited,CQC directory (auto-downloaded),
Enhance Dental Centre,,"26 High Street, High Wycombe",HP11 2AG,Hemel Hempstead & Amersham (HP11),14945244455,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Enhance Dental Centre Partnership,CQC directory (auto-downloaded),
JD Dental Care,,"32 High Street, High Wycombe",HP11 2AG,Hemel Hempstead & Amersham (HP11),01494 528700,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sunil Dev Kaura,CQC directory (auto-downloaded),
Making Smiles High Wycombe,,"7 High Street, High Wycombe",HP11 2AZ,Hemel Hempstead & Amersham (HP11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Impressions Orthodontics Limited,CQC directory (auto-downloaded),
HW Dental Centre,,"20a, High Street, High Wycombe",HP11 2BE,Hemel Hempstead & Amersham (HP11),01494 444076,https://www.hwdentalcentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Elena Ivanova Belichka-Stanilova,CQC directory (auto-downloaded),
The HW Dental Centre,,"20a High Street, High Wycombe",HP11 2BE,Hemel Hempstead & Amersham (HP11),01494 444076,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,EBS DENT LTD,CQC directory (auto-downloaded),
Wycombe Dental Hub,,"32 - 33, Oxford Street, High Wycombe",HP11 2DJ,Hemel Hempstead & Amersham (HP11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wycombe Dental Hub Limited,CQC directory (auto-downloaded),
Valley DC Limited,,"205 Desborough Road, High Wycombe",HP11 2QL,Hemel Hempstead & Amersham (HP11),01494 510260,https://www.valleydentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Valley DC Ltd,CQC directory (auto-downloaded),
Wycombe Dental Clinic,,"262-264 Desborough Road, High Wycombe",HP11 2QR,Hemel Hempstead & Amersham (HP11),01494 465241,https://www.wycombedentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Naveeda Ali,CQC directory (auto-downloaded),
The Dental Practice,,"191 Desborough Avenue, High Wycombe",HP11 2ST,Hemel Hempstead & Amersham (HP11),01494 455900,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ashton Rix Limited,CQC directory (auto-downloaded),
Conway House Dental Practice,,"218 West Wycombe Road, High Wycombe",HP12 3AR,Hemel Hempstead & Amersham (HP12),01494 526578,https://www.conwayhousedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,HJKB Limited,CQC directory (auto-downloaded),
Cressex Dental Practice,,"238 Cressex Road, High Wycombe",HP12 4UD,Hemel Hempstead & Amersham (HP12),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Cressex Practice Limited,CQC directory (auto-downloaded),
Scandic Dental Care,,"The Clockhouse, Frogmoor, High Wycombe",HP13 5DL,Hemel Hempstead & Amersham (HP13),01494 526566,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Scandic Care Limited,CQC directory (auto-downloaded),
Crendon Dental Centre,,"7A Crendon Street, High Wycombe",HP13 6LE,Hemel Hempstead & Amersham (HP13),01494 528153,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Neel Narendrakumar Shah,CQC directory (auto-downloaded),
Amersham Hill Dental Clinic,,"13 Amersham Hill, High Wycombe",HP13 6NR,Hemel Hempstead & Amersham (HP13),01494 526392,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Amersham Hill Dental Clinic,CQC directory (auto-downloaded),
Wycombe Dental Centre,,"15 Amersham Hill, High Wycombe",HP13 6NR,Hemel Hempstead & Amersham (HP13),01494 442922,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wycombe Dental Centre,CQC directory (auto-downloaded),
Octagon Orthodontics,,"31-33 Amersham Hill, High Wycombe",HP13 6NU,Hemel Hempstead & Amersham (HP13),01494 513797,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Peter Ilori,CQC directory (auto-downloaded),
Optima Dental CARE High Wycombe,,"21 Castle Street, High Wycombe",HP13 6RU,Hemel Hempstead & Amersham (HP13),0797 1382052,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Optima Care (HW) Ltd,CQC directory (auto-downloaded),
