name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Tupsley Dental Practice,01432 267388,Tupsley Dental Practice,HR1 1HX,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tupsleydentalpractice.co.uk,
The Dentist @ Tupsley,01432 343158,The Dentist @ Tupsley,HR1 1SX,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.tupsley.com,
Central Hereford Dental Care,01905 428261,Central Hereford Dental Care,HR1 2DE,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Willows Dental Practice,01432 274749,The Willows Dental Practice,HR1 2DE,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.willowsdentistry.co.uk,
The County Hospital,01432 355444,The County Hospital,HR1 2ER,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wyevalley.nhs.uk,
Brighton Villa Dental Care,01432 272925,Brighton Villa Dental Care,HR1 2HG,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brightonvilladental.co.uk,
Hereford Dental and Implant Clinic,01432 272238,Hereford Dental and Implant Clinic,HR1 2HG,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
Gaol Street Clinic,01432 355444,Gaol Street Clinic,HR1 2HU,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wyevalley.nhs.uk,
Collins House Dental Surgery,01432 357717,Collins House Dental Surgery,HR1 2JB,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Collins House Dental Surgery - Hereford,01432 357717,Collins House Dental Surgery - Hereford,HR1 2JB,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.collinshouse.co.uk,
Castle Street Orthodontic,01432 273393,Castle Street Orthodontic,HR1 2NW,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapel House Dentistry,02039 350707,Chapel House Dentistry,HR1 2QD,Hereford & Leominster (HR1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Saxon Dental Care,0750 3147881,Saxon Dental Care,HR2 6HE,Hereford & Leominster (HR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Asda Health Centre,01432 355444,Asda Health Centre,HR2 7JE,Hereford & Leominster (HR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wyevalley.nhs.uk,
Imperial Dental - Hereford,01432 279066,Imperial Dental - Hereford,HR2 7JZ,Hereford & Leominster (HR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Imperial Dental Group Limited - Hereford,01432 279066,Imperial Dental Group Limited - Hereford,HR2 7JZ,Hereford & Leominster (HR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
St Martins Dental Practice,01432 359402,St Martins Dental Practice,HR2 7RG,Hereford & Leominster (HR2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
St Owen Dental Studio,01432 272084,St Owen Dental Studio,HR4 0BU,Hereford & Leominster (HR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Weobley Dental Surgery,01544 318166,Weobley Dental Surgery,HR4 8SN,Hereford & Leominster (HR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broad Street Dental Surgery,01432 266899,Broad Street Dental Surgery,HR4 9AR,Hereford & Leominster (HR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.broadstreetdentalsurgery.com,
The Hygienist,01600 732399,The Hygienist,HR4 9HR,Hereford & Leominster (HR4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thefacespace.co.uk,
Kington Dental Practice,01544 231571,Kington Dental Practice,HR5 3EA,Hereford & Leominster (HR5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Street Leominster Partnership,01454 771596,Church Street Leominster Partnership,HR6 8NQ,Hereford & Leominster (HR6),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
David Holloman Dentistry - High Street Bromyard,01885 482455,David Holloman Dentistry - High Street Bromyard,HR7 4AE,Hereford & Leominster (HR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Holloman, Malapati and Associates",01885 482455,"Holloman, Malapati and Associates",HR7 4AE,Hereford & Leominster (HR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Smith, Holloman, Malapati & Associates",01885 482455,"Smith, Holloman, Malapati & Associates",HR7 4AE,Hereford & Leominster (HR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Acacia Dental Practice Limited,01885 482855,Acacia Dental Practice Limited,HR7 4EY,Hereford & Leominster (HR7),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ledbury Dental Care,01531 632839,Ledbury Dental Care,HR8 2EY,Hereford & Leominster (HR8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ledburydentalcare.co.uk,
Ross Community Hospital,01989 562100,Ross Community Hospital,HR9 5AD,Hereford & Leominster (HR9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.wyevalley.nhs.uk,
Warrendale Dental Care,01989 562052,Warrendale Dental Care,HR9 5JQ,Hereford & Leominster (HR9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.warrendaledental.co.uk,
S R Williams Limited,01600 890233,S R Williams Limited,HR9 6BJ,Hereford & Leominster (HR9),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
