practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Tupsley Dental Practice,,"60 Aylestone Hill, Hereford",HR1 1HX,Hereford & Leominster (HR1),01432 267388,https://www.tupsleydentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
The Dentist @ Tupsley,,"133 Quarry Road, Hereford",HR1 1SX,Hereford & Leominster (HR1),01432 343158,https://www.tupsley.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dentist @ Tupsley Ltd,CQC directory (auto-downloaded),
Central Hereford Dental Care,,"28 Commercial Street, Hereford",HR1 2DE,Hereford & Leominster (HR1),01905 428261,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AMH Healthcare Limited,CQC directory (auto-downloaded),
The Willows Dental Practice,,"15A Commercial Street, Hereford",HR1 2DE,Hereford & Leominster (HR1),01432 274749,https://www.willowsdentistry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jai Arhi Limited,CQC directory (auto-downloaded),
The County Hospital,,"County Hospital, Union Walk, Hereford",HR1 2ER,Hereford & Leominster (HR1),01432 355444,https://www.wyevalley.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wye Valley NHS Trust,CQC directory (auto-downloaded),
Brighton Villa Dental Care,,"7 Wyecliffe Terrace, Bath Street, Hereford",HR1 2HG,Hereford & Leominster (HR1),01432 272925,https://www.brightonvilladental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sebastian Antosik and Olga Chabrzyk-Antosik,CQC directory (auto-downloaded),
Hereford Dental and Implant Clinic,,"Florida House, Bath Street, Hereford",HR1 2HG,Hereford & Leominster (HR1),01432 272238,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Gaol Street Clinic,,"Gaol Street, Hereford",HR1 2HU,Hereford & Leominster (HR1),01432 355444,https://www.wyevalley.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wye Valley NHS Trust,CQC directory (auto-downloaded),
Collins House Dental Surgery,,"19 St. Owen Street, Hereford",HR1 2JB,Hereford & Leominster (HR1),01432 357717,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Collins House Dental Surgery,CQC directory (auto-downloaded),
Collins House Dental Surgery - Hereford,,"19 St Owen Street, Hereford",HR1 2JB,Hereford & Leominster (HR1),01432 357717,https://www.collinshouse.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AJC Hereford Limited,CQC directory (auto-downloaded),
Castle Street Orthodontic,,"34 Castle Street, Hereford",HR1 2NW,Hereford & Leominster (HR1),01432 273393,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Castle Quay (Hereford) Limited,CQC directory (auto-downloaded),
Chapel House Dentistry,,"74, St. Owen Street, Hereford",HR1 2QD,Hereford & Leominster (HR1),02039 350707,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chapel House Dentistry,CQC directory (auto-downloaded),
Saxon Dental Care,,"Saxon Hall Putson Community Centre, Hoarwithy Road, Hereford",HR2 6HE,Hereford & Leominster (HR2),0750 3147881,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AMH Healthcare Limited,CQC directory (auto-downloaded),
Asda Health Centre,,"Asda Stores, Belmont Road, Hereford",HR2 7JE,Hereford & Leominster (HR2),01432 355444,https://www.wyevalley.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wye Valley NHS Trust,CQC directory (auto-downloaded),
Imperial Dental - Hereford,,"Pool Farm Cottages, Belmont Road, Hereford",HR2 7JZ,Hereford & Leominster (HR2),01432 279066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Imperial Dental Partnership,CQC directory (auto-downloaded),
Imperial Dental Group Limited - Hereford,,"Pool Farm Cottages, Belmont Road, Hereford",HR2 7JZ,Hereford & Leominster (HR2),01432 279066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Imperial Dental Group Limited,CQC directory (auto-downloaded),
St Martins Dental Practice,,"75 St Martins Street, Hereford",HR2 7RG,Hereford & Leominster (HR2),01432 359402,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
St Owen Dental Studio,,"Broadway House, Aubrey Street, Hereford",HR4 0BU,Hereford & Leominster (HR4),01432 272084,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Hanna Kotlinska-Staszkowska,CQC directory (auto-downloaded),
Weobley Dental Surgery,,"Gadbridge Road, Weobley, Hereford",HR4 8SN,Hereford & Leominster (HR4),01544 318166,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Jonathan Smith,CQC directory (auto-downloaded),
Broad Street Dental Surgery,,"32-35 Broad Street, Hereford",HR4 9AR,Hereford & Leominster (HR4),01432 266899,https://www.broadstreetdentalsurgery.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Archenfield Enterprises Limited,CQC directory (auto-downloaded),
The Hygienist,,"Old Market Shopping Centre, New Market, Hereford",HR4 9HR,Hereford & Leominster (HR4),01600 732399,https://www.thefacespace.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,FGFY Ltd,CQC directory (auto-downloaded),
