name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Courtyard Dental,01484 432855,The Courtyard Dental,HD1 2QR,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.courtyarddental.co.uk,
The Dental Care Centre Huddersfield,01484 530539,The Dental Care Centre Huddersfield,HD1 2RD,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Trinity House Orthodontics,01924 369696,Trinity House Orthodontics,HD1 2TR,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lockwood Dental Practice,01484 420927,Lockwood Dental Practice,HD1 3TG,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park View Dental Practice,01484 423701,Park View Dental Practice,HD1 4DT,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Greenhead Dental Practice Ltd,01484 421015,Greenhead Dental Practice Ltd,HD1 4EN,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Only Orthodontics,01484 454600,Only Orthodontics,HD1 4EN,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Princess Royal Community Health Centre,01484 344000,Princess Royal Community Health Centre,HD1 4EW,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marsh Dental Care,01484 516633,Marsh Dental Care,HD1 4LF,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.marshdentalcare.co.uk,website unreachable
Huddersfield Urgent Dental Centre,01217 728886,Huddersfield Urgent Dental Centre,HD1 5JU,Huddersfield (HD1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
