practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Fresh Smile Clinic,,"2 High Street, Brighouse",HD6 1DE,Huddersfield (HD6),01484 714640,https://www.freshsmileclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Dentistry @ Holme,,"Unit 7 Stable Court, Huddersfield Road, Holmfirth",HD9 3AY,Huddersfield (HD9),,https://www.dentistryatholme.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentistry @ Holme Limited,CQC directory (auto-downloaded),
The Courtyard Dental,,"6-8 Wormalds Yard, King Street, Huddersfield",HD1 2QR,Huddersfield (HD1),01484 432855,https://www.courtyarddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Courtyard Huddersfield Limited,CQC directory (auto-downloaded),
The Dental Care Centre Huddersfield,,"Croydon House, 25 Queensgate, Huddersfield",HD1 2RD,Huddersfield (HD1),01484 530539,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Altaf Hussain,CQC directory (auto-downloaded),
Trinity House Orthodontics,,"102 New Street, Huddersfield",HD1 2TR,Huddersfield (HD1),01924 369696,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haricovert Limited,CQC directory (auto-downloaded),
Lockwood Dental Practice,,"215-219 Lockwood Road, Lockwood, Huddersfield",HD1 3TG,Huddersfield (HD1),01484 420927,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miss Farzana Shakoor,CQC directory (auto-downloaded),
Park View Dental Practice,,"122 Trinity Street, Huddersfield",HD1 4DT,Huddersfield (HD1),01484 423701,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,M Ihsan Limited,CQC directory (auto-downloaded),
Greenhead Dental Practice Ltd,,"29 Greenhead Road, Huddersfield",HD1 4EN,Huddersfield (HD1),01484 421015,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Greenhead Dental Practice Ltd,CQC directory (auto-downloaded),
Only Orthodontics,,"22 Greenhead Road, Huddersfield",HD1 4EN,Huddersfield (HD1),01484 454600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Only Orthodontics,CQC directory (auto-downloaded),
Princess Royal Community Health Centre,,"Greenhead Road, Huddersfield",HD1 4EW,Huddersfield (HD1),01484 344000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Locala Community Partnerships C.I.C.,CQC directory (auto-downloaded),
Marsh Dental Care,,"116 Westbourne Road, Marsh, Huddersfield",HD1 4LF,Huddersfield (HD1),01484 516633,https://www.marshdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Preetpal Kaur Dhillon,CQC directory (auto-downloaded),website unreachable
Huddersfield Urgent Dental Centre,,"23 New North Parade, Huddersfield",HD1 5JU,Huddersfield (HD1),01217 728886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Night Dental Ltd,CQC directory (auto-downloaded),
Edgerton Dental Clinic,,"80 New North Road, Huddersfield",HD1 5NE,Huddersfield (HD1),01484 530343,https://www.edgertondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Mohammad Asad Manzoor,CQC directory (auto-downloaded),
Huddersfield Orthodontics,,"84 New North Road, Huddersfield",HD1 5NE,Huddersfield (HD1),01484 538900,https://www.huddersfieldorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sandeep Sharma,CQC directory (auto-downloaded),
Oaklands Dental,,"60 Bradford Road, Huddersfield",HD1 6JE,Huddersfield (HD1),01484 531964,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oaklands Dent Ltd,CQC directory (auto-downloaded),
Fartown Dental Practice - Huddersfield,,"306 Bradford Road, Fartown, Huddersfield",HD1 6LQ,Huddersfield (HD1),01484 545045,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Ms. Sally Fitzgibbon,CQC directory (auto-downloaded),
