name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Hull Urgent Dental Centre,01217 728886,Hull Urgent Dental Centre,HU1 2PS,Hull city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The White House Dental Practice,01482 320109,The White House Dental Practice,HU1 3AB,Hull city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thewhitehousedentalpractice.co.uk/,
B R Davies - Mobile Dentist,01482 886233,B R Davies - Mobile Dentist,HU2 0PZ,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Freetown Way Surgery Limited,01482 223716,Freetown Way Surgery Limited,HU2 8JQ,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Rejuvadent.co.uk,
Trinity House Orthodontics Hull,01924 369696,Trinity House Orthodontics Hull,HU3 2LL,Hull west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.trinityhouse-orthodontics.co.uk,
St Andrews Dental Centre Limited - Hull,01482 225689,St Andrews Dental Centre Limited - Hull,HU3 4EJ,Hull west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.standrewsdentalcentreltd.com,
David Boff Griffin Dental Practice,01482 569679,David Boff Griffin Dental Practice,HU3 6PB,Hull west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Griffin Dental Practice - Hull,01482 506004,Griffin Dental Practice - Hull,HU3 6PB,Hull west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Total Orthodontics Hull,01482 352458,Total Orthodontics Hull,HU4 6AH,Hull north,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Night and day emergency dentist,0759 4594525,Night and day emergency dentist,HU4 6BP,Hull north,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wansbeck Dental Limited,01482 348172,Wansbeck Dental Limited,HU5 1LX,Hull north-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Clinic,01482 441027,Dental Clinic,HU5 2UT,Hull north-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Spring Dental,01482 354124,Spring Dental,HU5 5AW,Hull north-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Manor Dental Health,01482 563593,Manor Dental Health,HU5 5JR,Hull north-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Lund Dental Practice,01482 853146,The Lund Dental Practice,HU6 7JG,Hull north,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lunddental.co.uk,
Inglemire Dental Surgery,01482 804080,Inglemire Dental Surgery,HU6 8JL,Hull north,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kingswood Parks Clinics,01482 440084,Kingswood Parks Clinics,HU7 3NS,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theparks.co.uk,
The247dentist Emergency Dentist – Hull,0330 1759995,The247dentist Emergency Dentist – Hull,HU7 3NS,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Church Street Dental Surgery,01482 799888,Church Street Dental Surgery,HU7 4TD,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sutton Dental Practice,01482 836644,Sutton Dental Practice,HU7 4YG,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.suttondentalpractice.co.uk,website unreachable
City Health Care Dental Services - Highlands Health Centre,01482 336000,City Health Care Dental Services - Highlands Health Centre,HU7 5DD,Hull east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Hull,01482 282200,HMP Hull,HU9 5LS,Hull south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
543 Dental Centre Limited,01482 565488,543 Dental Centre Limited,HU3 6HP,Hull west,Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,543 Dental Centre,Yes,https://www.543dentalcentre.co.uk,
Genix Healthcare Hull Ltd,01482 574940,Genix Healthcare Hull Ltd,HU3 6NS,Hull west,Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
Mydentist - Hessle High Road - Hull,01482 347350,Mydentist - Hessle High Road - Hull,HU4 6SB,Hull north,MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Mydentist - Newland Avenue - Hull,01482 337070,Mydentist - Newland Avenue - Hull,HU5 2EJ,Hull north-west,MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
Hull Dental Practice,01482 256060,Hull Dental Practice,HU7 4EE,Hull east,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,,
Bupa Dental Care Hull - Holderness Road,01482 374377,Bupa Dental Care Hull - Holderness Road,HU9 2AA,Hull south,Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Bupa Dental Care,No,https://www.holdernessroaddental.co.uk,website unreachable
Mydentist - Holderness Road - Hull,01482 783611,Mydentist - Holderness Road - Hull,HU9 3LP,Hull south,MyDentist corporate,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,mydentist,No,https://www.mydentist.co.uk,
