practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Hull Urgent Dental Centre,,"35-39, Myton Street, Hull",HU1 2PS,Hull city centre,01217 728886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Night Dental Ltd,CQC directory (auto-downloaded),
The White House Dental Practice,,"74-76 George Street, Hull",HU1 3AB,Hull city centre,01482 320109,https://www.thewhitehousedentalpractice.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Medha Sandeep Datir,CQC directory (auto-downloaded),
City Health Care Dental Services - Hull Dental Access Centre,,"71-75 Jameson Street, Hull",HU1 3JF,Hull city centre,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,City Health Care Partnership CIC,CQC directory (auto-downloaded),
Willerby Dental Care Limited,,"81 Kingston Road, Willerby, Hull",HU10 6AH,Kirk Ella/West Hull,01482 656656,https://www.willerbydentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Willerby Dental Care Limited,CQC directory (auto-downloaded),
Bonsai Dental Willerby,,"19b Main Street, Willerby, Hull",HU10 6BP,Kirk Ella/West Hull,01482 259015,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Bijan Shamsaee,CQC directory (auto-downloaded),
Kingston Road Dental Practice,,"134 Kingston Road, Willerby, Hull",HU10 6LN,Kirk Ella/West Hull,01482 658990,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kingston Road Dental Practice,CQC directory (auto-downloaded),
Dental Logic,,"5-7 Beverley Road, Kirk Ella, Hull",HU10 7AA,Kirk Ella/West Hull,01482 651721,https://www.dental-logic.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Logic Limited,CQC directory (auto-downloaded),
Bilton Dental Practice,,"181 Main Road, Bilton, Hull",HU11 4AA,Hull rural north,01482 815640,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. David George Boff,CQC directory (auto-downloaded),
Hedon Dental Practice,,"10 Souttergate, Hedon, Hull",HU12 8JS,Hedon/Withernsea,01482 337022,https://www.hedondentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Hesslewood Lodge Dental Practice,,"The Lodge, 95 Ferriby Road, Hessle",HU13 0HX,Hessle,01482 642736,https://www.hesslewoodlodge.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Krishan (Yorkshire) Limited,CQC directory (auto-downloaded),
Yorkshire Dental Suite Hull,,"22 The Weir, Hessle",HU13 0RU,Hessle,01482 243032,https://www.yorkshiredentalsuite.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Abdulbaset Dalghous,CQC directory (auto-downloaded),
Beverley House Dental Practice,,"1 Beverley Road, Hessle",HU13 9AE,Hessle,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cosmetic and Family Dentistry (Hessle) Limited,CQC directory (auto-downloaded),
1st Practice,,"2-4, Boothferry Road, Hessle",HU13 9AY,Hessle,01482 643864,https://www.firstpractice.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,1st Practice Limited,CQC directory (auto-downloaded),
Cosmetic & Family Dentistry,,"104 Welton Road, Brough",HU15 1BH,Brough,01482 666635,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cosmetic & Family Dentistry Limited,CQC directory (auto-downloaded),
Brough Dental Studio,,"19 Welton Road, Brough",HU15 1DR,Brough,01482 668146,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
South Cave Dental Surgery,,"40-44 Church Street, South Cave, Brough",HU15 2EP,Brough,01430 423826,https://www.southcavedentalsurgery.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,South Cave Dental Surgery,CQC directory (auto-downloaded),
