name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Whitestar Dental Care,02084 770920,Whitestar Dental Care,IG1 1AR,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ilford Dental Practice,02084 780709,Ilford Dental Practice,IG1 1QE,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
58 Oaklands Park Avenue,02085 535283,58 Oaklands Park Avenue,IG1 1TG,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mndclinic.co.uk,website unreachable
Belmont Dental Practice,02084 786596,Belmont Dental Practice,IG1 1YN,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ilford Lane Family Dental Surgery,02085 144114,Ilford Lane Family Dental Surgery,IG1 2LW,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Solutions,02084 781050,Dental Solutions,IG1 2RR,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Paediatric and Special Care Community Dental Service Loxford Polyclinic,0300 7900158,Paediatric and Special Care Community Dental Service Loxford Polyclinic,IG1 2SN,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kentcht.nhs.uk/dentalservices,
Ilford Dental Centre,02084 781150,Ilford Dental Centre,IG1 4BH,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ilford Dental Care,0781 7699465,Ilford Dental Care,IG1 4HA,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Wellesley House Dental Practice,02085 544150,Wellesley House Dental Practice,IG1 4JT,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Valentine Dental,02085 549865,Valentine Dental,IG1 4UR,Ilford & Romford (IG1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Forest Dental Practice,02085 022625,Forest Dental Practice,IG10 1DR,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Loughton Dental Spa,02085 084205,Loughton Dental Spa,IG10 1LJ,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.loughtondentalspa.com,website unreachable
Goldings Dental and Health Clinic,0784 0465939,Goldings Dental and Health Clinic,IG10 1LL,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Kings Green Dental,02085 086687,Kings Green Dental,IG10 1RJ,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadway Dental Clinic,02085 084433,Broadway Dental Clinic,IG10 3ST,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Loughton Dental Centre Limited,02085 084195,The Loughton Dental Centre Limited,IG10 4HT,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.loughtondental.co.uk,
Sensational Smiles Ltd,0752 5719651,Sensational Smiles Ltd,IG10 4NZ,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Station Road Dental Practice,02085 082793,Station Road Dental Practice,IG10 4NZ,Ilford & Romford (IG10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Abbey Dental Practice,02085 944129,Abbey Dental Practice,IG11 7RL,Ilford & Romford (IG11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
