practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dentaliving,,"161 Clayhall Avenue, Ilford",IG5 0NZ,Ilford & Romford (IG5),02085 506211,https://www.dentaliving.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentaliving,CQC directory (auto-downloaded),
The Queens Dental Practice,,"11 Queens Road, Buckhurst Hill",IG9 5BZ,Ilford & Romford (IG9),02085 058008,https://www.thequeensdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Jonathon Steven Brown,CQC directory (auto-downloaded),
Whitestar Dental Care,,"Unit 3, Lower Level,  The Exchange,  High Road, Ilford",IG1 1AR,Ilford & Romford (IG1),02084 770920,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jayesh Kotecha & Karissa Kotecha,CQC directory (auto-downloaded),
Clements Road  Dental Practice,,"152 Clements Road, Ilford",IG1 1BE,Ilford & Romford (IG1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clements Rd Dental Practice,CQC directory (auto-downloaded),
Ilford Dental Practice,,"216 High Road, Ilford",IG1 1QE,Ilford & Romford (IG1),02084 780709,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Anantkumar Patel,CQC directory (auto-downloaded),
58 Oaklands Park Avenue,,"58 Oaklands Park Avenue, Ilford",IG1 1TG,Ilford & Romford (IG1),02085 535283,https://www.mndclinic.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Denta Clinic Ltd,CQC directory (auto-downloaded),website unreachable
Dental Now,,"Unit 6, Charter House,  450 High Road, Ilford",IG1 1UF,Ilford & Romford (IG1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Now Medicals OHS Ltd,CQC directory (auto-downloaded),
Belmont Dental Practice,,"26 Belmont Road, Ilford",IG1 1YN,Ilford & Romford (IG1),02084 786596,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Sonia Prashar,CQC directory (auto-downloaded),
Ilford Lane Family Dental Surgery,,"Unit G3, 210 Ilford Lane, Ilford",IG1 2LW,Ilford & Romford (IG1),02085 144114,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thamesview Dental Surgery,CQC directory (auto-downloaded),
Dental Solutions,,"161 Ilford Lane, Ilford",IG1 2RR,Ilford & Romford (IG1),02084 781050,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Solutions Partnership,CQC directory (auto-downloaded),
Paediatric and Special Care Community Dental Service Loxford Polyclinic,,"417 Ilford Lane, Ilford",IG1 2SN,Ilford & Romford (IG1),0300 7900158,https://www.kentcht.nhs.uk/dentalservices,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kent Community Health NHS Foundation Trust,CQC directory (auto-downloaded),
Ilford Dental Centre,,"131 Ley Street, Ilford",IG1 4BH,Ilford & Romford (IG1),02084 781150,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Wulstan Abaleke,CQC directory (auto-downloaded),
Ilford Dental Care,,"180 Thorold Road, Ilford",IG1 4HA,Ilford & Romford (IG1),0781 7699465,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Sohail Abdulgafoor Yusuf Moulana,CQC directory (auto-downloaded),
Wellesley House Dental Practice,,"9 Wellesley Road, Ilford",IG1 4JT,Ilford & Romford (IG1),02085 544150,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Grish Malhotra,CQC directory (auto-downloaded),
Valentine Dental,,"274 Cranbrook Road, Gants Hill, Ilford",IG1 4UR,Ilford & Romford (IG1),02085 549865,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Hitesh Mody,CQC directory (auto-downloaded),
Forest Dental,,"1a, Forest Road, Loughton",IG10 1DR,Ilford & Romford (IG10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Forest Dental Limited,CQC directory (auto-downloaded),
Forest Dental Practice,,"1a, Forest Road, Loughton",IG10 1DR,Ilford & Romford (IG10),02085 022625,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Chirag Mehta,CQC directory (auto-downloaded),
One & Only Dental,Church Hill Dental Surgery,"78 Church Hill, Loughton",IG10 1LB,Ilford & Romford (IG10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Nuthan Mall Ltd,CQC directory (auto-downloaded),
Loughton Dental Spa,,"1st Floor,  138 Church Hill, Loughton",IG10 1LJ,Ilford & Romford (IG10),02085 084205,https://www.loughtondentalspa.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ritu Dhariwal,CQC directory (auto-downloaded),website unreachable
Goldings Dental and Health Clinic,,"8A Goldings Hill, Loughton",IG10 1LL,Ilford & Romford (IG10),0784 0465939,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bell Health Centre Limited,CQC directory (auto-downloaded),
The Loughton Dental Practice,,"70 Wellfields, Loughton",IG10 1NY,Ilford & Romford (IG10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Martin Shaffron and Timothy Fry,CQC directory (auto-downloaded),
Kings Green Dental,,"2 Kings Green, Loughton",IG10 1RJ,Ilford & Romford (IG10),02085 086687,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,DVS Dental Ltd,CQC directory (auto-downloaded),
Diamond Dental,,"14a York Hill, Loughton",IG10 1RL,Ilford & Romford (IG10),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Diamond Dental Limited,CQC directory (auto-downloaded),
Broadway Dental Clinic,,"80 The Broadway, Loughton",IG10 3ST,Ilford & Romford (IG10),02085 084433,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Tai-Sean Chiang,CQC directory (auto-downloaded),
The Loughton Dental Centre Limited,,"98 High Road, Loughton",IG10 4HT,Ilford & Romford (IG10),02085 084195,https://www.loughtondental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Loughton Dental Centre Limited,CQC directory (auto-downloaded),
Sensational Smiles Ltd,,"21 Station Road, Loughton",IG10 4NZ,Ilford & Romford (IG10),0752 5719651,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sensational Smiles Ltd,CQC directory (auto-downloaded),
Station Road Dental Practice,,"21 Station Road, Loughton",IG10 4NZ,Ilford & Romford (IG10),02085 082793,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Station Road Dental Practice,CQC directory (auto-downloaded),
Thamesview Dental Surgery,,"1st Floor Health Centre, Bastable Avenue, Barking",IG11 0LG,Ilford & Romford (IG11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Thamesview Dental Surgery,CQC directory (auto-downloaded),
Abbey Dental Practice,,"2 Arboretum Place, Barking",IG11 7RL,Ilford & Romford (IG11),02085 944129,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Jayesh Kotecha & Karissa Kotecha,CQC directory (auto-downloaded),
Orchard Dental Practice,,"Gascoigne Road, Barking",IG11 7RS,Ilford & Romford (IG11),02085 942496,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Orchard Dental Practice,CQC directory (auto-downloaded),
Apex Dental Care,,"25-27 London Road, Barking",IG11 8AA,Ilford & Romford (IG11),02085 942573,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Bhupinder Pawan Sangha,CQC directory (auto-downloaded),
East Street Dental Practice,,"63 East Street, Barking",IG11 8EN,Ilford & Romford (IG11),02085 327910,https://www.eaststreetdentalbarking.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,East Street Dental Ltd,CQC directory (auto-downloaded),
Dental and Medical Clinic in Barking,,"98 Longbridge Road, Barking",IG11 8SF,Ilford & Romford (IG11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Klinika Limited,CQC directory (auto-downloaded),
Clarence House Dental Health Centre,,"58 Clarence Avenue, Gants Hill, Ilford",IG2 6JE,Ilford & Romford (IG2),02085 548727,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Niti Kaushal,CQC directory (auto-downloaded),
Evolution Orthodontics,,"26 Clarence Avenue, Gants Hill, Ilford",IG2 6JH,Ilford & Romford (IG2),02085 181022,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Maheshchandra Patel,CQC directory (auto-downloaded),
Adentist4life,,"630 Eastern Avenue, Ilford",IG2 6PQ,Ilford & Romford (IG2),02085 545691,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Satvir Singh Atkar,CQC directory (auto-downloaded),
Dental Surgery,,"630 Eastern Avenue, Ilford",IG2 6PQ,Ilford & Romford (IG2),02085 545691,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Satvir Singh Atkar,CQC directory (auto-downloaded),
Ghclinic LTD,Dental Surgery,"630 Eastern Avenue, Ilford",IG2 6PQ,Ilford & Romford (IG2),02085 545691,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,GHCLINIC Ltd,CQC directory (auto-downloaded),
The Gants Hill Dental Practice,,"532 Cranbrook Road, Ilford",IG2 6RD,Ilford & Romford (IG2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Raajvy Mukeschchand Shah,CQC directory (auto-downloaded),
Gants Hill Smiles Dental Surgery,,"61 Ethelbert Gardens, Ilford",IG2 6UW,Ilford & Romford (IG2),02085 508217,https://www.gantshilldentist.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fresh Smiles Limited,CQC directory (auto-downloaded),
Dental Health Centre,,"128 Woodford Avenue, Ilford",IG2 6XA,Ilford & Romford (IG2),02085 500546,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dental Health Centre Partnership,CQC directory (auto-downloaded),
Orthodontic Gallery,,"128 Woodford Avenue, Ilford",IG2 6XA,Ilford & Romford (IG2),02085 519336,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,The Orthodontic Gallery Limited,CQC directory (auto-downloaded),
Dental Harmony,,"1 Seven Ways Parade, Woodford Avenue,  Gants Hill, London",IG2 6XH,Ilford & Romford (IG2),,https://www.dentalharmony.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Harmony Ltd,CQC directory (auto-downloaded),
Smile Dental Clinic,,"271 Aldborough Road South, Ilford",IG3 8JB,Ilford & Romford (IG3),02085 989090,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Yasser Sarwar,CQC directory (auto-downloaded),
Seven Kings,,"50 Cameron Road, Seven Kings, Ilford",IG3 8LF,Ilford & Romford (IG3),02085 901986,https://www.dentalwizards.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Rishi Mehrotra,CQC directory (auto-downloaded),
Pearls Dental Centre,,"732 High Road, Goodmayes, Ilford",IG3 8SU,Ilford & Romford (IG3),02082 525332,https://www.pearlsdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Frances Oluyannwo,CQC directory (auto-downloaded),
Periocare Dental Practice,,"34A Barley Lane, Godmayes, Ilford",IG3 8XF,Ilford & Romford (IG3),02085 909900,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Rajvinder Singh Rao,CQC directory (auto-downloaded),
SimplyTeeth - Seven Kings,,"438 Green Lane, Seven Kings, Ilford",IG3 9LD,Ilford & Romford (IG3),02085 900575,https://www.simply-teeth.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Saranjit Sihra,CQC directory (auto-downloaded),website unreachable
Malmin Orthodontic Group Ltd,,"544 Green Lane, Ilford",IG3 9LL,Ilford & Romford (IG3),02072 420088,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Goodmayes Dental Practice Limited,,"624 Green Lane, Goodmayes, Ilford",IG3 9SD,Ilford & Romford (IG3),02085 994966,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Goodmayes Dental Practice Limited,CQC directory (auto-downloaded),
Sweet Tooth Dental Care,,"185 Redbridge Lane East, Ilford",IG4 5DF,Ilford & Romford (IG4),02085 512216,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Denise Walters-Payne,CQC directory (auto-downloaded),
Inglehurst Dental Practice,,"51 Redbridge Lane East, Redbridge",IG4 5EU,Ilford & Romford (IG4),02085 513550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Grish Malhotra,CQC directory (auto-downloaded),
Longwood House,,"150 Longwood Gardens, Ilford",IG5 0BE,Ilford & Romford (IG5),02085 510088,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bifrost Enterprises Ltd,CQC directory (auto-downloaded),
Clayhall Dental Care,,"137 Clayhall Avenue, Ilford",IG5 0PN,Ilford & Romford (IG5),02085 502777,https://www.clayhalldental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Clayhall Dental Care,CQC directory (auto-downloaded),
AC Dentartis,,"8 Tanners Lane, Ilford",IG6 1QJ,Ilford & Romford (IG6),0794 6652159,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AC Dentartis Ltd,CQC directory (auto-downloaded),
Barkingside Dental Care Limited,,"47a High Street, Barkingside, Ilford",IG6 2AD,Ilford & Romford (IG6),02085 504433,https://www.barkingsidedentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Barkingside Dental Care Limited,CQC directory (auto-downloaded),
Dental Practice - Barkingside,,"6 Freemantle, Barkingside, Ilford",IG6 2AZ,Ilford & Romford (IG6),02085 507668,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Farkhanda Rafiq Chaudry,CQC directory (auto-downloaded),
Word of Mouth Dental Care,,"2 Fencepiece Road, Ilford",IG6 2JX,Ilford & Romford (IG6),02085 007988,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miya Ella Ltd,CQC directory (auto-downloaded),
The Fencepiece Dental Practice,,"139A Fencepiece Road, Ilford",IG6 2LE,Ilford & Romford (IG6),02085 003339,https://www.thefencepiecedentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Edmond Geradts,CQC directory (auto-downloaded),
Bluebell Dental Practice Limited - Chigwell,,"140 Tomswood Hill, Chigwell, Ilford",IG6 2QP,Ilford & Romford (IG6),02085 006789,https://www.bluebelldp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Bluebell Dental Practice Limited,CQC directory (auto-downloaded),
Hainault Dental Practice,,"299-301 New North Road, Hainault, Ilford",IG6 3DX,Ilford & Romford (IG6),02085 003978,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Atul Gandecha,CQC directory (auto-downloaded),
Hainault Gentle Dental Care Limited,,"434 New North Road, Hainault, Ilford",IG6 3EB,Ilford & Romford (IG6),02085 001287,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hainault Gentle Dental Care Limited,CQC directory (auto-downloaded),
Paediatric and Special Care Community Dental Service Hainault Health Centre,,"Manford Way, Chigwell",IG7 4DF,Ilford & Romford (IG7),0300 7900158,https://www.kentcht.nhs.uk/dentalservices,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kent Community Health NHS Foundation Trust,CQC directory (auto-downloaded),
Chigwell Smile,,"188 Manor Road, Chigwell",IG7 5PZ,Ilford & Romford (IG7),02085 013905,https://www.chigwellsmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Chigwell Smile,CQC directory (auto-downloaded),
Qualiteeth London,,"171, Manor Road, Chigwell",IG7 5QB,Ilford & Romford (IG7),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Healthspauk Ltd,CQC directory (auto-downloaded),
Smile Design By Ash,,"6 Chigwell Rise, Chigwell",IG7 6AB,Ilford & Romford (IG7),02085 000544,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Woodford Dental Care,,"6 The Broadway, Woodford Green",IG8 0HL,Ilford & Romford (IG8),02085 040262,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr. Leonard D'Cruz,CQC directory (auto-downloaded),
Signature Smile Dental Surgery,,"7a Johnston Road, Woodford Green",IG8 0XA,Ilford & Romford (IG8),02085 054466,https://www.woodfordsmile.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Omran Abbas,CQC directory (auto-downloaded),
Woodford Green Dental Centre,,"80 Snakes Land East, Woodford Green",IG8 7QQ,Ilford & Romford (IG8),02085 029966,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Promodh Datta,CQC directory (auto-downloaded),
Chigwell Dental & Anaesthetic Clinic,,"723 Chigwell Road, Woodford Green",IG8 8AS,Ilford & Romford (IG8),02085 048636,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sennik Ltd,CQC directory (auto-downloaded),
Improve Your Smile Limited,,"162 High Road, Woodford Green",IG8 9EF,Ilford & Romford (IG8),02085 042704,https://www.improveyoursmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Improve Your Smile Ltd,CQC directory (auto-downloaded),
Woodford House Dental Practice,,"162 High Road, Woodford Green",IG8 9EF,Ilford & Romford (IG8),02085 042704,https://www.improveyoursmile.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Amjad Malik,CQC directory (auto-downloaded),
