practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Union Street Dental Centre,,"19 UNION STREET, INVERNESS",IV1 1PP,Inverness & Highlands (IV1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
North Kessock Dental Practice,,"MISSION HALL, MAIN STREET, NORTH KESSOCK",IV1 3XN,Inverness & Highlands (IV1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Windsor House Dental Practice Ltd,,"7 HIGH STREET, NAIRN",IV124AG,Inverness & Highlands (IV12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Glenridding Dental Practice,,"4A ALBERT STREET, NAIRN",IV124HP,Inverness & Highlands (IV12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
"Mcintyre,Corbet&Associates",,"52 HIGH STREET, DINGWALL",IV159HL,Inverness & Highlands (IV15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Inchvannie House Dental Clinic,,"INCHVANNIE COURT, DINGWALL",IV159SE,Inverness & Highlands (IV15),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
54A High Street,,"ALNESS, NA",IV170SG,Inverness & Highlands (IV17),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Invergordon Dental Practice,,"108A HIGH STREET, INVERGORDON",IV180DR,Inverness & Highlands (IV18),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Easter Ross Dental Care,,"ALBANY ROAD, INVERGORDON",IV180HA,Inverness & Highlands (IV18),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Tain Dental Care,,"TAIN HEALTH CENTRE, CRAIGHILL TERRACE, TAIN",IV191EU,Inverness & Highlands (IV19),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Southside Private Oral Surgery,,"28 SOUTHSIDE ROAD, INVERNESS",IV2 3BG,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Dental Dept. Assynt House,,"BEECHWOOD PARK, INVERNESS",IV2 3BW,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Inverness Dental Clinic Ltd,,"9 CASTLE STREET, INVERNESS",IV2 3DX,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
21 Kingsmills Road,,"INVERNESS, NA",IV2 3JX,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Ness Bank Dental Practice,,"6 NESS BANK, INVERNESS",IV2 4SF,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Croy Dental,,"1 MACKINNON DRIVE, INVERNESS",IV2 5PD,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Inshes Dental Centre,,"3 CRADLEHALL COURT, INVERNESS",IV2 5WD,Inverness & Highlands (IV2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
