name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Flint House Dental,0782 8717143,Flint House Dental,IP28 6LG,Ipswich & Suffolk (IP28),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://flinthousedental.co.uk,
AR Dental Clinic,01473 231199,AR Dental Clinic,IP1 1EY,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
W J & L D Poulter - Dental Practice,01473 252698,W J & L D Poulter - Dental Practice,IP1 1XG,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
George Bureau Ltd,01473 257414,George Bureau Ltd,IP1 2HF,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery,01473 256907,The Dental Surgery,IP1 3BX,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.alisonjbrown.co.uk,
Christchurch Dental,01473 250977,Christchurch Dental,IP1 3JN,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.christchurchdental.co.uk,
Allen House Dental Ipswich,0778 8721498,Allen House Dental Ipswich,IP1 3LN,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dr A M. Tabrizi Dental Practice Limited,01473 251658,Dr A M. Tabrizi Dental Practice Limited,IP1 3LN,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ipswich Dental Surgery,01473 253870,Ipswich Dental Surgery,IP1 3LN,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Berners Dental Practice,01473 258557,Berners Dental Practice,IP1 3LU,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bernersdentalpractice.co.uk,
Ipswich Orthodontic Centre,01473 255399,Ipswich Orthodontic Centre,IP1 3LU,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
J Smallridge Dental Care,01473 550600,J Smallridge Dental Care,IP1 3LU,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jasdental.co.uk,website unreachable
Kenneth Ng Surgery Limited,01473 254513,Kenneth Ng Surgery Limited,IP1 3LU,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lighthouse Dental Practice,01473 257379,Lighthouse Dental Practice,IP1 3QH,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lighthoursedentalpractice.co.uk,website unreachable
Appolonia Dental Centre,01473 226662,Appolonia Dental Centre,IP1 3QJ,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lighthouse Dental Practice - C B Tocca Dental Practice,01473 257379,Lighthouse Dental Practice - C B Tocca Dental Practice,IP1 3QJ,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lighthousedentalpractice.co.uk,
Bridge House Dental Practice,01473 742142,Bridge House Dental Practice,IP1 4HA,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Staffa Lodge Dental Group,01473 741740,Staffa Lodge Dental Group,IP1 4HD,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Garrick Way Dental Surgery,01473 741125,Garrick Way Dental Surgery,IP1 6NF,Ipswich & Suffolk (IP1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Crescent Dental Care,01394 271300,Crescent Dental Care,IP11 7BX,Ipswich & Suffolk (IP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brook Lane Dental Surgery,01394 283437,Brook Lane Dental Surgery,IP11 7EG,Ipswich & Suffolk (IP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
A W Brown Dental Practice,01394 274936,A W Brown Dental Practice,IP11 7EW,Ipswich & Suffolk (IP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Walton House Dental Practice Limited,01394 283419,Walton House Dental Practice Limited,IP11 9DS,Ipswich & Suffolk (IP11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.waltonhousedentalpractice.com,website unreachable
Woodbridge Dental Care,0793 5678795,Woodbridge Dental Care,IP12 1DS,Ipswich & Suffolk (IP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Island House Dental Care,01394 388008,Island House Dental Care,IP12 4AL,Ipswich & Suffolk (IP12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Design Studio,01449 613369,Dental Design Studio,IP14 1DL,Ipswich & Suffolk (IP14),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentaldesignstudio.co.uk/stowmarket,
