practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Flint House Dental,,"The Flint House,  Heath Farm Business Centre, Tut Hill,  Fornham All Saints, Bury St. Edmunds",IP28 6LG,Ipswich & Suffolk (IP28),0782 8717143,https://flinthousedental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Toofy Ltd,CQC directory (auto-downloaded),
AR Dental Clinic,,"5 Elm Street, Ipswich",IP1 1EY,Ipswich & Suffolk (IP1),01473 231199,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,AR Dental Clinic Ltd,CQC directory (auto-downloaded),
W J & L D Poulter - Dental Practice,,"16 St Peters Street, Ipswich",IP1 1XG,Ipswich & Suffolk (IP1),01473 252698,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Linda Poulter and Mr William Poulter,CQC directory (auto-downloaded),
George Bureau Ltd,,"27 London Road, Ipswich",IP1 2HF,Ipswich & Suffolk (IP1),01473 257414,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,George Bureau Limited,CQC directory (auto-downloaded),
The Dental Surgery,,"13 Northgate Street, Ipswich",IP1 3BX,Ipswich & Suffolk (IP1),01473 256907,https://www.alisonjbrown.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Alison Brown,CQC directory (auto-downloaded),
Christchurch Dental,,"69 Fonnereau Road, Ipswich",IP1 3JN,Ipswich & Suffolk (IP1),01473 250977,https://www.christchurchdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Christchurch Dental Practice Limited,CQC directory (auto-downloaded),
Allen House Dental Ipswich,,"51 Berners Street, Ipswich",IP1 3LN,Ipswich & Suffolk (IP1),0778 8721498,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Rashi Goel,CQC directory (auto-downloaded),
Clavering House,Aspire Dental Care Clavering House,"35 Berners Street, Ipswich",IP1 3LN,Ipswich & Suffolk (IP1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Advance Dental Health Limited,CQC directory (auto-downloaded),
Dr A M. Tabrizi Dental Practice Limited,,"69 Berners Street, Ipswich",IP1 3LN,Ipswich & Suffolk (IP1),01473 251658,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr A M. Tabrizi Dental Practice Limited,CQC directory (auto-downloaded),
Ipswich Dental Surgery,,"27 Berners Street, Ipswich",IP1 3LN,Ipswich & Suffolk (IP1),01473 253870,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Payal Bhalla,CQC directory (auto-downloaded),
Berners Dental Practice,,"40 Berners Street, Ipswich",IP1 3LU,Ipswich & Suffolk (IP1),01473 258557,https://www.bernersdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Berners Holdings Ltd,CQC directory (auto-downloaded),
Ipswich Orthodontic Centre,,"72 Berners Street, Ipswich",IP1 3LU,Ipswich & Suffolk (IP1),01473 255399,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Henry Wong,CQC directory (auto-downloaded),
J Smallridge Dental Care,,"82 Berners Street, Ipswich",IP1 3LU,Ipswich & Suffolk (IP1),01473 550600,https://www.jasdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,J. Smallridge & Co Limited,CQC directory (auto-downloaded),website unreachable
Kenneth Ng Surgery Limited,,"62 Berners Street, Ipswich",IP1 3LU,Ipswich & Suffolk (IP1),01473 254513,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kenneth Ng Surgery Ltd,CQC directory (auto-downloaded),
Lighthouse Dental Practice,,"27 High Street, Ipswich",IP1 3QH,Ipswich & Suffolk (IP1),01473 257379,https://www.lighthoursedentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Excel Limited,CQC directory (auto-downloaded),website unreachable
Appolonia Dental Centre,,"36 High Street, Ipswich",IP1 3QJ,Ipswich & Suffolk (IP1),01473 226662,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Azarakhsh Behnia,CQC directory (auto-downloaded),
Lighthouse Dental Practice - C B Tocca Dental Practice,,"34 High Street, Ipswich",IP1 3QJ,Ipswich & Suffolk (IP1),01473 257379,https://www.lighthousedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Bogdan Codrin Tocca,CQC directory (auto-downloaded),
Bridge House Dental Practice,,"377 Norwich Road, Ipswich",IP1 4HA,Ipswich & Suffolk (IP1),01473 742142,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Bindi Shah and Dr Srinivas Rao Jakileti,CQC directory (auto-downloaded),
Staffa Lodge Dental Group,,"326 Norwich Road, Ipswich",IP1 4HD,Ipswich & Suffolk (IP1),01473 741740,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Staffa Lodge Dental Group Limited,CQC directory (auto-downloaded),
Garrick Way Dental Surgery,,"23 Garrick Way, Ipswich",IP1 6NF,Ipswich & Suffolk (IP1),01473 741125,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Siamak Ghasemzadeh Kermanshahi,CQC directory (auto-downloaded),
Suffolk Orthodontic Practice,,"Foxhall Barns, Hall Road,  Foxhall, Ipswich",IP10 0AP,Ipswich & Suffolk (IP10),01473 636991,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Terence Ian Davies,CQC directory (auto-downloaded),
Crescent Dental Care,,"60 Cobbold Road, Felixstowe",IP11 7BX,Ipswich & Suffolk (IP11),01394 271300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Crescent Dental Care Partnership,CQC directory (auto-downloaded),
Brook Lane Dental Surgery,,"4 Brook Lane, Felixstowe",IP11 7EG,Ipswich & Suffolk (IP11),01394 283437,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ms Varsharani Laxman Tulse,CQC directory (auto-downloaded),
A W Brown Dental Practice,,"11 Victoria Street, Felixstowe",IP11 7EW,Ipswich & Suffolk (IP11),01394 274936,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ishita Poddar,CQC directory (auto-downloaded),
Walton House Dental Practice Limited,,"Walton House, 218 High Street, Felixstowe",IP11 9DS,Ipswich & Suffolk (IP11),01394 283419,https://www.waltonhousedentalpractice.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Walton House Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Woodbridge Dental Care,,"21 Church Street, Woodbridge",IP12 1DS,Ipswich & Suffolk (IP12),0793 5678795,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Leiston Dental Care Ltd,CQC directory (auto-downloaded),
Rendlesham Dental Practice,,"4 Acer Road, Rendlesham, Woodbridge",IP12 2GA,Ipswich & Suffolk (IP12),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Rendlesham Dental Practice,CQC directory (auto-downloaded),
Island House Dental Care,,"5 Quay Point, Station Road, Woodbridge",IP12 4AL,Ipswich & Suffolk (IP12),01394 388008,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Island House Dental Care,CQC directory (auto-downloaded),
Wickham Market Dental Practice,,"2 Crown House,  Crown Lane, Wickham Market, Woodbridge",IP13 0SA,Ipswich & Suffolk (IP13),01728 746220,https://www.wickhammarketdentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wickham Market Dental Practice Limited,CQC directory (auto-downloaded),website unreachable
Framlingham Dental Practice,,"26-28 Bridge Street, Framlingham, Woodbridge",IP13 9AH,Ipswich & Suffolk (IP13),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Paul Brown,CQC directory (auto-downloaded),
Dental Design Studio,,"Crowe Street, Stowmarket",IP14 1DL,Ipswich & Suffolk (IP14),01449 613369,https://www.thedentaldesignstudio.co.uk/stowmarket,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dental Design Studio,CQC directory (auto-downloaded),
Church View Dental Practice Limited,,"13 Station Road West, Stowmarket",IP14 1EF,Ipswich & Suffolk (IP14),01449 677148,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Church View Dental Practice Limited,CQC directory (auto-downloaded),
Wedgwood House Dental Practice,,"100 Bury Street, Stowmarket",IP14 1HF,Ipswich & Suffolk (IP14),01449 771700,https://www.wedgwood-house.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Jillian Geaney,CQC directory (auto-downloaded),
