name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Jivadental,02085 460011,Jivadental,KT1 1DJ,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.Jivadental.co.uk,website unreachable
Thames Street Dental Surgery,02085 466546,Thames Street Dental Surgery,KT1 1PE,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thamesdental.co.uk,
Kingston Dental Clinic,02084 391770,Kingston Dental Clinic,KT1 1SF,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
AURA Centre of Dental Excellence & Facial Aesthetics Ltd,02085 495710,AURA Centre of Dental Excellence & Facial Aesthetics Ltd,KT1 2BT,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aesthetika Dental Studio,02085 415480,Aesthetika Dental Studio,KT1 2BZ,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.aethetikadentalstudio.co.uk,website unreachable
Harmoni Dental Kingston,02038 787465,Harmoni Dental Kingston,KT1 3NX,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
SNS Dental Practice,02085 492743,SNS Dental Practice,KT1 3PD,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Hampton Wick Dental Centre,02089 774595,The Hampton Wick Dental Centre,KT1 4DY,Kingston & Surrey (KT1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pearltooth.com,
S3 Dental Hinchley Wood,02083 986322,S3 Dental Hinchley Wood,KT10 0AA,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lumino Dental,01372 462577,Lumino Dental,KT10 0PD,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.luminodental.co.uk,
Summerfield Dental Practice,01372 462266,Summerfield Dental Practice,KT10 0PF,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.summerfielddental.co.uk,
Lumino Dental,01372 462577,Lumino Dental,KT10 0QY,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hinchley Wood Practice,02083 983322,Hinchley Wood Practice,KT10 0SR,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hinchleywoodpractice.co.uk,
Meads Dental Practice,01372 464929,Meads Dental Practice,KT10 9PH,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fairoak Dental Practice,01372 463082,Fairoak Dental Practice,KT10 9PJ,Kingston & Surrey (KT10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
