practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Neem Tree - Esher,,"138 High Street, Esher",KT10 9QJ,Kingston & Surrey (KT10),01372 464000,https://www.theneemtree.co.uk/clinics/esher/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Neem Tree Esher Limited,CQC directory (auto-downloaded),
Cobham Dental,,"52 Station Road, Stoke D'abernon, Cobham",KT11 3BN,Kingston & Surrey (KT11),01932 866966,https://www.cobhamdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cobham Dental Limited,CQC directory (auto-downloaded),
Sync Dental Roseneath Limited,,"14 Oyster Lane, Byfleet, West Byfleet",KT14 7HP,Kingston & Surrey (KT14),01932 341767,https://www.surreydentist.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Sync Dental Roseneath Limited,CQC directory (auto-downloaded),
Synergy Roseneath,,"14 Oyster Lane, Byfleet, West Byfleet",KT14 7HP,Kingston & Surrey (KT14),01932 341767,https://www.roseneathdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Jaymish Patel and Gavin Khedun,CQC directory (auto-downloaded),
Surrey Dental surgery,,"21 Manor Green Road, Epsom",KT19 8RA,Kingston & Surrey (KT19),01372 877440,https://www.surreydentalsurgery.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Divya Singh,CQC directory (auto-downloaded),
Love Teeth Worcester Park,,"165 Central Road, Worcester Park",KT4 8DS,Kingston & Surrey (KT4),02083 370629,https://www.loveteethdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Love Teeth Worcester Park Limited,CQC directory (auto-downloaded),
Love Teeth Hook,,"401 Hook Road, Hook Parade, Chessington",KT9 1EW,Kingston & Surrey (KT9),02083 370629,https://www.loveteethdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Kunal Patel,CQC directory (auto-downloaded),
Jivadental,,"80a, Eden Street, Kingston Upon Thames",KT1 1DJ,Kingston & Surrey (KT1),02085 460011,https://www.Jivadental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Rapinder Bhamra,CQC directory (auto-downloaded),website unreachable
Thames Street Dental Surgery,,"28 Thames Street, Kingston Upon Thames",KT1 1PE,Kingston & Surrey (KT1),02085 466546,https://www.thamesdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Ajaybabu Ruparel,CQC directory (auto-downloaded),
Kingston Dental Clinic,,"41a, Fife Road, Kingston Upon Thames",KT1 1SF,Kingston & Surrey (KT1),02084 391770,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,DNA Dentists Limited,CQC directory (auto-downloaded),
AURA Centre of Dental Excellence & Facial Aesthetics Ltd,,"1 Penrhyn Road, Kingston Upon Thames",KT1 2BT,Kingston & Surrey (KT1),02085 495710,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aura Centre of Dental Excellence & Facial Aesthetics Limited,CQC directory (auto-downloaded),
Aesthetika Dental Studio,,"13 Penrhyn Road, Kingston Upon Thames",KT1 2BZ,Kingston & Surrey (KT1),02085 415480,https://www.aethetikadentalstudio.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Aesthetika Dental Studio Limited,CQC directory (auto-downloaded),website unreachable
Banning Dental Group – Kingston,,"7 Brook Street, Kingston Upon Thames",KT1 2EY,Kingston & Surrey (KT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Banning Dental Group Ltd,CQC directory (auto-downloaded),
Harmoni Dental Kingston,,"59 Cambridge Road, Kingston Upon Thames",KT1 3NX,Kingston & Surrey (KT1),02038 787465,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ani Development Limited,CQC directory (auto-downloaded),
SNS Dental Practice,,"4-5 Dollary Parade, Kingston Road, Kingston Upon Thames",KT1 3PD,Kingston & Surrey (KT1),02085 492743,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Showkat Bhat,CQC directory (auto-downloaded),
Smile Rooms Kingston,,"10 High Street, Hampton Wick, Kingston Upon Thames",KT1 4DB,Kingston & Surrey (KT1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Hanel Suresh Nathwani,CQC directory (auto-downloaded),
The Hampton Wick Dental Centre,,"8 Upper Teddington Road, Hampton Wick, Kingston Upon Thames",KT1 4DY,Kingston & Surrey (KT1),02089 774595,https://www.pearltooth.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Lama Brown,CQC directory (auto-downloaded),
S3 Dental Hinchley Wood,,"3 Manor Road North, Hinchley Wood, Esher",KT10 0AA,Kingston & Surrey (KT10),02083 986322,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Safeer Butt,CQC directory (auto-downloaded),
Lumino Dental,,"33 The Parade, Claygate, Esher",KT10 0PD,Kingston & Surrey (KT10),01372 462577,https://www.luminodental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lumino Dental Ltd,CQC directory (auto-downloaded),
Summerfield Dental Practice,,"11 Albany Crescent, Claygate, Esher",KT10 0PF,Kingston & Surrey (KT10),01372 462266,https://www.summerfielddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Summerfield Dental Practice Ltd,CQC directory (auto-downloaded),
Lumino Dental,,"109A Hare Lane, Claygate, Esher",KT10 0QY,Kingston & Surrey (KT10),01372 462577,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lumino Dental Ltd,CQC directory (auto-downloaded),
Hinchley Wood Practice,,"Woodside House, Station Approach,  Hinchley Wood, Esher",KT10 0SR,Kingston & Surrey (KT10),02083 983322,https://www.hinchleywoodpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hinchley Wood Orthodontics Ltd,CQC directory (auto-downloaded),
Meads Dental Practice,,"Portsmouth Road, Esher",KT10 9PH,Kingston & Surrey (KT10),01372 464929,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Liam Rowley Ltd,CQC directory (auto-downloaded),
Fairoak Dental Practice,,"Portsmouth Road, Esher",KT10 9PJ,Kingston & Surrey (KT10),01372 463082,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Andrew Powell-Cullingford,CQC directory (auto-downloaded),
River Mole Dental,,"Cobham Health Centre, 168 Portsmouth Road, Cobham",KT11 1HT,Kingston & Surrey (KT11),01932 866252,https://www.rivermoledental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Amita Gor,CQC directory (auto-downloaded),
Crome Dental Clinic,,"44 Anyards Road, Cobham",KT11 2LA,Kingston & Surrey (KT11),01932 862600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Crome Dental Clinic Partnership,CQC directory (auto-downloaded),
ABC Dental Surgery,,"13 High Street, Cobham",KT11 3DF,Kingston & Surrey (KT11),0795 7667888,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ABC Oral Healthcare Ltd,CQC directory (auto-downloaded),
Hollyhedge Dental,,"8 Hollyhedge Road, Cobham",KT11 3DG,Kingston & Surrey (KT11),01932 865888,https://www.hollyhedgedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Court Drive Ltd,CQC directory (auto-downloaded),
One Orthodontics,,"Fox House, 44 High Street, Cobham",KT11 3EB,Kingston & Surrey (KT11),01483 971698,https://www.oneorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,One Specialist Clinics Ltd,CQC directory (auto-downloaded),
Beech House Dental Surgery,,"12 Church Street, Cobham",KT11 3EG,Kingston & Surrey (KT11),01932 862290,https://Beechhousedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Harriss Dental Ltd,CQC directory (auto-downloaded),
Oatlands Dental Lounge,,"Napier House,  62-64 Bridge Street, Walton-on-thames",KT12 1AT,Kingston & Surrey (KT12),0793 2815557,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oatlands Dental Lounge,CQC directory (auto-downloaded),
Mulberry Dental,,"18 Ashley Road, Walton On Thames",KT12 1HS,Kingston & Surrey (KT12),01932 223479,https://www.mulberrydental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Riten Patel,CQC directory (auto-downloaded),
Ashley Dental Limited,,"19 Ashley Road, Walton On Thames",KT12 1JB,Kingston & Surrey (KT12),01932 220111,https://www.ashley-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ashley Dental Limited,CQC directory (auto-downloaded),
Walton Dental Surgery,,"71a, Hersham Road, Walton-on-thames",KT12 1LL,Kingston & Surrey (KT12),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Walton Dental Surgery,CQC directory (auto-downloaded),
EgoDent,,"6 Church Street, Walton-on-thames",KT12 2QS,Kingston & Surrey (KT12),01932 988460,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Egodent Ltd,CQC directory (auto-downloaded),
The White House Dental Clinic,,"18 Terrace Road, Walton On Thames",KT12 2SB,Kingston & Surrey (KT12),01932 260044,https://www.whitehousedental-clinic.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Harminder Dhaliwal,CQC directory (auto-downloaded),
Walton Park Dental Practice,,"2A Walton Park, Walton On Thames",KT12 3ET,Kingston & Surrey (KT12),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Walton Park Dental Practice Limited,CQC directory (auto-downloaded),
Cromwell Dental Practice,,"1 Cromwell Road, Walton On Thames",KT12 3NL,Kingston & Surrey (KT12),01932 269199,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Narinder Kondel,CQC directory (auto-downloaded),
Hersham Dental Practice,,"5 The Green, Hersham, Walton-on-thames",KT12 4HW,Kingston & Surrey (KT12),0776 4230659,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Stephen Oxborrow,CQC directory (auto-downloaded),
Windsor House Dental Limited,,"Windsor House,  20 Queens Road, Hersham, Walton-on-thames",KT12 5LR,Kingston & Surrey (KT12),0754 0351529,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Windsor House Dental Limited,CQC directory (auto-downloaded),
Windsor House Dental Ltd,,"20 Queens Road, Hersham, Walton-on-thames",KT12 5LR,Kingston & Surrey (KT12),01932 829500,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Stephen Michael Oxborrow,CQC directory (auto-downloaded),
MyoDental & MyoKids Dental,Weybridge Clinic,"40 High Street, Weybridge",KT13 8AB,Kingston & Surrey (KT13),01932 989785,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Attitude Smiles Ltd,CQC directory (auto-downloaded),
Ridgemount Dental Practice,,"Portmore Park Road, Weybridge",KT13 8HQ,Kingston & Surrey (KT13),01932 859222,https://www.ridgemountdental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Terence Sujitkumar Soosaipillai,CQC directory (auto-downloaded),website unreachable
WeLoveTeeth,,"Elmgrove House, Elmgrove Road, Weybridge",KT13 8NZ,Kingston & Surrey (KT13),01932 701234,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,WeLoveTeeth Limited,CQC directory (auto-downloaded),
Weybridge Dental Practice,,"29 Dorchester Road, Weybridge",KT13 8PE,Kingston & Surrey (KT13),01932 853556,https://www.weybridgedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Michael Frank Lee and Bahader Singh Panesar,CQC directory (auto-downloaded),
Weybridge Dental Care Limited,,"33 Monument Green, Weybridge",KT13 8QJ,Kingston & Surrey (KT13),01932 842838,https://www.weybridgedentalcare.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Weybridge Dental Care Ltd,CQC directory (auto-downloaded),website unreachable
Salters & Salters Dental,,"23 Monument Green, Weybridge",KT13 8QW,Kingston & Surrey (KT13),01932 849999,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Salters & Salters Limited,CQC directory (auto-downloaded),
The Specialist Dental Practice,,"25 Monument Green, Weybridge",KT13 8QW,Kingston & Surrey (KT13),01932 857585,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Akil Gulamali Limited,CQC directory (auto-downloaded),
Munro Hall Clinic,,"Suite 3 The Monument, 45-47 Monument Hill, Weybridge",KT13 8RN,Kingston & Surrey (KT13),01234 840099,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Munro Hall Clinic Ltd,CQC directory (auto-downloaded),
Portmore Dental,,"Roadway House, 35 Monument Hill, Weybridge",KT13 8RN,Kingston & Surrey (KT13),01932 855011,https://www.portmoredental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Weybridge Orthodontics,,"Roadway House, 35 Monument Hill, Weybridge",KT13 8RN,Kingston & Surrey (KT13),,https://www.surreybraces.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Surrey Orthodontics Limited,CQC directory (auto-downloaded),
Weybridge Dental Practice,,"91 Heath Road, Weybridge",KT13 8TS,Kingston & Surrey (KT13),01932 731207,https://www.weybridgedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Post House Dental Limited,CQC directory (auto-downloaded),
Dentalessence Weybridge,,"39 St. Marys Road, Weybridge",KT13 9PT,Kingston & Surrey (KT13),01932 857998,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Sachin Anand & Dr Shalini Anand,CQC directory (auto-downloaded),
West Byfleet Dental and Implant Centre,,"West Byfleet Health Centre, Madeira Road, West Byfleet",KT14 6DH,Kingston & Surrey (KT14),01932 620200,https://www.westbyfleetdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fairlands Dental Centre,CQC directory (auto-downloaded),
Coniston Dental Practice,Enamel Dental Care - Coniston Dental Practice,"22 Old Woking Road, West Byfleet",KT14 6HP,Kingston & Surrey (KT14),01932 343675,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Molesey Dental Practice Limited,CQC directory (auto-downloaded),
Centennium House,,"Pyrford Road, West Byfleet",KT14 6LD,Kingston & Surrey (KT14),01932 345562,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Christine Osborne,CQC directory (auto-downloaded),
York House Dental Practice,,"Lavender Road, West Byfleet, West Byfleet",KT14 6ND,Kingston & Surrey (KT14),01932 348864,https://www.yorkhousedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Soin Dental Care Ltd,CQC directory (auto-downloaded),
Surrey Dental & Aesthetics Clinic,,"40A Station Approach, Aldwych House, West Byfleet",KT14 6NE,Kingston & Surrey (KT14),01932 352486,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mezis Healthcare Ltd,CQC directory (auto-downloaded),
Byfleet Dental Boutique,,"29 High Road, Byfleet, West Byfleet",KT14 7QH,Kingston & Surrey (KT14),01932 344999,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S&K Dhanoa Limited,CQC directory (auto-downloaded),
Surrey Periodontics,,"152 High Road, Byfleet, West Byfleet",KT14 7RG,Kingston & Surrey (KT14),01932 341415,https://www.surreyperiodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Surrey Periodontics Limited,CQC directory (auto-downloaded),
Sync Dental Addlestone,,"Synergy House, 24C High Street, Addlestone",KT15 1TN,Kingston & Surrey (KT15),01932 856541,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sync Dental Addlestone Limited,CQC directory (auto-downloaded),
Premier Dental Care,,"65 Station Road, Addlestone",KT15 2AR,Kingston & Surrey (KT15),01932 853700,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Premier Dental Care,CQC directory (auto-downloaded),
Gatehouse Dental Practice,,"128 Station Road, Addlestone",KT15 2BQ,Kingston & Surrey (KT15),01932 856123,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gatehouse Dental Partnership,CQC directory (auto-downloaded),
Dental and facial Aesthetics Addlestone,,"Unit B, Market Street, Addlestone",KT15 2GL,Kingston & Surrey (KT15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Siamak Yourdshahyan,CQC directory (auto-downloaded),
New Haw Dental Practice,,"4 Scotland Bridge Road, New Haw, Addlestone",KT15 3HD,Kingston & Surrey (KT15),,https://www.newhawdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Sharoz Barahimi-Perez,CQC directory (auto-downloaded),
The Dental Surgery - New Haw,,"4 Scotland Bridge Road, New Haw, Addlestone",KT15 3HD,Kingston & Surrey (KT15),01932 343710,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Quincy Omondi,CQC directory (auto-downloaded),
Ottershaw Dental Centre,,"2 Brox Road, Ottershaw, Chertsey",KT16 0HL,Kingston & Surrey (KT16),01932 879838,https://www.execudent.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Execudent Limited,CQC directory (auto-downloaded),
The Courtyard Chertsey Limited,,"30 London Street, Chertsey",KT16 8AA,Kingston & Surrey (KT16),01932 582949,https://www.thecourtyardclinic.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Courtyard Chertsey Limited,CQC directory (auto-downloaded),
Estetica Dental Chertsey,,"23-25 London Street, Chertsey",KT16 8AP,Kingston & Surrey (KT16),01932 570099,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Estetica Oral Limited,CQC directory (auto-downloaded),
Farley House Dental Care,,"Farley House Dental Practice,  7 Pound Road, Chertsey",KT16 8EH,Kingston & Surrey (KT16),01932 561440,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Surrey Dental Limited,CQC directory (auto-downloaded),
Abbeymead Dental Centre,,"73 Guildford Street, Chertsey",KT16 9AS,Kingston & Surrey (KT16),0777 3372113,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr Sandip Kaur Dau,CQC directory (auto-downloaded),
Sync Dental Chertsey,,"Two Bridges, Riversdell Close, Chertsey",KT16 9JU,Kingston & Surrey (KT16),01932 566831,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sync Dental Chertsey Limited,CQC directory (auto-downloaded),
Smilecare Ewell,,"7 High Street, Ewell, Epsom",KT17 1SG,Kingston & Surrey (KT17),02083 936494,https://www.smile-care.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smilecare (Ewell) Limited,CQC directory (auto-downloaded),
Bourne Hall Dental Practice,,"Bourne Hall, Chessington Road,  Ewell, Epsom",KT17 1TG,Kingston & Surrey (KT17),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,S.Dattani & J.Patel,CQC directory (auto-downloaded),
Howell Hill Dental,,"Dellcote, Cheam Road, Epsom",KT17 3EL,Kingston & Surrey (KT17),02082 245105,https://www.howellhill.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Hulya Huseyin,CQC directory (auto-downloaded),
Alexandra Dental Practice,,"43 Alexandra Road, Epsom",KT17 4DB,Kingston & Surrey (KT17),01372 722685,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Kamlesh Christian,CQC directory (auto-downloaded),
Epsom Orthodontics,,"1 Church Street, Epsom",KT17 4PF,Kingston & Surrey (KT17),,https://www.guildfordorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,E & G Ortho Limited,CQC directory (auto-downloaded),
