practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Dalziel Dental Surgery,,"1 DALZIEL STREET, MOTHERWELL",ML1 1PJ,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
(My) Dentist,,"87-91 BRANDON PARADE SOUTH, MOTHERWELL",ML1 1RB,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Windmill Dental Care,,"79 WINDMILLHILL STREET, MOTHERWELL",ML1 1RY,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Motherwell Health Centre Dental Dept,,"138-144 WINDMILLHILL STREET, MOTHERWELL",ML1 1TB,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Hamilton Road Dental Practice,,"168 HAMILTON ROAD, MOTHERWELL",ML1 3DW,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,Scotland NHS dental register (PHS open data),
Sloan Dental Care,,"18 BELL QUADRANT, CARFIN, MOTHERWELL",ML1 4GN,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mcmanus & Scott Dental,,"5 MAIN STREET, HOLYTOWN",ML1 4TA,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Mcmanus & Scott Dental,,"54 HIGH STREET, NEWARTHILL",ML1 5JU,Lanarkshire (ML1),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Avonsmiles Dental,,"30 COMMON GREEN, STRATHAVEN",ML106AF,Lanarkshire (ML10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Strathaven Dental,,"2 KIRK STREET, STRATHAVEN",ML106LE,Lanarkshire (ML10),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lesmahagow Dental,,"2 NEW TROWS ROAD, LESMAHAGOW",ML110EW,Lanarkshire (ML11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Woodstock Dental,,"13 WOODSTOCK ROAD, LANARK",ML117DJ,Lanarkshire (ML11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Lanark Smile Studios,,"72 HIGH STREET, LANARK",ML117ES,Lanarkshire (ML11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Waterloo Dental Practice,,"28 WATERLOO ROAD, LANARK",ML117PZ,Lanarkshire (ML11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kirkmuirhill Dental,,"14A THORNTON ROAD, KIRKMUIRHILL",ML119QE,Lanarkshire (ML11),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
High Street Dental,,"58 HIGH STREET, BIGGAR",ML126BJ,Lanarkshire (ML12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Biggar Dental Practice,,"213 HIGH STREET, BIGGAR",ML126DJ,Lanarkshire (ML12),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Wishaw Dental Clinic,,"43 MAIN STREET, WISHAW",ML2 7AF,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Belhaven Dental Practice,,"HOULDSWORTH CENTRE,LEVEL 4, KENILWORTH AVE.,WISHAW",ML2 7LP,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Scobie & Walker Dental,,"LEVEL 4, HOULDSWORTH CENTRE, WISHAW",ML2 7LP,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Arthur Dental Care,,"207 MAIN STREET, WISHAW",ML2 7NE,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Stewarton Street Dental,,"43 STEWARTON STREET, WISHAW",ML2 8AA,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Newmains Dental Care,,"48 MANSE ROAD, NEWMAINS",ML2 9AX,Lanarkshire (ML2),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
Kilcoyne Dental Care,,"27 DOUGLAS STREET, HAMILTON",ML3 0BP,Lanarkshire (ML3),,,NHS,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,Scotland NHS dental register (PHS open data),
