name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Barrow Dental Aesthetics,0798 4392963,Barrow Dental Aesthetics,LA14 5SL,Lancaster (LA14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.barrowdentalaesthetics.co.uk,
Bay Dental,152432639,Bay Dental,LA1 1EG,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental Implants Veneers,0795 2726943,Dental Implants Veneers,LA1 1LU,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
3A Dental Care,152461959,3A Dental Care,LA1 1NQ,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malmin Orthodontics (Lancaster),02072 420088,Malmin Orthodontics (Lancaster),LA1 1RQ,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Marketgate Dental Practice,152432630,Marketgate Dental Practice,LA1 1RQ,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Brock Street Dental Practice Limited,152437324,Brock Street Dental Practice Limited,LA1 1UU,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lancaster Dental Clinic,01524 382670,Lancaster Dental Clinic,LA1 2DU,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lancasterdentalclinic.co.uk,website unreachable
HMP Lancaster Farms,01524 563450,HMP Lancaster Farms,LA1 3QZ,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Ashton Road Community Dental Clinic,152462150,Ashton Road Community Dental Clinic,LA1 4JT,Lancaster (LA1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sedbergh Dental Practice,0747 6818187,Sedbergh Dental Practice,LA10 5BL,Lancaster (LA10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Avondale Dental Practice,01539 533166,Avondale Dental Practice,LA11 7EY,Lancaster (LA11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
