practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Barrow Dental Aesthetics,,"4 Hartington Street, Barrow-in-furness",LA14 5SL,Lancaster (LA14),0798 4392963,https://www.barrowdentalaesthetics.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Barrow Smile Centre Ltd,CQC directory (auto-downloaded),
Bay Dental,,"6 New Street, Lancaster",LA1 1EG,Lancaster (LA1),152432639,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Dental Implants Veneers,,"Rosemary House, 61 North Road, Lancaster",LA1 1LU,Lancaster (LA1),0795 2726943,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Neelraj Gokul,CQC directory (auto-downloaded),
3A Dental Care,,"3a Great John Street, Lancaster",LA1 1NQ,Lancaster (LA1),152461959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Christopher Broadbent,CQC directory (auto-downloaded),
Lancaster Smile Clinic,,"34 King Street, Lancaster",LA1 1RE,Lancaster (LA1),,https://www.lancaster-smile.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lancaster Smile Limited,CQC directory (auto-downloaded),website unreachable
Malmin Orthodontics (Lancaster),,"12 Spring Garden Street, Lancaster",LA1 1RQ,Lancaster (LA1),02072 420088,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Marketgate Dental Practice,,"12 Spring Garden Street, Lancaster",LA1 1RQ,Lancaster (LA1),152432630,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Healthcare Lancaster Partnership,CQC directory (auto-downloaded),
Brock Street Dental Practice Limited,,"8 Brock Street, Lancaster",LA1 1UU,Lancaster (LA1),152437324,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Brock Street Dental Practice Limited,CQC directory (auto-downloaded),
Lancaster Dental Clinic,,"8,  Aldrens Lane, Skerton, Lancaster",LA1 2DU,Lancaster (LA1),01524 382670,https://www.lancasterdentalclinic.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Michael Stainer,CQC directory (auto-downloaded),website unreachable
HMP Lancaster Farms,,"Stone Row Head, Lancaster",LA1 3QZ,Lancaster (LA1),01524 563450,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
