practice_name,also_known_as,address,postcode,ls_area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dental Architect,,"56 Wellington Street, Leeds",LS1 2EE,Leeds city centre,01138 684324,https://www.thedentalarchitect.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Martina Vivienne  Hodgson,CQC directory (auto-downloaded),
Church View Dental Care,,"5-7 Church Lane, Crossgates, Leeds",LS15 8BB,Cross Gates/Austhorpe,01132 647133,https://www.churchviewdentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,CVDC Limited,CQC directory (auto-downloaded),
Manor Square Dental Practice,,"10 Manor Square, Otley",LS21 3AP,Otley,01943 461501,https://www.manorsquaredental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,MSDP Otley Limited,CQC directory (auto-downloaded),
Glen Lea Dental Suite,,"20 York Road, Wetherby",LS22 6SL,Wetherby,01937 583502,https://www.glenleadental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Glen Lea Wetherby Limited,CQC directory (auto-downloaded),
Ilkley Dental Studio,,"Unit A,  Riverside Business Park, Dansk Way,  Leeds Road, Ilkley",LS29 8JZ,Ilkley/Wharfedale,0798 4005132,https://www.ilkleydentalstudio.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ilkley Dental Studio Ltd,CQC directory (auto-downloaded),
The Tooth Spa,,"47 Potternewton Lane, Chapel Allerton, Leeds",LS7 3LW,Chapel Allerton,01132 625545,https://www.thetoothspaleeds.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Tooth Spa Limited,CQC directory (auto-downloaded),
Chelwood Dental Care,,"21 Chelwood Drive, Leeds",LS8 2AT,Roundhay/Fearnville,01132 668459,https://www.chelwooddentalleeds.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Chelwood Dental Practice Partnership,CQC directory (auto-downloaded),
Poldent Dental Care,,"Unit 3, Dock Green Court,  Stanley Road, Leeds",LS9 7AB,Harehills/East Leeds,,https://www.poldent.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Poldent Group Ltd,CQC directory (auto-downloaded),
Invisiblebraces4u Leeds,,"32 Park Place, Leeds",LS1 2SP,Leeds city centre,02037 450494,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,IB4U LTD,CQC directory (auto-downloaded),
Briggate Dental Practice,,"4 Lower Briggate, Leeds",LS1 4AF,Leeds city centre,01132 446095,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Miracle Smiles UK Ltd,CQC directory (auto-downloaded),
Beyu Dental LS1,,"4 Wellington Place, Leeds",LS1 4AP,Leeds city centre,,https://www.beyudental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Beyu Dental Limited,CQC directory (auto-downloaded),
Smmmile Store,,"1st Floor,  Equity House, The Bourse,  Boar Lane, Leeds",LS1 5EN,Leeds city centre,01134 800000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smmmile Leeds Limited,CQC directory (auto-downloaded),
The Park Row Dental Practice,,"18 Park Row, Basement Suite, Leeds",LS1 5JA,Leeds city centre,01132 430371,https://www.theparkrowdentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Michael Green,CQC directory (auto-downloaded),website unreachable
Paul Calder Dental Limited,,"4 Cross Arcade, Leeds",LS1 6AZ,Leeds city centre,01132 454550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Paul Calder Dental Limited,CQC directory (auto-downloaded),
VICI Dental,,"25 Albion Place, Leeds",LS1 6JS,Leeds city centre,0776 7646165,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,VICI Dental Limited,CQC directory (auto-downloaded),
Headrow Dental Practice,,"5 The Headrow, Leeds",LS1 6PU,Leeds city centre,01132 434014,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Headrow Dent. Limited,CQC directory (auto-downloaded),
Impress Leeds,,"84-86, Vicar Lane, Leeds",LS1 7JH,Leeds city centre,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile2Impress Clinics Ltd,CQC directory (auto-downloaded),
EvoDental Leeds Clinic,,"Darwin Building, Leeds Valley Park, Leeds",LS10 1AB,Hunslet/South Leeds,0800 4703719,https://www.evodental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Evo Dental Centre Limited,CQC directory (auto-downloaded),website unreachable
Trinity House Orthodontics LEEDS,,"Unit 15 The Penny Hill Shopping Centre, Hunslet, Leeds",LS10 2AP,Hunslet/South Leeds,01924 369696,https://www.trinityhouse-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Haricovert Limited,CQC directory (auto-downloaded),
Dewsbury Road Dental Practice,,"Fraternity House, 50 Church Street,  Hunslet, Leeds",LS10 2AR,Hunslet/South Leeds,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Beeston Dental Partnership,CQC directory (auto-downloaded),
