name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dental Suite Leicester,01162 554373,The Dental Suite Leicester,LE1 1RB,Leicester (LE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dental-suite.co.uk,
Windsor Street Dental Practice,0772 4147525,Windsor Street Dental Practice,LE10 2EE,Leicester (LE10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.windsorstreetdental.co.uk,
Great Central Dental LTD,01509 214797,Great Central Dental LTD,LE11 1RW,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.greatcentraldental.co.uk,
Carillon Dental Care Ltd,01509 219669,Carillon Dental Care Ltd,LE11 1TQ,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.carillondentalcare.com,
The Dental Suite Loughborough,01509 231144,The Dental Suite Loughborough,LE11 2ED,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dental-suite.co.uk,
Foxbury Dental,01858 455100,Foxbury Dental,LE17 6LJ,Leicester (LE17),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.foxburydental.com,
Wigston Dental Care,01162 812935,Wigston Dental Care,LE18 1JW,Leicester (LE18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wigstondentalcare.co.uk,
EverySmile Dental Clinic,01163 503322,EverySmile Dental Clinic,LE6 0LE,Leicester (LE6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.everysmile.co.uk,
Green Dental and Implant Clinic Limited,01162 604604,Green Dental and Implant Clinic Limited,LE7 1GQ,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.green-dental.co.uk,
Watermead Dental,01162 607625,Watermead Dental,LE7 2HA,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.watermeaddental.co.uk,
Delta Dental Care Limited,01162 600887,Delta Dental Care Limited,LE7 2HB,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.deltadentalcare.co.uk,
Bowling Green Dental Care,01162 547383,Bowling Green Dental Care,LE1 6AS,Leicester (LE1),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Genix Healthcare,No,https://www.genixhealthcare.com,
Burbage Dental Practice,01455 614895,Burbage Dental Practice,LE10 2DB,Leicester (LE10),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.burbagedental.co.uk,
