name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dental Suite Leicester,01162 554373,The Dental Suite Leicester,LE1 1RB,Leicester (LE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dental-suite.co.uk,
Great Central Dental LTD,01509 214797,Great Central Dental LTD,LE11 1RW,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.greatcentraldental.co.uk,
Carillon Dental Care Ltd,01509 219669,Carillon Dental Care Ltd,LE11 1TQ,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.carillondentalcare.com,
The Dental Suite Loughborough,01509 231144,The Dental Suite Loughborough,LE11 2ED,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.dental-suite.co.uk,
Green Dental and Implant Clinic Limited,01162 604604,Green Dental and Implant Clinic Limited,LE7 1GQ,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.green-dental.co.uk,
Watermead Dental,01162 607625,Watermead Dental,LE7 2HA,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.watermeaddental.co.uk,
Delta Dental Care Limited,01162 600887,Delta Dental Care Limited,LE7 2HB,Leicester (LE7),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.deltadentalcare.co.uk,
The City Dental Practice,01162 514577,The City Dental Practice,LE1 4SX,Leicester (LE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
JDRM Dental Care Dental Access Centre,01162 961473,JDRM Dental Care Dental Access Centre,LE1 7BA,Leicester (LE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jdrmdentalcare.co.uk,website unreachable
Reform Aesthetics and Dental,01163 800318,Reform Aesthetics and Dental,LE1 7GL,Leicester (LE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.reformmedical.co.uk,
Smiles By Gurms,0796 1436069,Smiles By Gurms,LE1 7LT,Leicester (LE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Granville Dental Practice,01162 551882,Granville Dental Practice,LE1 7RU,Leicester (LE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.portmanhealthcare.co.uk,
Peacock Dental Spa,0759 0982665,Peacock Dental Spa,LE11 1UE,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
JDRM Dental Care Loughborough,01509 642225,JDRM Dental Care Loughborough,LE11 2AG,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.jdrmdentalcare.co.uk,website unreachable
Victoria House Dental Practice,01509 271563,Victoria House Dental Practice,LE11 2EN,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.victoriahousedental.co.uk,website unreachable
The Dentalist Loughborough,01509 830054,The Dentalist Loughborough,LE11 2FF,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentalist.co.uk,
Ascent Dental Care Loughborough,0797 0073816,Ascent Dental Care Loughborough,LE11 2HH,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Loughborough,01509 267451,Loughborough,LE11 3AB,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Sherwood House Dental Practice,01509 212093,Sherwood House Dental Practice,LE11 3AG,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Granby House Dental Practice,01509 212170,Granby House Dental Practice,LE11 3DU,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.granbyhousedental.co.uk,
Forest Road Dental Practice,01509 233323,Forest Road Dental Practice,LE11 3NP,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.forestroaddental.plus.com,
Loughborough University Dental Practice,01509 261602,Loughborough University Dental Practice,LE11 3TT,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Gorse Covert Dental Practice Limited,01509 844118,Gorse Covert Dental Practice Limited,LE11 4RZ,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gcdp.co.uk,
Brookview Dental Care,01509 856041,Brookview Dental Care,LE12 6JG,Leicester (LE12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.brookviewdentalcare.co.uk,
Park Dental Care,01162 375321,Park Dental Care,LE12 7AF,Leicester (LE12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.park-dental-care.co.uk/,
Lux Dental Mountsorrel,01509 261212,Lux Dental Mountsorrel,LE12 7TZ,Leicester (LE12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
