name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Carillon Dental Care Ltd,01509 219669,Carillon Dental Care Ltd,LE11 1TQ,Leicester (LE11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.carillondentalcare.com,
Sherwood House Dental Practice,01509 212093,Sherwood House Dental Practice,LE11 3AG,Leicester (LE11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Pure Dental Studio,01858 434500,Pure Dental Studio,LE16 9HF,Leicester (LE16),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Dental Art,01162 733224,Dental Art,LE2 1HL,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Hampton House Dental Practice,01162 543500,Hampton House Dental Practice,LE2 1ND,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.hamptonhousedental.co.uk,
St Johns Road Dental Practice,01162 707300,St Johns Road Dental Practice,LE2 2BL,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Briarmeads Dental Practice,01162 710500,Briarmeads Dental Practice,LE2 5WE,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Brookview Dental Clinic,01162 881001,Brookview Dental Clinic,LE2 6EN,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.brookviewdental.co.uk,
Brookview Dental Clinic Limited,01162 881001,Brookview Dental Clinic Limited,LE2 6EN,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Total Dental Care - Saffron Lane,01162 833733,Total Dental Care - Saffron Lane,LE2 6TD,Leicester (LE2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
City Orthodontics,01162 549127,City Orthodontics,LE3 0RD,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.cityorthouk.com,
Smile Essential,01162 891317,Smile Essential,LE3 2FS,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
44 Dental Care,01162 519647,44 Dental Care,LE3 5EQ,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.44dentalcare.co.uk,
Aesthetic Smiles,01162 510828,Aesthetic Smiles,LE3 5EZ,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Fosse Dental Care,01162 621015,Fosse Dental Care,LE3 5PR,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.fossedentalcare.com,
Glenfield Dental,01162 879608,Glenfield Dental,LE3 8BQ,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Total Dental Care - New Parks Dental Surgery,01162 872431,Total Dental Care - New Parks Dental Surgery,LE3 9PW,Leicester (LE3),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Clearly Orthodontics,01162 100205,Clearly Orthodontics,LE5 1AE,Leicester (LE5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.clearlyortho.co.uk,
Willowbrook Dental,01162 621151,Willowbrook Dental,LE5 3DF,Leicester (LE5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.willowbrookdental.co.uk,
Willowbrook Dental Practice,01162 621151,Willowbrook Dental Practice,LE5 3DF,Leicester (LE5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Total Dental Care - Wicklow Drive Dental Surgery,01162 460600,Total Dental Care - Wicklow Drive Dental Surgery,LE5 4EL,Leicester (LE5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Whitehouse Dental Surgery,01162 730456,Whitehouse Dental Surgery,LE5 5HH,Leicester (LE5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Blaby Dental Practice,01162 771654,Blaby Dental Practice,LE8 4DN,Leicester (LE8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.blabydental.com,
Glen Dental Clinic,0775 4077119,Glen Dental Clinic,LE8 9HB,Leicester (LE8),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Sileby Family Dental Centre,01159 790909,Sileby Family Dental Centre,LE12 7RX,Leicester (LE12),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
Anstey Family Dental Centre,01159 790909,Anstey Family Dental Centre,LE7 7AB,Leicester (LE7),Unknown,Unknown PMS - manual check,Tier 4 - ADG corporate group (lower priority),Yes,Nationwide Healthcare,Yes,,
