practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dental Suite Leicester,,"7 Rutland Street, Leicester",LE1 1RB,Leicester (LE1),01162 554373,https://www.dental-suite.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Windsor Street Dental Practice,,"3 and ¾, Windsor Street,  Burbage, Hinckley",LE10 2EE,Leicester (LE10),0772 4147525,https://www.windsorstreetdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ms Eleanor Louisa Nagra,CQC directory (auto-downloaded),
Great Central Dental LTD,Great Central Dental,"13 Great Central Road, Loughborough",LE11 1RW,Leicester (LE11),01509 214797,https://www.greatcentraldental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Great Central Dental Limited,CQC directory (auto-downloaded),
Carillon Dental Care Ltd,,"44 Baxtergate, Loughborough",LE11 1TQ,Leicester (LE11),01509 219669,https://www.carillondentalcare.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Carillon Dental Care Ltd,CQC directory (auto-downloaded),
The Dental Suite Loughborough,,"27 Park Road, Loughborough",LE11 2ED,Leicester (LE11),01509 231144,https://www.dental-suite.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Foxbury Dental,,"27 High Street, Husbands Bosworth, Lutterworth",LE17 6LJ,Leicester (LE17),01858 455100,https://www.foxburydental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Carmen Jimenez Vallejo Limited,CQC directory (auto-downloaded),
Wigston Dental Care,,"287 Leicester Road, Leicester",LE18 1JW,Leicester (LE18),01162 812935,https://www.wigstondentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Sheetal Amit Hindocha,CQC directory (auto-downloaded),
EverySmile Dental Clinic,,"1c, Desford Lane,  Ratby, Leicester",LE6 0LE,Leicester (LE6),01163 503322,https://www.everysmile.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Parwaiz Ltd,CQC directory (auto-downloaded),
Green Dental and Implant Clinic Limited,,"63 High Street, Syston, Leicester",LE7 1GQ,Leicester (LE7),01162 604604,https://www.green-dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Green Dental and Implant Clinic Limited,CQC directory (auto-downloaded),
Watermead Dental,,"1148 Melton Road, Syston, Leicester",LE7 2HA,Leicester (LE7),01162 607625,https://www.watermeaddental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Elizabeth Butters,CQC directory (auto-downloaded),
Delta Dental Care Limited,,"1174 Melton Road, Syston, Leicester",LE7 2HB,Leicester (LE7),01162 600887,https://www.deltadentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Delta Dental Care Limited,CQC directory (auto-downloaded),
The City Dental Practice,East Bond Street,"51-57 East Bond Street, Leicester",LE1 4SX,Leicester (LE1),01162 514577,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,DENT41 Limited,CQC directory (auto-downloaded),
JDRM Dental Care Dental Access Centre,,"10 Nelson Street, Leicester",LE1 7BA,Leicester (LE1),01162 961473,https://www.jdrmdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JDRM Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Reform Aesthetics and Dental,,"18 De Montfort Street, Leicester",LE1 7GL,Leicester (LE1),01163 800318,https://www.reformmedical.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Reform Medical Aesthetics Ltd,CQC directory (auto-downloaded),
Smiles By Gurms,,"108 Regent Road, Leicester",LE1 7LT,Leicester (LE1),0796 1436069,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smiles By Gurms Ltd,CQC directory (auto-downloaded),
Granville Dental Practice,,"1 Granville Road, Leicester",LE1 7RU,Leicester (LE1),01162 551882,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Mount Road Dental Practice,,"23 Mount Road, Hinckley",LE10 1AD,Leicester (LE10),01455 637253,https://www.jdrmdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JDRM Dental Care Limited,CQC directory (auto-downloaded),website unreachable
House of Dental,,"34 Station Road, Hinckley",LE10 1AP,Leicester (LE10),01455 637141,https://www.houseofdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Station Road Dental Practice Partnership,CQC directory (auto-downloaded),
House of Dental Station Road,,"34 Station Road, Hinckley",LE10 1AP,Leicester (LE10),01455 637141,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,House of Dental Station Road Ltd,CQC directory (auto-downloaded),
Holywell House Hinckley,,"56 London Road, Hinckley",LE10 1HL,Leicester (LE10),01455 234758,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Holywell House Orthodontics Limited,CQC directory (auto-downloaded),
Peacock Dental Spa,,"44 Church Gate, Loughborough",LE11 1UE,Leicester (LE11),0759 0982665,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Peacock Dental Limited,CQC directory (auto-downloaded),
JDRM Dental Care Loughborough,,"40 Leicester Road, Loughborough",LE11 2AG,Leicester (LE11),01509 642225,https://www.jdrmdentalcare.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JDRM Dental Care Limited,CQC directory (auto-downloaded),website unreachable
Loughborough Orthodontic and Implant Centre,,"168 Leicester Road, Loughborough",LE11 2AH,Leicester (LE11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gosal Orthodontics Limited,CQC directory (auto-downloaded),
Victoria House Dental Practice,,"Victoria House, 2 Victoria Street, Loughborough",LE11 2EN,Leicester (LE11),01509 271563,https://www.victoriahousedental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Victoria House Dental Partnership,CQC directory (auto-downloaded),website unreachable
The Dentalist Loughborough,,"Unit C, Grange Retail Park,  Allendale Road, Loughborough",LE11 2FF,Leicester (LE11),01509 830054,https://www.thedentalist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Platinum Line Limited,CQC directory (auto-downloaded),
Ascent Dental Care Loughborough,,"66 Park Road, Loughborough",LE11 2HH,Leicester (LE11),0797 0073816,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Loughborough Dental & Implant Centre Limited,CQC directory (auto-downloaded),
Loughborough,,"91 Ashby Road, Loughborough",LE11 3AB,Leicester (LE11),01509 267451,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ashby Road Partnership,CQC directory (auto-downloaded),
Sherwood House Dental Practice,,"150 Ashby Road, Loughborough",LE11 3AG,Leicester (LE11),01509 212093,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Sherwood House Dental Practice,CQC directory (auto-downloaded),
Granby House Dental Practice,,"25 Granby Street, Loughborough",LE11 3DU,Leicester (LE11),01509 212170,https://www.granbyhousedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Granby House Dental Limited,CQC directory (auto-downloaded),
Forest Road Dental Practice,,"16 Forest Road, Loughborough",LE11 3NP,Leicester (LE11),01509 233323,https://www.forestroaddental.plus.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kalemore Ltd,CQC directory (auto-downloaded),
Loughborough University Dental Practice,,"Students Union Building, Ashby Road, Loughborough",LE11 3TT,Leicester (LE11),01509 261602,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Minesh Gokani,CQC directory (auto-downloaded),
Gorse Covert Dental Practice Limited,,"34 Maxwell Drive, Gorse Covert, Loughborough",LE11 4RZ,Leicester (LE11),01509 844118,https://www.gcdp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gorse Covert Dental Practice Ltd,CQC directory (auto-downloaded),
Brookview Dental Care,,"The Health Centre, Gotham Road,  East Leake, Loughborough",LE12 6JG,Leicester (LE12),01509 856041,https://www.brookviewdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Niki Kitsiou,CQC directory (auto-downloaded),
Park Dental Care,,"10 The Green, Mountsorrel, Loughborough",LE12 7AF,Leicester (LE12),01162 375321,https://www.park-dental-care.co.uk/,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Y & H Sehmi Ltd,CQC directory (auto-downloaded),
Lux Dental Mountsorrel,,"Granite Way, Mountsorrel, Loughborough",LE12 7TZ,Leicester (LE12),01509 261212,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Quorn Dental Limited,CQC directory (auto-downloaded),
Lux Dental,,"18 Station Road, Quorn, Loughborough",LE12 8BS,Leicester (LE12),01509 621212,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Quorn Dental Limited,CQC directory (auto-downloaded),
Quorn Dental Practice,,"60 Station Road, Quorn, Loughborough",LE12 8BS,Leicester (LE12),0782 4813681,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Quorn Dental Practice Limited,CQC directory (auto-downloaded),
Soar Valley Dental Practice,,"46 High Street, Barrow Upon Soar, Loughborough",LE12 8PY,Leicester (LE12),01509 413965,https://www.soarvalleydental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Soar Valley Dental Practice Limited,CQC directory (auto-downloaded),
Shepshed Dental,,"10 Field Street, Shepshed, Loughborough",LE12 9AL,Leicester (LE12),0754 0725694,https://www.shepsheddentalpractice.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,V & Y (UK) Limited,CQC directory (auto-downloaded),website unreachable
Charnwood Dental Shepshed,,"Charnwood Dental Limited, 3 Bull Ring,  Shepshed, Loughborough",LE12 9PZ,Leicester (LE12),01509 503208,https://www.charnwooddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Charnwood Dental Limited,CQC directory (auto-downloaded),
The Melton Smile and Wellbeing Clinic,,"8 Asfordby Road, Melton Mowbray",LE13 0HR,Leicester (LE13),01664 650550,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,New Smile Services Limited,CQC directory (auto-downloaded),
High Street Dental Care,,"12 High Street, Melton Mowbray",LE13 0TR,Leicester (LE13),01664 562092,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,High Street Dental Care Limited,CQC directory (auto-downloaded),
The Whitehouse Dental Practice,,"79 Scalford Road, Melton Mowbray",LE13 1JZ,Leicester (LE13),01664 562209,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Rikkin Ashok Jethwa,CQC directory (auto-downloaded),
Melton Orthodontics Nottingham Street,,"3 Nottingham Street, Melton Mowbray",LE13 1NN,Leicester (LE13),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Melton Orthodontics Ltd,CQC directory (auto-downloaded),
JDRM Dental Care Melton Mowbray,,"36-38 Nottingham Street, Melton Mowbray",LE13 1NW,Leicester (LE13),01664 431290,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JDRM Dental Care Limited,CQC directory (auto-downloaded),
High Street Dental Care - Bell Centre,,"Units 1-2 Bell Centre, Nottingham Street, Melton Mowbray",LE13 1PJ,Leicester (LE13),01664 562092,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,High Street Dental Care Limited,CQC directory (auto-downloaded),
Park Road Dental Practice,,"20 Park Road, Melton Mowbray",LE13 1TT,Leicester (LE13),01664 568811,https://www.parkroaddentalspa.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Spectrum Associates (London) Ltd,CQC directory (auto-downloaded),website unreachable
Oakham Dental Studio,,"Unit 9, Knights Yard,  Gaol Street, Oakham",LE15 6AQ,Leicester (LE15),01572 771175,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Oakham Dental Studio Limited,CQC directory (auto-downloaded),
Green Oakham Dental Care,,"74 High Street, Oakham",LE15 6AS,Leicester (LE15),0785 2903633,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Green Oakham Dental Care LTD,CQC directory (auto-downloaded),
JDRM Dental Care Oakham,,"40A Melton Road, Oakham",LE15 6AY,Leicester (LE15),01572 729368,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,JDRM Dental Care Limited,CQC directory (auto-downloaded),
Dentith and Dentith Dental Practice,,"83 South Street, Oakham",LE15 6BG,Leicester (LE15),01572 755970,https://www.dentithanddentith.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentith and Dentith Dental Practice,CQC directory (auto-downloaded),
West Road Dental,,"71 West Road, Oakham",LE15 6LT,Leicester (LE15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Piyush Kumar Patel,CQC directory (auto-downloaded),
HMP Stocken,,"Stocken Hall Road, Stretton, Oakham",LE15 7RD,Leicester (LE15),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Rutland Dental Care,,"Unit 1d, Uppingham Gate,  Uppingham, Oakham",LE15 9NY,Leicester (LE15),01572 822655,https://www.andrewsdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Dipti Lad Ltd,CQC directory (auto-downloaded),
Market Place Dental Practice,,"9 Market Place, Uppingham, Oakham",LE15 9QH,Leicester (LE15),0779 1192660,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Market Place Dental Practice,CQC directory (auto-downloaded),
Uppingham Dental & Implant Clinic,,"Ayston House, Ayston Road,  Uppingham, Oakham",LE15 9RL,Leicester (LE15),01572 823595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Granville Dental Practice,CQC directory (auto-downloaded),
Uppingham Dental Practice,,"Suite 3 Ayston House, Ayston Road, Uppingham",LE15 9RL,Leicester (LE15),01572 823595,https://www.portmanhealthcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Brookside Dental Clinic,,"94 St. Marys Road, Market Harborough",LE16 7DX,Leicester (LE16),01858 462734,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,R & A Dental Care Ltd,CQC directory (auto-downloaded),
HMP Gartree,,"Gallow Field Road, Market Harborough",LE16 7RP,Leicester (LE16),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
2th Dental Practice,,"89 Northampton Road, Market Harborough",LE16 9HD,Leicester (LE16),01858 465666,https://www.2thdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Alpha Dental Care Market Harborough,,"106 Northampton Road, Market Harborough",LE16 9HF,Leicester (LE16),01858 419600,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Gordon & Wild Partnership,CQC directory (auto-downloaded),
Pure Dental Studio,,"76 Northampton Road, Market Harborough",LE16 9HF,Leicester (LE16),01858 434500,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Pure Dental Studio Limited,CQC directory (auto-downloaded),
Ditchfield Dental Limited,,"Ditchfield Dental Practice, 49 Fairfax Road, Market Harborough",LE16 9JU,Leicester (LE16),01858 466663,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ditchfield Dental Ltd,CQC directory (auto-downloaded),
Brite Care Dental Practice,,"11 Fairfield Road, Market Harborough",LE16 9QQ,Leicester (LE16),01858 410401,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ishak Practices Ltd,CQC directory (auto-downloaded),
Kaizen Dental,,"Unit 3 & 4 The Arc Business Centre, Harborough Road,  Lubenham, Market Harborough",LE16 9SZ,Leicester (LE16),01858 897969,https://www.thekaizendentaclinicl.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kaizen Dental Ltd,CQC directory (auto-downloaded),website unreachable
Lutterworth Dental Practice,,"29-31 George Street, Lutterworth",LE17 4EQ,Leicester (LE17),0754 0771744,https://www.lutterworthdental.com,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lidder Limited,CQC directory (auto-downloaded),website unreachable
21D Lutterworth,,"4 St. Johns Business Park, Lutterworth",LE17 4HB,Leicester (LE17),0800 0073199,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,21D Clinical Limited,CQC directory (auto-downloaded),
Hampton House Dental Practice,,"22 Lower Leicester Road, Lutterworth",LE17 4NG,Leicester (LE17),01455 552333,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,"Mr R D Kidy, Ms S S Kidy and Miss Z R Kidy",CQC directory (auto-downloaded),
Natural Smiles Leicester,,"264-266 Leicester Road, Wigston",LE18 1HQ,Leicester (LE18),01162 182181,https://www.naturalsmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Bhavnish Waghela,CQC directory (auto-downloaded),
Wigston House Dental Practice,,"101 Leicester Road, Wigston",LE18 1NS,Leicester (LE18),01162 810646,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Chetan Valji Maru,CQC directory (auto-downloaded),
Hallcross Dental Practice Limited,,"45 Long Street, Wigston",LE18 2AJ,Leicester (LE18),01162 882029,https://www.hallcrossdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hallcross Dental Practice Limited,CQC directory (auto-downloaded),
The Dental and Cosmetic Clinic,,"The Dental & Cosmetic Clinic, 14 Saffron Road,  South Wigston, Wigston",LE18 4TD,Leicester (LE18),01162 785611,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Dental And Cosmetic Clinic Ltd,CQC directory (auto-downloaded),
HMP Fosse Way,,"HMP Fosse Way, Wigston, Leicester",LE18 4TN,Leicester (LE18),01256 745900,https://www.serco.com/uk/sector-expertise/justice/hmp-fosse-way,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),website unreachable
HMP Leicester,,"10 Tigers Road, Wigston",LE18 4TN,Leicester (LE18),11622284100,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Time for Teeth Limited,CQC directory (auto-downloaded),
Narborough Dental Practice,,"21 Leicester Road, Narborough",LE19 2HL,Leicester (LE19),01162 867402,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Pritesh Patel,CQC directory (auto-downloaded),
The Avenue Dental Practice,,"19-20 Stewart Avenue, Enderby, Leicester",LE19 4LN,Leicester (LE19),02075 506222,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Avenue Dental Practice Partnership,CQC directory (auto-downloaded),
Highfields Dental Practice,,"150 Melbourne Road, Highfields, Leicester",LE2 0DT,Leicester (LE2),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Highfields Dental Practice,CQC directory (auto-downloaded),
Dental Art,,"168 Evington Road, Leicester",LE2 1HL,Leicester (LE2),01162 733224,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,HS Virdee Limited,CQC directory (auto-downloaded),
Hampton House Dental Practice,,"Hampton House, 176 London Road, Leicester",LE2 1ND,Leicester (LE2),01162 543500,https://www.hamptonhousedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Mr R D Kidy & Mrs P Sarna,CQC directory (auto-downloaded),
The Carisbrooke Specialist Dental Centre,,"238 London Road, Leicester",LE2 1RL,Leicester (LE2),01162 707030,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Envisage Dental UK Limited,CQC directory (auto-downloaded),
