name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Lincoln Smile Centre,01522 567755,Lincoln Smile Centre,LN1 1NW,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lincolnsmilecentre.co.uk,
West Parade Dental Care,01522 523821,West Parade Dental Care,LN1 1PE,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Carholme Dental Practice,01522 524504,Carholme Dental Practice,LN1 1SR,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmedental.co.uk,
Guildhall Dental Care,01522 589847,Guildhall Dental Care,LN1 1TT,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lincoln Dental and implant Studio,0774 2629922,Lincoln Dental and implant Studio,LN1 1XG,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
All Smiles Dental Practice,01522 543982,All Smiles Dental Practice,LN1 1XP,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Newland Dental Practice,0791 3110925,Newland Dental Practice,LN1 1YA,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.newland-dental.co.uk,
Grin Orthodontics,01522 216007,Grin Orthodontics,LN1 3BN,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Castle Dental Care,01522 543213,Castle Dental Care,LN1 3JY,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.castledentallincoln.co.uk,
Cathedral View Dental Practice,01522 543213,Cathedral View Dental Practice,LN1 3LJ,Lincoln (LN1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Broadway Dental Surgery,01526 352929,Broadway Dental Surgery,LN10 6SQ,Lincoln (LN10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Broadbank Dental,0774 0411976,Broadbank Dental,LN11 0EQ,Lincoln (LN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roger Gott & Associates - Somercotes House,01507 358275,Roger Gott & Associates - Somercotes House,LN11 7QL,Lincoln (LN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.gotttheteeth.co.uk,website unreachable
Louth Dental Care,01507 601367,Louth Dental Care,LN11 9ET,Lincoln (LN11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mablethorpe,01775 513113,Mablethorpe,LN12 1DP,Lincoln (LN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mablethorpe – Victoria Road,01775 513113,Mablethorpe – Victoria Road,LN12 2AF,Lincoln (LN12),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Alford Dental Care,01507 462666,Alford Dental Care,LN13 9AQ,Lincoln (LN13),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cabourne Dental Practice,01522 523311,Cabourne Dental Practice,LN2 2JP,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Welton Dental Care,01673 861635,Welton Dental Care,LN2 3HZ,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Lincoln,01522 663000,HMP Lincoln,LN2 4BD,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lincoln Dental Practice,0845 8338736,Lincoln Dental Practice,LN2 4FJ,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lincoln Orthodontics,01522 533363,Lincoln Orthodontics,LN2 4JB,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lincolnorthodontics.co.uk,
Lincoln County Hospital,01522 308686,Lincoln County Hospital,LN2 5QY,Lincoln (LN2),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lincolnshirecommunityhealthservices.nhs.uk,
Washingborough Dental Practice,01522 824362,Washingborough Dental Practice,LN4 1DE,Lincoln (LN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lincolndentist.org,website unreachable
Coningsby Dental Surgery,01526 344008,Coningsby Dental Surgery,LN4 4SG,Lincoln (LN4),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentcare1 Lincoln,01522 523704,Dentcare1 Lincoln,LN5 7JZ,Lincoln (LN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentcare1.com,
Brant Road Dental Practice,01522 722724,Brant Road Dental Practice,LN5 9AB,Lincoln (LN5),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
