practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Lincoln Smile Centre,,"15 West Parade, Lincoln",LN1 1NW,Lincoln (LN1),01522 567755,https://www.lincolnsmilecentre.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lincoln Smile Centre Limited,CQC directory (auto-downloaded),
West Parade Dental Care,,"33 West Parade, Lincoln",LN1 1PE,Lincoln (LN1),01522 523821,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Carholme Dental Practice,,"Fosse House, Roman Wharf, Lincoln",LN1 1SR,Lincoln (LN1),01522 524504,https://www.carholmedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Carholme Dental Limited,CQC directory (auto-downloaded),
Guildhall Dental Care,,"11 Guildhall Street, Lincoln",LN1 1TT,Lincoln (LN1),01522 589847,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,BW Partnership,CQC directory (auto-downloaded),
Lincoln Dental and implant Studio,,"24 Newland, Lincoln",LN1 1XG,Lincoln (LN1),0774 2629922,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,GRACEAH LIMITED,CQC directory (auto-downloaded),
All Smiles Dental Practice,,"29 Newland, Lincoln",LN1 1XP,Lincoln (LN1),01522 543982,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,A&R Smiles Limited,CQC directory (auto-downloaded),
Newland Dental Practice,,"80 Newland, Lincoln",LN1 1YA,Lincoln (LN1),0791 3110925,https://www.newland-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Grin Orthodontics,,"5 Drury Lane, Lincoln",LN1 3BN,Lincoln (LN1),01522 216007,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,ETS Align Limited,CQC directory (auto-downloaded),
Castle Dental Care,,"19 Burton Road, Lincoln",LN1 3JY,Lincoln (LN1),01522 543213,https://www.castledentallincoln.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dent-Ease Studio Ltd,CQC directory (auto-downloaded),
Cathedral View Dental Practice,,"82 Burton Road, Lincoln",LN1 3LJ,Lincoln (LN1),01522 543213,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dent-Ease Studio Ltd,CQC directory (auto-downloaded),
Broadway Dental Surgery,,"The Broadway, Woodhall Spa",LN10 6SQ,Lincoln (LN10),01526 352929,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Woodhall Spa Healthcare Limited,CQC directory (auto-downloaded),
Broadbank Dental,,"2 Broadbank, Louth",LN11 0EQ,Lincoln (LN11),0774 0411976,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Louth County Hospital,,"High Holme Road, Louth",LN11 0EU,Lincoln (LN11),,https://www.lincolnshirecommunityhealthservices.nhs.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Lincolnshire Community Health Services NHS Trust,CQC directory (auto-downloaded),
Roger Gott & Associates - Somercotes House,,"Somercotes House, North Somercotes, Louth",LN11 7QL,Lincoln (LN11),01507 358275,https://www.gotttheteeth.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Roger Carlisle Gott,CQC directory (auto-downloaded),website unreachable
Louth Dental Care,,"20 Upgate, Louth",LN11 9ET,Lincoln (LN11),01507 601367,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ishak Practices Ltd,CQC directory (auto-downloaded),
Mablethorpe,,"Stanley Avenue, Mablethorpe",LN12 1DP,Lincoln (LN12),01775 513113,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Winsover Limited,CQC directory (auto-downloaded),
Mablethorpe – Victoria Road,,"43 Victoria Road, Mablethorpe",LN12 2AF,Lincoln (LN12),01775 513113,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Winsover Limited,CQC directory (auto-downloaded),
Alford Dental Care,,"8 South Street, Alford",LN13 9AQ,Lincoln (LN13),01507 462666,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Ronald Hartzenberg,CQC directory (auto-downloaded),
