name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Advance Smiles & Orthodontics,01518 083018,Advance Smiles & Orthodontics,L18 1LG,Liverpool (L18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.advancesmiles.co.uk,
Rose Lane Dental Practice,01517 243351,Rose Lane Dental Practice,L18 8AG,Liverpool (L18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.roselanedentalpractice.co.uk,
Ollie and Darsh,01512 366578,Ollie and Darsh,L2 2SH,Liverpool (L2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ollieanddarsh.co.uk,
Dr Rez Dental,01517 220618,Dr Rez Dental,L2 5RL,Liverpool (L2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.drrez.co.uk,
Dr Simon Lewis - Rodney Street,01517 095300,Dr Simon Lewis - Rodney Street,L1 2TQ,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smileworks Liverpool,01512 365166,Smileworks Liverpool,L1 3DF,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smileworksliverpool.co.uk,
Liverpool Brace Place,01517 072312,Liverpool Brace Place,L1 5AG,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Hampton Dental Care,01512 959870,Hampton Dental Care,L1 5DL,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Impress Liverpool,02038 081072,Impress Liverpool,L1 6DA,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.smile2impress.com/uk,
Synergy Dental Clinic Liverpool Ltd,01204 275270,Synergy Dental Clinic Liverpool Ltd,L1 8DL,Liverpool (L1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
