practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Dental House,,"6-12 Derby Lane, Liverpool",L13 3DL,Liverpool (L13),01512 283643,https://dentalhouseliverpool.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Dental House (Liverpool) Limited,CQC directory (auto-downloaded),
Advance Smiles & Orthodontics,,"15 Allerton Road, Mossley Hill, Liverpool",L18 1LG,Liverpool (L18),01518 083018,https://www.advancesmiles.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Lavinder Global Ltd,CQC directory (auto-downloaded),
Rose Lane Dental Practice,,"94 Rose Lane, Mossley Hill, Liverpool",L18 8AG,Liverpool (L18),01517 243351,https://www.roselanedentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Paul Swanson,CQC directory (auto-downloaded),
Ollie and Darsh,Ollie and Darsh Ltd,"11 Dale Street, Lower Ground Floor, Liverpool",L2 2SH,Liverpool (L2),01512 366578,https://www.ollieanddarsh.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ollie & Darsh,CQC directory (auto-downloaded),
Dr Rez Dental,,"1 Temple Square,  Lower ground floor west, 24 Dale Street, Liverpool",L2 5RL,Liverpool (L2),01517 220618,https://www.drrez.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Rez Ltd,CQC directory (auto-downloaded),
The Y Clinic Liverpool Ltd,,"3 Blundellsands Road East, Crosby, Liverpool",L23 8SE,Liverpool (L23),0333 2244666,https://www.dryusra.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Y Clinic Liverpool Ltd,CQC directory (auto-downloaded),
Elbow Lane Dental Care,,"21 Elbow Lane, Formby, Liverpool",L37 4AB,Liverpool (L37),01704 876846,https://www.elbowlanedental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Elbow Lane Dental Care Limited,CQC directory (auto-downloaded),
Synergy Dental Clinic Ormskirk,,"1 Lord Street, Burscough",L40 4BZ,Liverpool (L40),01704 892551,https://www.synergydental.org.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Synergy Dental Clinic Ormskirk Ltd,CQC directory (auto-downloaded),
Dr Simon Lewis - Rodney Street,,"28 Rodney Street, Liverpool",L1 2TQ,Liverpool (L1),01517 095300,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Simon Lewis,CQC directory (auto-downloaded),
Smileworks Liverpool,,"1a Kenyons Steps, Liverpool",L1 3DF,Liverpool (L1),01512 365166,https://www.smileworksliverpool.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smileworks Liverpool Limited,CQC directory (auto-downloaded),
Liverpool Brace Place,,"106-108 Duke Street, Liverpool",L1 5AG,Liverpool (L1),01517 072312,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Portman Healthcare Limited,CQC directory (auto-downloaded),
Hampton Dental Care,,"Second Floor, 28 Argyle Street, Liverpool",L1 5DL,Liverpool (L1),01512 959870,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Hampton Dental Care Ltd,CQC directory (auto-downloaded),
Impress Liverpool,,"Unit 8, The Met Quarter, Liverpool",L1 6DA,Liverpool (L1),02038 081072,https://www.smile2impress.com/uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile2Impress Clinics Ltd,CQC directory (auto-downloaded),
Transform Dental,,"Unit 1B,  77-79, Victoria Street, Liverpool",L1 6DG,Liverpool (L1),,https://www.transformdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,MHR Dental Ltd,CQC directory (auto-downloaded),
Synergy Dental Clinic Liverpool Ltd,,"The Cargo Building, Ground Floor, Liverpool",L1 8DL,Liverpool (L1),01204 275270,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Synergy Dental Clinic Liverpool Ltd,CQC directory (auto-downloaded),
Kissdental Liverpool Ltd,Kissdental Liverpool,"21 Strand Street, Liverpool",L1 8LT,Liverpool (L1),01618 719426,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Kissdental Liverpool Ltd,CQC directory (auto-downloaded),
Puredental - Rodney Street,,"Puredental, 56 Rodney Street, Liverpool",L1 9AD,Liverpool (L1),01517 091317,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Puredental Care (UK) Limited,CQC directory (auto-downloaded),
