name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Modern Dentist,02039 499889,The Modern Dentist,EC2A 4AQ,City of London (EC2A),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.themoderndentist.co.uk,
Clearstone Dental,0777 5946147,Clearstone Dental,EC4N 7AR,City of London (EC4N),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.clearstonedental.co.uk,
Malmin Dental,02078 311702,Malmin Dental,EC1A 4EB,City of London (EC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malmin Orthodontics Barbican,02072 512222,Malmin Orthodontics Barbican,EC1A 4JQ,City of London (EC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Vestry House Dental Centre,02076 001897,Vestry House Dental Centre,EC1A 7BA,City of London (EC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dentistry100,02076 387100,Dentistry100,EC1A 9EJ,City of London (EC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistry100.co.uk,
Barbican Orthodontic Clinic,02077 268282,Barbican Orthodontic Clinic,EC1A 9ET,City of London (EC1A),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.orthodontist.co.uk,
Malmin Dental,02078 311702,Malmin Dental,EC1M 3JB,City of London (EC1M),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Malmin Orthodontic Group Ltd,02078 311702,Malmin Orthodontic Group Ltd,EC1M 3JP,City of London (EC1M),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Zero:Seven Dental Practice,02072 537667,Zero:Seven Dental Practice,EC1M 4AA,City of London (EC1M),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.zero-seven.co.uk,
