practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
The Modern Dentist,,"1-3, Leonard Street, London",EC2A 4AQ,City of London (EC2A),02039 499889,https://www.themoderndentist.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Modent Ltd,CQC directory (auto-downloaded),
Clearstone Dental,,"1 King William Street, London",EC4N 7AR,City of London (EC4N),0777 5946147,https://www.clearstonedental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Hayder Hasen,CQC directory (auto-downloaded),
Malmin Dental,,"Malmin  Dental, 131 Aldersgate Street, London",EC1A 4EB,City of London (EC1A),02078 311702,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Healthcare Limited,CQC directory (auto-downloaded),
Malmin Orthodontics Barbican,,"131 Aldersgate Street, Barbican, London",EC1A 4JQ,City of London (EC1A),02072 512222,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Vestry House Dental Centre,,"Greyfriar's Passage, Newgate Street, London",EC1A 7BA,City of London (EC1A),02076 001897,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Xeon Smiles UK Limited,CQC directory (auto-downloaded),
Dentistry100,,"64-65, Long Lane, London",EC1A 9EJ,City of London (EC1A),02076 387100,https://www.dentistry100.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,My Smile Dental Ltd,CQC directory (auto-downloaded),
Barbican Orthodontic Clinic,,"84-85 Long Lane, London",EC1A 9ET,City of London (EC1A),02077 268282,https://www.orthodontist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Garry Mancini,CQC directory (auto-downloaded),
Malmin Dental,,"47 Farringdon Road, London",EC1M 3JB,City of London (EC1M),02078 311702,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Minesh Talati,CQC directory (auto-downloaded),
Malmin Orthodontic Group Ltd,Malmin Orthodontics Farringdon,"47, Farringdon Road, London",EC1M 3JP,City of London (EC1M),02078 311702,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Malmin Orthodontic Group Limited,CQC directory (auto-downloaded),
Zero:Seven Dental Practice,,"7 St John Street, Clerkenwell, London",EC1M 4AA,City of London (EC1M),02072 537667,https://www.zero-seven.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Zero:Seven Dental Practice Limited,CQC directory (auto-downloaded),
