name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Abbey Dental Whitechapel,02072 470964,Abbey Dental Whitechapel,E1 1BJ,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Eastside Dental Practice,02072 470132,Eastside Dental Practice,E1 1BJ,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Emergency Smiles,02035 761239,Emergency Smiles,E1 1BY,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
New Road Dental Practice,02072 473737,New Road Dental Practice,E1 1HE,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Second Floor Dental Practice,02073 777067,The Second Floor Dental Practice,E1 2AH,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Care Dental,02074 880608,Care Dental,E1 2LP,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mile End Dental Practice,02077 906066,Mile End Dental Practice,E1 4AA,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mile End Dental Practice Ltd,02077 906066,Mile End Dental Practice Ltd,E1 4AA,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nhs.net/mileendpractice,website unreachable
Impress London,02038 081072,Impress London,E1 6AG,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Bishopsgate Dental Care,02073 776762,Bishopsgate Dental Care,E1 6DY,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bishopsgatedental.co.uk,
Square Mile Dental Centre,02073 770990,Square Mile Dental Centre,E1 7BS,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Widegate House Dental,0759 0548875,Widegate House Dental,E1 7HP,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Brace Orthodontic Group - London City,02072 475768,The Brace Orthodontic Group - London City,E1 7LJ,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thebrace.com,
Alba Dental Care,02073 776886,Alba Dental Care,E1 7NE,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Fresh Springs Dental Practice,02032 160077,Fresh Springs Dental Practice,E1 7NE,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.freshspringsdentalpractice.co.uk,
Fresh Springs Dental Practice Limited,02032 160077,Fresh Springs Dental Practice Limited,E1 7NE,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Banning Dental Group – Tower Hill,0754 0724520,Banning Dental Group – Tower Hill,E1 8JN,East London (E1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Cedars Dental Practice,02085 581122,Cedars Dental Practice,E10 5AB,East London (E10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile in London,02085 391653,Smile in London,E10 5NA,East London (E10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
John Dineen Dental Surgery,02085 586036,John Dineen Dental Surgery,E10 5QE,East London (E10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Leyton Dental Surgery,02085 396022,Leyton Dental Surgery,E10 6AA,East London (E10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Key 2 Smile,02085 392277,Key 2 Smile,E10 6AP,East London (E10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
