practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Aldgate House Dental Care,,"202 Commercial Road, London",E1 2JT,East London (E1),02072 475378,https://www.aldgatedentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Mojgan Mehdiani,CQC directory (auto-downloaded),
Smile-Hub SpitalFields,,"8a Brushfield Street, London",E1 6AN,East London (E1),02038 597611,https://www.smile-hub.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Smile Hub Dental Group Limited,CQC directory (auto-downloaded),
Wanstead Dental Practice,,"1 Nutter Lane, London",E11 2HY,East London (E11),02089 894624,https://www.wansteaddental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,TPSMILES Limited,CQC directory (auto-downloaded),
UltraSmile,,"127A Basin Approach, Limehouse, London",E14 7JG,East London (E14),02070 934488,https://www.ultrasmile.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,UltraSmile Limited,CQC directory (auto-downloaded),
SDA Dental Studio,,"7 Salter Street, London",E14 8NW,East London (E14),02079 872480,https://www.sdadentalstudio.co.uk/,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,SDA Dental Studio Ltd,CQC directory (auto-downloaded),
Wisteria House Dental Practice,,"55 Romford Road, London",E15 4LY,East London (E15),02085 551144,https://www.wisteriadp.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr A Mandegaran & Dr M Hannan,CQC directory (auto-downloaded),
Abbey Dental Whitechapel,,"224 Whitechapel Road, Whitechapel, London",E1 1BJ,East London (E1),02072 470964,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Jayesh Kotecha & Karissa Kotecha,CQC directory (auto-downloaded),
Eastside Dental Practice,,"222 Whitechapel Road, London",E1 1BJ,East London (E1),02072 470132,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Bilquis Banu and Mrs Salma Chanawala,CQC directory (auto-downloaded),
Emergency Smiles,,"277A, Whitechapel Road, London",E1 1BY,East London (E1),02035 761239,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Selenite U.K. Limited,CQC directory (auto-downloaded),
New Road Dental Practice,,"29 New Road, London",E1 1HE,East London (E1),02072 473737,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Siddiqui and Sheikh,CQC directory (auto-downloaded),
The Second Floor Dental Practice,,"31-43 Ashfield Street, London",E1 2AH,East London (E1),02073 777067,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Nilesh Shukle & Dr Juhi Shukle,CQC directory (auto-downloaded),
Care Dental,,"44-56 Hessel Street, London",E1 2LP,East London (E1),02074 880608,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Imran Aslam,CQC directory (auto-downloaded),
Mile End Dental Practice,,"227 Mile End Road, London",E1 4AA,East London (E1),02077 906066,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Kristain Chauhan & Dr Bushra Crowther,CQC directory (auto-downloaded),
Mile End Dental Practice Ltd,,"227 Mile End Road, London",E1 4AA,East London (E1),02077 906066,https://www.nhs.net/mileendpractice,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mile End Dental Practice Ltd,CQC directory (auto-downloaded),website unreachable
Impress London,,"54 Brushfield Street, London",E1 6AG,East London (E1),02038 081072,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile2Impress Clinics Ltd,CQC directory (auto-downloaded),
Bishopsgate Dental Care,,"36 Spital Square, London",E1 6DY,East London (E1),02073 776762,https://www.bishopsgatedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Clinical Limited,CQC directory (auto-downloaded),
Square Mile Dental Centre,,"7-9 White Kennet Street, London",E1 7BS,East London (E1),02073 770990,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Square Mile Dental Centre Limited,CQC directory (auto-downloaded),
Widegate House Dental,,"26 Widegate Street, London",E1 7HP,East London (E1),0759 0548875,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Widegate Dental Ltd,CQC directory (auto-downloaded),
The Brace Orthodontic Group - London City,,"The Brace, 15 Artillery Passage, London",E1 7LJ,East London (E1),02072 475768,https://www.thebrace.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Brace Orthodontic Group Ltd,CQC directory (auto-downloaded),
The Whiter Smile Limited,,"9 Artillery Lane, London",E1 7LP,East London (E1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,The Whiter Smile Limited,CQC directory (auto-downloaded),
Alba Dental Care,,"30-32 Toynbee Street, London",E1 7NE,East London (E1),02073 776886,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Oana Popovici,CQC directory (auto-downloaded),
Fresh Springs Dental Practice,,"40/42 Toynbee Street, Tower Hamlets",E1 7NE,East London (E1),02032 160077,https://www.freshspringsdentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Funmi Sulaiman,CQC directory (auto-downloaded),
Fresh Springs Dental Practice Limited,,"40-42, Toynbee Street, London",E1 7NE,East London (E1),02032 160077,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Fresh Springs Dental Practice Limited,CQC directory (auto-downloaded),
Banning Dental Group – Tower Hill,,"23 Dock Street, London",E1 8JN,East London (E1),0754 0724520,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Banning Dental Group Ltd,CQC directory (auto-downloaded),
Cedars Dental Practice,,"775 High Road Leyton, London",E10 5AB,East London (E10),02085 581122,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Cedars Dental Practice Partnership,CQC directory (auto-downloaded),
Smile in London,,"399 High Road, Leyton, London",E10 5NA,East London (E10),02085 391653,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Smile In London,CQC directory (auto-downloaded),
John Dineen Dental Surgery,,"229 High Road, Leyton, London",E10 5QE,East London (E10),02085 586036,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. John Dineen,CQC directory (auto-downloaded),
Leyton Dental Surgery,,"724 High Road Leyton, London",E10 6AA,East London (E10),02085 396022,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Said Sadeed Hashimi,CQC directory (auto-downloaded),
Key 2 Smile,,"622 Lea Bridge Road, Leyton, London",E10 6AP,East London (E10),02085 392277,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Shilpa Chirag Roy,CQC directory (auto-downloaded),
Lea Bridge Road Dental Surgery,,"433 Lea Bridge Road, Leyton, London",E10 7EA,East London (E10),02085 396152,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,J S Gill and A K Gill,CQC directory (auto-downloaded),
Ivy Dentistry and Aesthetics,Ivy Dent Clinique Ltd,"167 Lea Bridge Road, London",E10 7PN,East London (E10),0790 0317095,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ivy Dent Clinique Ltd,CQC directory (auto-downloaded),
Grove Dental Leytonstone,,"153 Hainault Road, London",E11 1DT,East London (E11),02085 584478,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Hira Qureshi,CQC directory (auto-downloaded),
Wongs Dental Surgery,,"845 High Road Leytonstone, London",E11 1HH,East London (E11),02085 394720,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Said Sadeed Hashimi,CQC directory (auto-downloaded),
ACE Dental - Wanstead,,"11 High Street Wanstead, London",E11 2AA,East London (E11),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Adarsh Thanki,CQC directory (auto-downloaded),
Wanstead Village Dental & Health Centre,,"Phoenix House, 24 High Street,  Wanstead, London",E11 2AQ,East London (E11),02085 302126,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Wanstead Village Dental & Health Centre,CQC directory (auto-downloaded),
Smile in London,,"19 Cambridge Park, Wanstead, London",E11 2PU,East London (E11),02085 329990,https://www.smileinlondon.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,Dr. Amit Gupta,CQC directory (auto-downloaded),
Etera Medical Centre,,"676-678 High Road Leytonstone, London",E11 3AA,East London (E11),0734 0504050,https://www.eteramedical.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Etera Medical Ltd,CQC directory (auto-downloaded),
Eyespy Eye and Dental Care,,"746 High Road, Leytonstone, London",E11 3AW,East London (E11),02036 382768,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,On The Cusp Ltd,CQC directory (auto-downloaded),
I.E. Barmania's Dental Surgery,,"Dental Surgery, 318 High Road Leytonstone, London",E11 3HS,East London (E11),02085 342668,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,I.E. Barmania & A. Vawda,CQC directory (auto-downloaded),
Park Vue Dental Practice,,"330 Cann Hall Road, Leytonstone, London",E11 3NW,East London (E11),02085 192990,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs Zarghona Haider,CQC directory (auto-downloaded),
