name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
AP Dental Practice,02076 071557,AP Dental Practice,N1 1BB,North London (N1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.apdentalpractice.co.uk,
Angel Smile Dental & Orthodontics,02078 373938,Angel Smile Dental & Orthodontics,N1 9LH,North London (N1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.angelsmile.co.uk,
Ambra Aesthetic Clinic,0795 1254088,Ambra Aesthetic Clinic,N12 9RN,North London (N12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ambraclinic.com,
Dental Beauty Southgate,0844 3756100,Dental Beauty Southgate,N14 4PL,North London (N14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.adamsdental.co.uk,
Angel Dental,02083 455720,Angel Dental,N18 2TW,North London (N18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.angeldentalpractice.co.uk,
Blue Light Dental & Aesthetic Clinic,02083 400666,Blue Light Dental & Aesthetic Clinic,N19 3NU,North London (N19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.bluelightdentalclinic.co.uk,
N6 Dental,02083 481546,N6 Dental,N6 4ER,North London (N6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.n6dental.co.uk,
Pond Square Dental Practice,02083 489995,Pond Square Dental Practice,N6 5JG,North London (N6),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://pondsquaredental.co.uk,
Middle Lane Dental Practice,02083 481480,Middle Lane Dental Practice,N8 8PL,North London (N8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.middlelanedental.com,
Together Dental Tottenham,02088 001326,Together Dental Tottenham,N15 6JR,North London (N15),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/tottenham/,
