name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
AP Dental Practice,02076 071557,AP Dental Practice,N1 1BB,North London (N1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.apdentalpractice.co.uk,
Angel Smile Dental & Orthodontics,02078 373938,Angel Smile Dental & Orthodontics,N1 9LH,North London (N1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.angelsmile.co.uk,
Ambra Aesthetic Clinic,0795 1254088,Ambra Aesthetic Clinic,N12 9RN,North London (N12),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.ambraclinic.com,
Dental Beauty Southgate,0844 3756100,Dental Beauty Southgate,N14 4PL,North London (N14),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.adamsdental.co.uk,
Middle Lane Dental Practice,02083 481480,Middle Lane Dental Practice,N8 8PL,North London (N8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.middlelanedental.com,
Angle House Orthodontics Islington,02030 962009,Angle House Orthodontics Islington,N1 0JH,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.anglehouseorthodontics-islington.co.uk,website unreachable
IGDP Limited,02072 260849,IGDP Limited,N1 0NY,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.igdp.co.uk,
Mrs Josie Talib - Caledonian Road,02078 372491,Mrs Josie Talib - Caledonian Road,N1 0SQ,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
B Dental,02072 268074,B Dental,N1 1QB,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bdental.co.uk,website unreachable
Dental Beauty Islington,02073 596103,Dental Beauty Islington,N1 1QN,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.pickeringdentalsurgeries.com,
Islington Smiles,0798 5474034,Islington Smiles,N1 1RU,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.islingtonsmiles.co.uk,
yourdental Wellness,0786 1660170,yourdental Wellness,N1 2UQ,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Dental & Wellness,02081 274567,Dental & Wellness,N1 3AP,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalskin.co.uk,
N1 Dental,02035 762706,N1 Dental,N1 3HF,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Essex Road Dentalshine Practice,02072 269797,Essex Road Dentalshine Practice,N1 3PF,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentalshine.co.uk,
Orchid Dental Care,02072 414161,Orchid Dental Care,N1 4AX,North London (N1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
