practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
AP Dental Practice,,"300 Caledonian Road, London",N1 1BB,North London (N1),02076 071557,https://www.apdentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr Ashish Patel,CQC directory (auto-downloaded),
Angel Smile Dental & Orthodontics,,"41 Islington High Street, London",N1 9LH,North London (N1),02078 373938,https://www.angelsmile.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,ANGEL SMILE AND ORTHO LTD,CQC directory (auto-downloaded),
Ambra Aesthetic Clinic,,"Unit A,  886/892 High Road, Finchley, London",N12 9RN,North London (N12),0795 1254088,https://www.ambraclinic.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ambra Aesthetic Clinic Ltd,CQC directory (auto-downloaded),
Dental Beauty Southgate,,"244a Chase Side, Southgate, London",N14 4PL,North London (N14),0844 3756100,https://www.adamsdental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Adams Dental Practice Limited,CQC directory (auto-downloaded),
Angel Dental,,"91 Fore Street, Edmonton, London",N18 2TW,North London (N18),02083 455720,https://www.angeldentalpractice.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr. Gillian Palmer,CQC directory (auto-downloaded),
Blue Light Dental & Aesthetic Clinic,,"662-664 Holloway Road, London",N19 3NU,North London (N19),02083 400666,https://www.bluelightdentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Blue Light Dental Ltd,CQC directory (auto-downloaded),
N6 Dental,,"383 Archway Road, London",N6 4ER,North London (N6),02083 481546,https://www.n6dental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,R Patel & Partners,CQC directory (auto-downloaded),
Pond Square Dental Practice,,"26 Highgate High Street, London",N6 5JG,North London (N6),02083 489995,https://pondsquaredental.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mr. Vatche Kassardjian,CQC directory (auto-downloaded),
Middle Lane Dental Practice,,"34 Middle Lane, London",N8 8PL,North London (N8),02083 481480,https://www.middlelanedental.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Laith Abbas & Bilal Abbas,CQC directory (auto-downloaded),
Angle House Orthodontics Islington,,"51-55, Copenhagen Street, London",N1 0JH,North London (N1),02030 962009,https://www.anglehouseorthodontics-islington.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Angle House Orthodontics Islington Limited,CQC directory (auto-downloaded),website unreachable
IGDP Limited,,"66 Upper Street, London",N1 0NY,North London (N1),02072 260849,https://www.igdp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,IGDP Limited,CQC directory (auto-downloaded),
Mrs Josie Talib - Caledonian Road,,"192 Caledonian Road, Islington, London",N1 0SQ,North London (N1),02078 372491,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Josie Talib,CQC directory (auto-downloaded),
B Dental,,"61 Islington Park Street, London",N1 1QB,North London (N1),02072 268074,https://www.bdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,B Dental Limited,CQC directory (auto-downloaded),website unreachable
Dental Beauty Islington,,"103-104 Upper Street, Islington, London",N1 1QN,North London (N1),02073 596103,https://www.pickeringdentalsurgeries.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Pickering Dental Surgeries Limited,CQC directory (auto-downloaded),
Islington Smiles,,"246 Upper Street, London",N1 1RU,North London (N1),0798 5474034,https://www.islingtonsmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Ellade Limited,CQC directory (auto-downloaded),
yourdental Wellness,,"272 Upper Street, London",N1 2UQ,North London (N1),0786 1660170,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Islington Smile Group Limited,CQC directory (auto-downloaded),
Dental & Wellness,,"222 Essex Road, London",N1 3AP,North London (N1),02081 274567,https://www.dentalskin.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,VPD LIMITED,CQC directory (auto-downloaded),
N1 Dental,,"66 Halliford Street, London",N1 3HF,North London (N1),02035 762706,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,N1 DENTAL LTD,CQC directory (auto-downloaded),
Essex Road Dentalshine Practice,,"372 Essex Road, London",N1 3PF,North London (N1),02072 269797,https://www.dentalshine.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentalshine Ltd,CQC directory (auto-downloaded),
Orchid Dental Care,,"1 Balls Pond Road, London",N1 4AX,North London (N1),02072 414161,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr Arman Kouchekian Sabour,CQC directory (auto-downloaded),
Kindandental 2,,"93 Mildmay Park, Islington, London",N1 4NB,North London (N1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Gillian Ward,CQC directory (auto-downloaded),
Future Smile Dental Practice,,"95 Newington Green Road, London",N1 4QX,North London (N1),02077 041616,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Kunal Dattani,CQC directory (auto-downloaded),
Kindandental,,"99 Newington Green Road, Islington, London",N1 4QY,North London (N1),02072 263897,https://www.kindandental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mrs. Gillian Ward,CQC directory (auto-downloaded),
