name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Optimal Dental Health,02039 211000,Optimal Dental Health,NW1 6AE,North West London (NW1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.optimaldentalhealth.co.uk,
Serio Dental,02089 694020,Serio Dental,NW10 3JR,North West London (NW10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.seriodental.com,
Garden Dental & Implant Clinic,02084 553310,Garden Dental & Implant Clinic,NW11 7RX,North West London (NW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.gardendental.com,
Zental (Cricklewood) Ltd,02039 828602,Zental (Cricklewood) Ltd,NW2 3JX,North West London (NW2),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Happy Kids Dental Hampstead,02070 780822,Happy Kids Dental Hampstead,NW3 4QG,North West London (NW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.happykidsdental.co.uk,
Aura Dental,02077 220040,Aura Dental,NW8 7BT,North West London (NW8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.auradentallondon.co.uk,
Camden High Street Dental Practice,0773 8398715,Camden High Street Dental Practice,NW1 0JH,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.camdenhighstreetpractice.co.uk,
Camden High Street Practice Limited,02073 886108,Camden High Street Practice Limited,NW1 0JH,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chalton Street Dental,02037 575272,Chalton Street Dental,NW1 1JB,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mornington Dental Surgery,02073 876590,Mornington Dental Surgery,NW1 1TU,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.mbdental.co.uk,
The Dental Centre,02073 800034,The Dental Centre,NW1 2AA,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Confident Dental Practice,02073 888556,Confident Dental Practice,NW1 2NT,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
"Trust Headquarters, 350 Euston Road",02032 145700,"Trust Headquarters, 350 Euston Road",NW1 3AX,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.cnwl.nhs.uk,website unreachable
Arrow Dental Practice,02073 878143,Arrow Dental Practice,NW1 3QT,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Central London Community Healthcare NHS Trust Headquarters,02077 981300,Central London Community Healthcare NHS Trust Headquarters,NW1 5JD,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
NW Smiles,02077 243003,NW Smiles,NW1 6AH,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nwsmiles.co.uk,
The Ivory Dental Studio,02072 248558,The Ivory Dental Studio,NW1 6DX,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Root Canal Specialist,02032 890757,The Root Canal Specialist,NW1 6XN,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Parkway Dental Care,02074 859875,Parkway Dental Care,NW1 7AN,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Camden Dental Centre,02073 800768,Camden Dental Centre,NW1 7JL,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.camdendentalcentre.co.uk,
Ep Dent,02074 248601,Ep Dent,NW1 8PD,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.epdent.co.uk,
London Dental Specialists,02075 897792,London Dental Specialists,NW1 8UR,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.london-dental-specialists.co.uk,website unreachable
NW1 Dentalcare,02074 854626,NW1 Dentalcare,NW1 9EA,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.nw1dentalcare.co.uk,
NW1 Dental Care,02074 854626,NW1 Dental Care,NW1 9NN,North West London (NW1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://nw1dentalcare.co.uk,
Park View Dental Practice,02084 529085,Park View Dental Practice,NW10 1AJ,North West London (NW10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Park Avenue Dental Care,02084 526889,Park Avenue Dental Care,NW10 1JY,North West London (NW10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,https://www.parkavenuedentalcare.com,
Willesden Dental Centre,02084 594344,Willesden Dental Centre,NW10 2NX,North West London (NW10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Orchid Dental Practice,02084 592626,Orchid Dental Practice,NW10 2PB,North West London (NW10),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
