practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Optimal Dental Health,,"1 Melcombe Street, London",NW1 6AE,North West London (NW1),02039 211000,https://www.optimaldentalhealth.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Optimal Dental Health Ltd,CQC directory (auto-downloaded),
Serio Dental,,"130 Chamberlayne Road, London",NW10 3JR,North West London (NW10),02089 694020,https://www.seriodental.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Yasjay Serio Ltd,CQC directory (auto-downloaded),
Garden Dental & Implant Clinic,,"610 Finchley Road, London",NW11 7RX,North West London (NW11),02084 553310,https://www.gardendental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,P&P Golders Green Limited,CQC directory (auto-downloaded),
Zental (Cricklewood) Ltd,,"55 Cricklewood Broadway, London",NW2 3JX,North West London (NW2),02039 828602,https://www.zental.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Zental Dental Practices Ltd,CQC directory (auto-downloaded),
Happy Kids Dental Hampstead,,"201 Haverstock Hill, London",NW3 4QG,North West London (NW3),02070 780822,https://www.happykidsdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Happy Kids Dental Hampstead Limited,CQC directory (auto-downloaded),
Aura Dental,,"Linnet House Clinic, Charlbert Street, London",NW8 7BT,North West London (NW8),02077 220040,https://www.auradentallondon.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Auraden Limited,CQC directory (auto-downloaded),
Camden High Street Dental Practice,,"22 Camden High Street, London",NW1 0JH,North West London (NW1),0773 8398715,https://www.camdenhighstreetpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Camden High Street Dental Practice Partnership,CQC directory (auto-downloaded),
Camden High Street Practice Limited,,"22 Camden High Street, London",NW1 0JH,North West London (NW1),02073 886108,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Camden High Street Practice Limited,CQC directory (auto-downloaded),
Chalton Street Dental,,"30-32 Chalton Street, London",NW1 1JB,North West London (NW1),02037 575272,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tavistock Dental,CQC directory (auto-downloaded),
Mornington Dental Surgery,,"11 Crowndale Road, London",NW1 1TU,North West London (NW1),02073 876590,https://www.mbdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Behnam Limited,CQC directory (auto-downloaded),
The Dental Centre,,"139 Euston Road, London",NW1 2AA,North West London (NW1),02073 800034,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dentex Assets Limited,CQC directory (auto-downloaded),
Confident Dental Practice,,"66 Hampstead Road, London",NW1 2NT,North West London (NW1),02073 888556,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Confident Dental Practice,CQC directory (auto-downloaded),
"Trust Headquarters, 350 Euston Road",,"350 Euston Road, Regent's Place, London",NW1 3AX,North West London (NW1),02032 145700,https://www.cnwl.nhs.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Central and North West London NHS Foundation Trust,CQC directory (auto-downloaded),website unreachable
Arrow Dental Practice,,"89a Robert Street, London",NW1 3QT,North West London (NW1),02073 878143,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Asil Alsam,CQC directory (auto-downloaded),
