name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Bridge Dental,02074 072174,Bridge Dental,SE1 1NL,South East London (SE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.bridgedental.com,
Prem Dent Ltd,02072 078567,Prem Dent Ltd,SE1 6AD,South East London (SE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.prem-dent.com,
SE1 Dental Centre,02079 285964,SE1 Dental Centre,SE1 7BL,South East London (SE1),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.se1dentalcentre.co.uk,
The Cosmetic Dental Gallery,02038 838180,The Cosmetic Dental Gallery,SE10 9SW,South East London (SE10),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thecosmeticdentalgallery.co.uk,
Denvolve,01795 424204,Denvolve,SE18 1HF,South East London (SE18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.denvolve.co.uk,
Artisan Implants,02083 050606,Artisan Implants,SE3 7DH,South East London (SE3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.artisanimplants.co.uk,
Borough Dental Care,02074 073883,Borough Dental Care,SE1 1JH,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.boroughdentalcare.co.uk,
Sensu,02074 073929,Sensu,SE1 1NH,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Oralon Dental,02074 074556,Oralon Dental,SE1 2JE,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Londent Oral Care,02074 070211,Londent Oral Care,SE1 2LH,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
One Tower Bridge,02039 739337,One Tower Bridge,SE1 2SD,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
London Bridge Dental Practice,02074 071920,London Bridge Dental Practice,SE1 2TH,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lbdp.co.uk,
Advanced Dental Practice,02079 400880,Advanced Dental Practice,SE1 3TN,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Tower Bridge Dental Surgery,0774 9394234,Tower Bridge Dental Surgery,SE1 4TL,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Martdent,02081 911540,Martdent,SE1 5AA,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dental Surgery,02077 039922,The Dental Surgery,SE1 5TY,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Old Kent Road Dental Studio,02077 017878,Old Kent Road Dental Studio,SE1 5UB,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Mint Dental Clinic,02079 284474,Mint Dental Clinic,SE1 6HD,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
WYTES Elephant & Castle,02087 774754,WYTES Elephant & Castle,SE1 6SW,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
BZ Smiles,0739 8019710,BZ Smiles,SE1 7JB,South East London (SE1),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://ww.bzsmiles.com,website unreachable
