practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Bridge Dental,,"91 Borough High Street, London",SE1 1NL,South East London (SE1),02074 072174,https://www.bridgedental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dr Debaprasad Ray,CQC directory (auto-downloaded),
Prem Dent Ltd,,"42a Harper Road, London",SE1 6AD,South East London (SE1),02072 078567,https://www.prem-dent.com,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Prem Dent Ltd,CQC directory (auto-downloaded),
SE1 Dental Centre,,"52 Kennington Road, London",SE1 7BL,South East London (SE1),02079 285964,https://www.se1dentalcentre.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Mrs. Monica Matseke,CQC directory (auto-downloaded),
The Cosmetic Dental Gallery,,"260 Creek Road, London",SE10 9SW,South East London (SE10),02038 838180,https://www.thecosmeticdentalgallery.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Cosmetic Dental Gallery Ltd,CQC directory (auto-downloaded),
Denvolve,,"259 Plumstead High Street, London",SE18 1HF,South East London (SE18),01795 424204,https://www.denvolve.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Denvolve Ltd,CQC directory (auto-downloaded),
Dental Beauty Forest Hill,,"138 Stanstead Road, Forest Hill, London",SE23 1BX,South East London (SE23),02082 915211,https://www.dentalbeautyforesthill.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Dental Beauty Forest Hill Limited,CQC directory (auto-downloaded),
Artisan Implants,,"192 Westcombe Hill, London",SE3 7DH,South East London (SE3),02083 050606,https://www.artisanimplants.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,UUD Limited,CQC directory (auto-downloaded),
Surrey Quays Dental Practice,,"204 Lower Road, London",SE8 5DJ,South East London (SE8),02072 317912,https://www.surreyquaysdentalpractice.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Surrey Quays Dental Practice,CQC directory (auto-downloaded),
Borough Dental Care,,"305-307 Borough High Street, London",SE1 1JH,South East London (SE1),02074 073883,https://www.boroughdentalcare.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Borough Dental Limited,CQC directory (auto-downloaded),
Sensu,,"Talbot Yard, 85-87 Borough High Street, London",SE1 1NH,South East London (SE1),02074 073929,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Sensu,CQC directory (auto-downloaded),
Oralon Dental,,"2 The Circle, Queen Elizabeth Street, London",SE1 2JE,South East London (SE1),02074 074556,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Stephen Smith,CQC directory (auto-downloaded),
Londent Oral Care,,"1 Copper Row, London",SE1 2LH,South East London (SE1),02074 070211,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Londent Oral Care Ltd,CQC directory (auto-downloaded),
One Tower Bridge,Quartz Dental,"Unit 9.1 Duchess Walk, One Tower Bridge, London",SE1 2SD,South East London (SE1),02039 739337,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Novelty Orthodontics Ltd,CQC directory (auto-downloaded),
London Bridge Dental Practice,,"108-110 Tooley Street, London",SE1 2TH,South East London (SE1),02074 071920,https://www.lbdp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Mr. Michael Akere,CQC directory (auto-downloaded),
The Grange Dental Surgery,,"134 Grange Road, Bermondsey, London",SE1 3GF,South East London (SE1),,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr. Olufolake Ajanaku,CQC directory (auto-downloaded),
Advanced Dental Practice,,"Unit C,  11 Bell Yard Mews, London",SE1 3TN,South East London (SE1),02079 400880,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Dr Christopher Orr,CQC directory (auto-downloaded),
Tower Bridge Dental Surgery,,"25 Tower Bridge Road, London",SE1 4TL,South East London (SE1),0774 9394234,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Tower Bridge Dental Surgery,CQC directory (auto-downloaded),
Martdent,,"358 Old Kent Road, London",SE1 5AA,South East London (SE1),02081 911540,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,Martdent Ltd,CQC directory (auto-downloaded),
