name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Hungarian DentaCare Ltd,02074 502920,Hungarian DentaCare Ltd,SW11 4ND,South West London (SW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.london-dental-implant.co.uk,
Perfect Smile Battersea,02072 233293,Perfect Smile Battersea,SW11 5QW,South West London (SW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
Pearl Dental Clinic,02085 479997,Pearl Dental Clinic,SW15 3PS,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pearldentalclinic.co.uk,
The Cherrytree Dental Care,02086 179180,The Cherrytree Dental Care,SW15 3QE,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cherrytreedentistry.co.uk,
Century Dental Clinic,02087 889999,Century Dental Clinic,SW15 6AW,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.centurydentalclinic.co.uk/putney,
The Neem Tree - Wandsworth,02088 700030,The Neem Tree - Wandsworth,SW18 1TF,South West London (SW18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.theneemtree.co.uk/clinics/wandsworth/,
Direct Dental,02080 909022,Direct Dental,SW18 4GR,South West London (SW18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.directdental.co.uk,
Merton Dental,02085 441122,Merton Dental,SW19 1LY,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.mertondental.co.uk,
Sync Dental Wimbledon,02037 819198,Sync Dental Wimbledon,SW19 1QG,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.syncdental.co.uk/locations/wimbledon,
Ridgway Dental,02089 462255,Ridgway Dental,SW19 4SS,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.ridgwaydental.co.uk,
Wimbledon Dental Wellness,02081 503737,Wimbledon Dental Wellness,SW19 7NH,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wimbledondentalwellness.com,
Wilton Dental Care,02078 346361,Wilton Dental Care,SW1V 1DE,South West London (SW1V),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wiltondental.co.uk,
The Beresford Clinic,02078 219411,The Beresford Clinic,SW1W 0EJ,South West London (SW1W),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.beresforddentalclinic.co.uk,
Zental (Knightsbridge) Ltd,02039 828602,Zental (Knightsbridge) Ltd,SW3 2HX,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Happy Kids Dental Practice,0750 8398590,Happy Kids Dental Practice,SW3 2RP,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.happykidsdental.co.uk,
Happy Kids Dental Practice Chelsea,02070 780822,Happy Kids Dental Practice Chelsea,SW3 2RP,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.happykidsdental.co.uk,
Zental (Earls Court) Ltd,02039 828602,Zental (Earls Court) Ltd,SW5 0EA,South West London (SW5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Thousand Smiles,02080 500280,Thousand Smiles,SW5 9HR,South West London (SW5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thousandsmiles.uk,
The Cosmetic Dental Gallery (Battersea),0779 6931164,The Cosmetic Dental Gallery (Battersea),SW8 4EY,South West London (SW8),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thecosmeticdentalgallery.co.uk,
Together Dental Clapham,02078 019060,Together Dental Clapham,SW11 1PX,South West London (SW11),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/clapham/,
Together Dental Wandsworth,02088 791725,Together Dental Wandsworth,SW17 0NN,South West London (SW17),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Together Dental,No,https://www.together.dental/wandsworth/,
Westminster House Dental Practice,02079 765251,Westminster House Dental Practice,SW1P 2AH,South West London (SW1P),Dentally,Dentally confirmed,Tier 4 - ADG corporate group (lower priority),Yes,Rodericks Dental,No,https://www.westminsterhousedental.co.uk,
