name,phone,company,postcode,area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
Hungarian DentaCare Ltd,02074 502920,Hungarian DentaCare Ltd,SW11 4ND,South West London (SW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.london-dental-implant.co.uk,
Perfect Smile Battersea,02072 233293,Perfect Smile Battersea,SW11 5QW,South West London (SW11),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.perfectsmile-dental.com,
Pearl Dental Clinic,02085 479997,Pearl Dental Clinic,SW15 3PS,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.pearldentalclinic.co.uk,
The Cherrytree Dental Care,02086 179180,The Cherrytree Dental Care,SW15 3QE,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.cherrytreedentistry.co.uk,
Century Dental Clinic,02087 889999,Century Dental Clinic,SW15 6AW,South West London (SW15),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.centurydentalclinic.co.uk/putney,
The Neem Tree - Wandsworth,02088 700030,The Neem Tree - Wandsworth,SW18 1TF,South West London (SW18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.theneemtree.co.uk/clinics/wandsworth/,
Direct Dental,02080 909022,Direct Dental,SW18 4GR,South West London (SW18),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.directdental.co.uk,
Merton Dental,02085 441122,Merton Dental,SW19 1LY,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.mertondental.co.uk,
Sync Dental Wimbledon,02037 819198,Sync Dental Wimbledon,SW19 1QG,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.syncdental.co.uk/locations/wimbledon,
Ridgway Dental,02089 462255,Ridgway Dental,SW19 4SS,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,https://www.ridgwaydental.co.uk,
Wimbledon Dental Wellness,02081 503737,Wimbledon Dental Wellness,SW19 7NH,South West London (SW19),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.wimbledondentalwellness.com,
Zental (Knightsbridge) Ltd,02039 828602,Zental (Knightsbridge) Ltd,SW3 2HX,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Happy Kids Dental Practice,0750 8398590,Happy Kids Dental Practice,SW3 2RP,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.happykidsdental.co.uk,
Happy Kids Dental Practice Chelsea,02070 780822,Happy Kids Dental Practice Chelsea,SW3 2RP,South West London (SW3),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.happykidsdental.co.uk,
Zental (Earls Court) Ltd,02039 828602,Zental (Earls Court) Ltd,SW5 0EA,South West London (SW5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.zental.uk,
Thousand Smiles,02080 500280,Thousand Smiles,SW5 9HR,South West London (SW5),Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thousandsmiles.uk,
Battersea Orthodontics Limited,02079 244224,Battersea Orthodontics Limited,SW11 1EJ,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.orthowise.com,
White and Co Battersea Rise,207223517,White and Co Battersea Rise,SW11 1HG,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.whiteandcodental.co.uk/practices/battersea-rise,
Lavender Hill Dental Practice,02072 282846,Lavender Hill Dental Practice,SW11 1JD,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.dentistlocal.co.uk,
108 Dental Surgery,02072 280780,108 Dental Surgery,SW11 1SH,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Prodenta,02072 232244,Prodenta,SW11 1TH,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.prodenta.co.uk,
Battersea Bridge Dental Practice,02072 282092,Battersea Bridge Dental Practice,SW11 3AG,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.bb60.co.uk,
Battersea Smiles,0798 5474034,Battersea Smiles,SW11 3BH,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Green Dental Care,02072 286364,Green Dental Care,SW11 3QA,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.greendentalcare.co.uk,
Chatfield Dental Centre,02075 850066,Chatfield Dental Centre,SW11 3UJ,South West London (SW11),Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.chatfielddental.co.uk,
