practice_name,also_known_as,address,postcode,area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,adg_corporate,adg_group,bda_good_practice,provider_name,source,notes
Hungarian DentaCare Ltd,,"158-160 Battersea Park Road, Battersea, London",SW11 4ND,South West London (SW11),02074 502920,https://www.london-dental-implant.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Hungarian DentaCare Ltd,CQC directory (auto-downloaded),
Perfect Smile Battersea,,"Perfect Smile Dental Surgery, 25 Lavender Hill,  Battesea, London",SW11 5QW,South West London (SW11),02072 233293,https://www.perfectsmile-dental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Perfect Smile Surgery Limited,CQC directory (auto-downloaded),
Pearl Dental Clinic,,"5 Vale Parade, Kingston Vale, London",SW15 3PS,South West London (SW15),02085 479997,https://www.pearldentalclinic.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Pearl Dental Clinic,CQC directory (auto-downloaded),
The Cherrytree Dental Care,,"93 Robin Hood Way, Kingston Vale, London",SW15 3QE,South West London (SW15),02086 179180,https://www.cherrytreedentistry.co.uk,Unknown,Dentally,high,Dentally:dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Cherrybell Ltd,CQC directory (auto-downloaded),
Century Dental Clinic,,"13A Ravenna Road, London",SW15 6AW,South West London (SW15),02087 889999,https://www.centurydentalclinic.co.uk/putney,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Century Dental Clinic Ltd,CQC directory (auto-downloaded),
The Neem Tree - Wandsworth,,"515 Old York Road, London",SW18 1TF,South West London (SW18),02088 700030,https://www.theneemtree.co.uk/clinics/wandsworth/,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,The Neem Tree Wandsworth Limited,CQC directory (auto-downloaded),
Direct Dental,,"63-65 Garratt Lane, London",SW18 4GR,South West London (SW18),02080 909022,https://www.directdental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,George Cheetham,CQC directory (auto-downloaded),
Merton Dental,,"134 Kingston Road, London",SW19 1LY,South West London (SW19),02085 441122,https://www.mertondental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Ms Marzyeh Parvizi,CQC directory (auto-downloaded),
Sync Dental Wimbledon,,"105-109, The Broadway, London",SW19 1QG,South West London (SW19),02037 819198,https://www.syncdental.co.uk/locations/wimbledon,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,Sync Dental Wimbledon Limited,CQC directory (auto-downloaded),
Ridgway Dental,,"71 Ridgway, Wimbledon",SW19 4SS,South West London (SW19),02089 462255,https://www.ridgwaydental.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,No,,Yes,Aaron Yusuf & George Cheetham,CQC directory (auto-downloaded),
